Word,Category,Similarity,Frequency
가슴,상처,0.6098507642745972,1
가치,윤리,0.6346501111984253,3
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,5
감성,심리,0.6301533579826355,2
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,5
감흥,슬픔,0.63573157787323,1
거리,도시,0.60332190990448,2
거시,경제,0.6789746284484863,1
결함,의심,0.6190357208251953,1
결혼,연애,0.6863196492195129,2
고등,과학,0.6939653754234314,1
고발,범죄,0.5842509865760803,1
공부,교육,0.6627280712127686,2
공주,유령,0.5845017433166504,3
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,3
광고,방송,0.6559303998947144,2
교내,학교,0.7538260221481323,1
구매,여행,0.5682201981544495,1
국면,혼란,0.6054715514183044,1
규칙,윤리,0.5834123492240906,2
극장판,드라마,0.5479550361633301,1
기대,기대,1,5
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,2
꽂이,인형,0.5644564628601074,1
꽃말,사랑,0.6397911906242371,3
나레이션,드라마,0.5498647689819336,1
날개,유령,0.5668269395828247,1
네트워크,컴퓨터,0.5800560712814331,1
노래,춤,0.7242721915245056,21
노력,헌신,0.6555296182632446,2
농담,개그,0.6088651418685913,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,4
당황,충격,0.6099472045898438,1
대외,경제,0.6580508947372437,1
더빙,방송,0.5857229828834534,9
덕질,개그,0.610794723033905,1
도움,기대,0.5482439994812012,2
돌발,재난,0.5403636693954468,1
두려움,두려움,1,1
드라마,드라마,1,2
로맨스,로맨스,1,1
마력,마법,0.671467125415802,1
마음,기쁨,0.6783162951469421,3
만족,기대,0.6570032238960266,1
매력,열정,0.6489761471748352,3
맥락,질서,0.601793110370636,1
메시지,대화,0.5048822164535522,2
명령,군사,0.5395892262458801,1
모니터,컴퓨터,0.5649773478507996,1
모습,꿈,0.5368646383285522,1
모종,동물,0.5004690289497375,1
몰입,열정,0.6674494743347168,6
문제,갈등,0.6495088934898376,4
뮤지컬,뮤지컬,1,12
미래,미래,1,2
반감,분노,0.6136011481285095,1
반응,충격,0.5951288342475891,1
발견,발견,1,2
발동,전투,0.5676375031471252,1
발매,방송,0.5153555870056152,2
발생,혼란,0.6102904081344604,1
방해,혼란,0.5498800277709961,2
방향,미래,0.5546501278877258,2
범죄,범죄,1,1
변화,성장,0.7235260605812073,1
본사,학교,0.5560317039489746,1
본작,만화,0.5512632727622986,1
부류,자아,0.5049813389778137,1
불량,도둑,0.5827792882919312,1
불행,절망,0.6734789609909058,5
빙판,설원,0.6806506514549255,3
삐삐,도둑,0.5381693243980408,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,5
사랑,사랑,1,2
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,22
생활,환경,0.7009555697441101,2
성공,성장,0.6859850287437439,3
성실,헌신,0.6314191222190857,1
성장,성장,1,1
성향,심리,0.5809999704360962,1
세상,기쁨,0.6082786321640015,1
세트,인형,0.564244270324707,1
소원,사랑,0.6399070620536804,1
손발,상처,0.5660101771354675,2
수습,혼란,0.5311461687088013,1
스트레스,무력감,0.6226179003715515,1
습관,철학,0.6081326007843018,1
시골,시골,1,1
시스템,컴퓨터,0.5808395743370056,1
시작,발견,0.534450113773346,3
시청,방송,0.6024045944213867,1
실패,후회,0.6084508299827576,2
알고리즘,컴퓨터,0.5299720764160156,1
애니,만화,0.7641763091087341,3
애니메이션,만화,0.68199223279953,23
언어,교육,0.6619911193847656,1
언쟁,갈등,0.648293137550354,1
엄마,사랑,0.5908297300338745,7
업계,방송,0.5229802131652832,1
에니매이션,만화,0.6553746461868286,1
에피소드,드라마,0.5304465889930725,1
연출,액션,0.5377380847930908,6
영상미,액션,0.5695945620536804,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,41
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,1
왕자,도둑,0.5981267690658569,5
우려,혼란,0.6615874171257019,1
위장,질병,0.5374902486801147,1
음악,음악,1,6
음주,음식,0.6057179570198059,1
이름,신화,0.5608668327331543,4
이웃,가족,0.6304181218147278,2
이질,질병,0.6333496570587158,1
이질감,갈등,0.5083499550819397,1
이해,철학,0.5395932197570801,1
인격,자아,0.7295798063278198,2
인물,정치,0.5848035216331482,1
인싸,액션,1,1
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,4
입체,미술,0.5655646920204163,1
자연,환경,0.6941760182380676,5
작중,액션,0.5323927402496338,7
잡담,괴담,0.5088366866111755,1
장난감,인형,0.5990570783615112,2
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,12
재미,모험,0.6051297187805176,6
