Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가슴,상처,0.6098507642745972,1
가족,가족,1,3
가치,윤리,0.6346501111984253,3
가치관,자기성찰,0.5398943424224854,3
갈등,갈등,1,4
감동,기쁨,0.6450744271278381,18
감상,음악,0.6411212086677551,2
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,11
강력,충격,0.5549739599227905,3
개그,개그,1,1
개별,음악,0.5007151961326599,1
개볼,액션,1,1
개성,자아,0.5115846395492554,6
거대,괴물,0.5640032887458801,8
거리,도시,0.60332190990448,1
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,2
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,24
격퇴,해적,0.5546360611915588,2
결전,전투,0.6634336709976196,2
경고,의심,0.5979491472244263,1
경시,윤리,0.6397831439971924,1
경험,열정,0.6344258189201355,6
계획,여행,0.6060113906860352,2
고난,고통,0.6465856432914734,7
고뇌,고독,0.6679061055183411,1
고독,고독,1,1
고릴라,외계인,0.5214260220527649,1
고전,미술,0.6437533497810364,1
고향,시골,0.6128569841384888,1
공조,액션,0.5622533559799194,1
과정,교육,0.6268183588981628,13
과학,과학,1,1
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,9
광고,방송,0.6559303998947144,1
교실,학교,0.7313963174819946,1
교조,종교,0.518584668636322,1
구조,환경,0.6101574897766113,3
국면,혼란,0.6054715514183044,1
군단,해적,0.6255456805229187,2
군대,군대,1,1
군림,권력,0.5240477323532104,1
균형,질서,0.6706463098526001,1
그래픽,컴퓨터,0.6070578694343567,1
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,1
극악,좀비,0.5708756446838379,1
극장판,드라마,0.5479550361633301,6
긍정,희망,0.608379602432251,1
기대,기대,1,12
기대감,기대,0.6246221661567688,1
기독,종교,0.689211368560791,1
기분,유쾌,0.6678951382637024,2
기쁨,기쁨,1,2
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,1
꼬리,동물,0.517152726650238,1
남매,가족,0.677724301815033,2
남자,사랑,0.5456969141960144,1
내면,내면,1,1
넘버,액션,0.5979622006416321,2
노력,헌신,0.6555296182632446,3
논란,갈등,0.5854588747024536,1
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,2
능력,교육,0.6137364506721497,3
단계,성장,0.6726707220077515,1
단체,종교,0.635517418384552,1
단편,만화,0.737099826335907,1
단합,희생,0.595459520816803,1
달걀,음식,0.5797801613807678,1
당위,질서,0.6208310127258301,1
당첨,기대,0.522482693195343,1
대결,갈등,0.5924415588378906,5
댓글,후회,0.505795419216156,1
데뷔,방송,0.5465471744537354,1
도달,발견,0.5293484926223755,2
도시,도시,1,1
도약,성장,0.6517202854156494,1
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,2
동맹,군대,0.5977287888526917,1
동질감,자아,0.5402894020080566,1
드라마,드라마,1,2
루머,음모론,0.6119884252548218,1
리더,성장,0.5860862135887146,1
마음,기쁨,0.6783162951469421,4
만화,만화,1,2
맛집,음식,0.6337778568267822,1
매니아,판타지,0.5267682075500488,3
매력,열정,0.6489761471748352,14
머릿,절망,0.5021390318870544,1
먼지,전기,0.5306687355041504,1
멀티,액션,0.6227184534072876,1
메시지,대화,0.5048822164535522,1
면모,자아,0.5388920903205872,1
멸망,멸망,1,1
멸종,동물,0.6045740246772766,1
모습,꿈,0.5368646383285522,25
모양,인형,0.6405982375144958,1
모험,모험,1,2
목표,성장,0.6552416682243347,3
몰입,열정,0.6674494743347168,3
문법,철학,0.664255678653717,1
문제,갈등,0.6495088934898376,5
미래,미래,1,2
미비,상실,0.5380332469940186,1
민감,불안,0.5712313652038574,1
밑줄,철학,0.5054410099983215,1
박물관,미술,0.5244410634040833,3
박애,평등,0.7147350311279297,2
반격,추격,0.641403079032898,1
반성,후회,0.62535560131073,1
반추,동물,0.5551092624664307,1
발각,살인,0.5089609622955322,1
발견,발견,1,2
발굴,발견,0.5881547927856445,1
발생,혼란,0.6102904081344604,3
발전,성장,0.7311267852783203,2
방심,후회,0.613030731678009,1
방패,마법,0.5824995040893555,3
방해,혼란,0.5498800277709961,1
방향,미래,0.5546501278877258,2
방황,이별,0.6669331789016724,1
배려,헌신,0.6277512907981873,1
배후,음모,0.5052520632743835,2
버스,교통,0.730898916721344,4
변종,좀비,0.6061926484107971,2
변화,성장,0.7235260605812073,4
병원비,고통,0.5332443714141846,1
병치,질서,0.5385363698005676,1
보이스,드라마,0.5123955011367798,1
복제,동물,0.5838690400123596,2
본질,윤리,0.6154810786247253,1
부대,군대,0.6763806939125061,1
부도,경제,0.5217757821083069,1
분배,평등,0.5771034955978394,1
불안,불안,1,1
불호,자아,0.5083271861076355,1
붕괴,혼란,0.6892794370651245,1
비중,성장,0.5152275562286377,3
빈집,도둑,0.6238487958908081,1
사건,살인,0.7159186005592346,3
사람,꿈,0.5610076785087585,7
사랑,사랑,1,11
사설,재난,0.5673307776451111,1
사이코,스릴러,0.5595394968986511,1
사진,미술,0.5546669960021973,2
사태,혼란,0.6536093354225159,2
사회,경제,0.8096231818199158,1
상상,욕망,0.6180667877197266,3
상실,상실,1,2
상실감,무력감,0.7842317819595337,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,2
새드,액션,0.6351451277732849,1
생각,후회,0.6602693200111389,19
서사,신화,0.6202012896537781,7
선택,희망,0.5827092528343201,3
설계,환경,0.5748440623283386,4
성공,성장,0.6859850287437439,7
성분,음식,0.5479894876480103,1
성인,교육,0.5841577649116516,1
성장,성장,1,13
세계,경제,0.6071235537528992,22
세상,기쁨,0.6082786321640015,6
소멸,상실,0.6378204226493835,4
소설,만화,0.8215566873550415,1
송가,기쁨,0.5573511123657227,1
수행,성장,0.5646498799324036,1
쉴드,좀비,0.5411375761032104,1
스냅,액션,0.5992845892906189,1
스틸,액션,0.5995299220085144,1
스파이,드라마,0.5523907542228699,1
습격,반란,0.656060516834259,1
승패,전투,0.5012703537940979,1
시공간,우주,0.5488505363464355,2
시리즈,만화,0.5106303691864014,34
시작,발견,0.534450113773346,10
시장,경제,0.6355687975883484,1
