Word,Category,Similarity,Frequency
가공,농업,0.5658583641052246,1
가늠,기대,0.5158867239952087,1
가능,여행,0.6136982440948486,20
가부장,권력,0.5734140872955322,2
가슴,상처,0.6098507642745972,3
가시,상처,0.5885528922080994,1
가입,희망,0.5199176073074341,1
가족,가족,1,3
가죽,동물,0.6331756114959717,4
가중,혼란,0.5712937712669373,1
가축,동물,0.6834333539009094,7
가치,윤리,0.6346501111984253,3
가치관,자기성찰,0.5398943424224854,1
간극,갈등,0.6181369423866272,1
갈등,갈등,1,2
갈피,꿈,0.5324289202690125,1
감동,기쁨,0.6450744271278381,6
감미,음식,0.5325547456741333,1
감상,음악,0.6411212086677551,8
감성,심리,0.6301533579826355,1
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,50
감지,발견,0.5597200989723206,1
감화,기쁨,0.6117310523986816,1
강간,범죄,0.732934832572937,9
강간범,살인,0.636356770992279,1
강도,저항,0.6040131449699402,1
강력,충격,0.5549739599227905,1
강점,성장,0.5418332815170288,2
개방,교육,0.5870132446289062,1
거리,도시,0.60332190990448,7
거울,용기,0.5582752227783203,10
걱정,후회,0.651527464389801,4
검색,여행,0.6249870657920837,1
겁탈,살인,0.6617544293403625,2
게으름,무력감,0.558092474937439,1
게임,만화,0.7299426198005676,3
결여,상실,0.6932352781295776,1
결핍,상실,0.6430530548095703,5
결혼,연애,0.6863196492195129,1
경제,경제,1,1
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,15
계층,환경,0.5694180130958557,1
고독,고독,1,3
고독감,무력감,0.8025128841400146,2
고통,고통,1,4
고향,시골,0.6128569841384888,1
곤란,상실,0.6153967976570129,1
곱슬머리,인형,0.5180158615112305,1
공급,교육,0.5476977229118347,1
공포,공포,1,2
공포심,무력감,0.6654345393180847,1
공헌,헌신,0.5855354070663452,1
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,17
과학,과학,1,2
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,4
관심,기대,0.6249675154685974,6
관찰,발견,0.5781939625740051,2
