Word,Category,Similarity,Frequency
가치,윤리,0.6346501111984253,1
관람,여행,0.5587009191513062,1
극장판,드라마,0.5479550361633301,1
기대,기대,1,1
뮤직,음악,0.7402024269104004,1
배포,교육,0.5816227197647095,1
상영,방송,0.6350025534629822,1
싯점,액션,1,1
엽서,만화,0.5620483756065369,1
영화,만화,0.7536719441413879,1
일러스트,만화,0.5200430750846863,3
입체,미술,0.5655646920204163,1
자료,교육,0.5909054279327393,1
장면,액션,0.5999083518981934,1
전집,만화,0.5431036949157715,1
증식,성장,0.6105002164840698,1
큐시트,방송,0.5455529093742371,1
특전,여행,0.5606608986854553,1
포즈,액션,0.6194324493408203,1
표지,만화,0.5380036234855652,2
피규어,인형,0.5592886209487915,1

Category,Count,average
만화,5,0.5833741426467896
액션,3,0.7397802670796713
방송,2,0.5902777314186096
교육,2,0.5862640738487244
여행,2,0.5596809089183807
기대,1,1.0
음악,1,0.7402024269104004
윤리,1,0.6346501111984253
성장,1,0.6105002164840698
미술,1,0.5655646920204163
인형,1,0.5592886209487915
드라마,1,0.5479550361633301
