Word,Category,Similarity,Frequency
가입,희망,0.5199176073074341,1
가족,가족,1,1
감상,음악,0.6411212086677551,1
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,1
공포,공포,1,7
관람,여행,0.5587009191513062,5
국가,경제,0.7089344263076782,5
기억,사랑,0.6537694931030273,2
납치,살인,0.6689104437828064,2
누나,가족,0.5465071797370911,2
단둘,액션,1,7
당부,희망,0.507290780544281,1
댓글,후회,0.505795419216156,1
뒷조사,음모론,0.5236920714378357,1
또래,가족,0.6356732845306396,1
마음,기쁨,0.6783162951469421,1
만화,만화,1,1
멤머,액션,1,1
모교,학교,0.5476897954940796,1
모습,꿈,0.5368646383285522,2
모양,인형,0.6405982375144958,1
발생,혼란,0.6102904081344604,6
방문,여행,0.5841829180717468,1
방영,방송,0.7201281189918518,1
범죄,범죄,1,1
보복,폭력,0.687204122543335,1
사건,살인,0.7159186005592346,9
사고,의심,0.5630502700805664,2
사람,꿈,0.5610076785087585,1
사진,미술,0.5546669960021973,1
살인,살인,1,8
살인마,살인,0.5618112683296204,4
살인범,정신병,0.575529932975769,1
살인자,도둑,0.5604517459869385,1
살해,살인,0.6861730217933655,3
상영,방송,0.6350025534629822,1
생각,후회,0.6602693200111389,2
성공,성장,0.6859850287437439,1
성인,교육,0.5841577649116516,7
수사,범죄,0.673683226108551,1
스릴러,스릴러,1,5
스트리밍,음악,0.5658097267150879,1
시작,발견,0.534450113773346,2
식당,음식,0.6759225726127625,1
싸움,전투,0.6696678996086121,1
아메리칸,코미디,0.5698598623275757,1
안부,대화,0.6139237284660339,1
양산,생존,0.5309751033782959,1
엄마,사랑,0.5908297300338745,18
에로,액션,0.6841403841972351,1
여대,학교,0.5447520017623901,7
연쇄,살인,0.6428334712982178,6
영화,만화,0.7536719441413879,34
예고편,드라마,0.5787103772163391,1
용의자,살인,0.5122509598731995,2
원한,고독,0.5244227647781372,2
위장,질병,0.5374902486801147,2
위협,폭력,0.639009416103363,1
의류,미술,0.6170772910118103,1
이름,신화,0.5608668327331543,1
이웃,가족,0.6304181218147278,1
입학,학교,0.5971783399581909,7
작전,전투,0.6892815232276917,1
장르,음악,0.7329081892967224,5
재미,모험,0.6051297187805176,1
전말,살인,0.5941734910011292,1
정보,교통,0.6121577620506287,20
정체불명,외계인,0.5420896410942078,1
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,2
주차,교통,0.6286762952804565,1
죽음,고독,0.6896678805351257,2
줄거리,드라마,0.531794548034668,11
참여,기대,0.5516729950904846,1
채널,방송,0.7239679098129272,1
청소년,교육,0.5544909238815308,4
체포,고문,0.6018785238265991,2
추적,수색,0.6436203122138977,1
파이,좀비,0.5139744877815247,3
학교,학교,1,6
행복,기쁨,0.7726561427116394,7
형사,탐정,0.7352063655853271,7
환영,희망,0.5663730502128601,1

Category,Count,average
살인,8,0.6727589070796967
가족,4,0.7031496465206146
방송,4,0.6774734109640121
학교,4,0.6724050343036652
여행,4,0.5925741046667099
액션,3,0.8947134613990784
음악,3,0.6466130415598551
후회,3,0.6058640678723654
희망,3,0.5311938126881918
만화,2,0.876835972070694
범죄,2,0.8368416130542755
기쁨,2,0.7254862189292908
전투,2,0.6794747114181519
폭력,2,0.663106769323349
사랑,2,0.6222996115684509
교통,2,0.6204170286655426
고독,2,0.6070453226566315
미술,2,0.5858721435070038
교육,2,0.5693243443965912
드라마,2,0.5552524626255035
꿈,2,0.5489361584186554
공포,1,1.0
스릴러,1,1.0
탐정,1,0.7352063655853271
경제,1,0.7089344263076782
성장,1,0.6859850287437439
음식,1,0.6759225726127625
수색,1,0.6436203122138977
인형,1,0.6405982375144958
대화,1,0.6139237284660339
혼란,1,0.6102904081344604
모험,1,0.6051297187805176
고문,1,0.6018785238265991
정신병,1,0.575529932975769
코미디,1,0.5698598623275757
의심,1,0.5630502700805664
신화,1,0.5608668327331543
도둑,1,0.5604517459869385
기대,1,0.5516729950904846
외계인,1,0.5420896410942078
질병,1,0.5374902486801147
발견,1,0.534450113773346
생존,1,0.5309751033782959
음모론,1,0.5236920714378357
좀비,1,0.5139744877815247
