Word,Category,Similarity,Frequency
ᅲᅮ,액션,1,1
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,1
가시,상처,0.5885528922080994,1
가족,가족,1,6
감동,기쁨,0.6450744271278381,2
감성,심리,0.6301533579826355,1
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,3
감지,발견,0.5597200989723206,1
감행,추격,0.5397303700447083,1
감흥,슬픔,0.63573157787323,1
개그,개그,1,2
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
거만,유쾌,0.5570982694625854,1
거액,도박,0.5036361217498779,2
거울,용기,0.5582752227783203,1
거짓,범죄,0.5651490092277527,1
거짓말,부도덕,0.5334540605545044,7
결혼,연애,0.6863196492195129,1
경제,경제,1,4
경험,열정,0.6344258189201355,3
고교,학교,0.6200820207595825,2
고등학교,학교,0.6346824765205383,1
고향,시골,0.6128569841384888,1
곤란,상실,0.6153967976570129,2
공격,전투,0.6404148936271667,1
공포,공포,1,7
과도,권력,0.5410835146903992,1
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,2
관전,정치,0.5587530136108398,1
교감,대화,0.5680186152458191,1
교류,대화,0.6140486598014832,1
교훈,희망,0.596325695514679,4
구속,충격,0.5845648646354675,1
국가,경제,0.7089344263076782,1
국회의원,시민운동,0.5213994383811951,2
군인,군대,0.6802380084991455,1
군화,인형,0.5309977531433105,1
군홧,액션,1,1
군홧발,폭력,0.6030946969985962,1
그릇,음식,0.6678139567375183,1
그림자,유령,0.5297560691833496,1
근저,철학,0.5464869737625122,1
근처,학교,0.5683311223983765,1
긍정,희망,0.608379602432251,2
기대,기대,1,1
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,3
긴박,유쾌,0.5951035618782043,1
꼬마,도둑,0.5964561700820923,2
낙서,폭력,0.5975281000137329,1
날씨,환경,0.6094790697097778,1
날짜,여행,0.5524149537086487,1
남매,가족,0.677724301815033,1
남자,사랑,0.5456969141960144,7
남편,가족,0.6233720779418945,1
내기,내면,0.5713791251182556,1
냄새,음식,0.5817655324935913,1
놀이,춤,0.6705771684646606,1
느낌,슬픔,0.6343626976013184,5
늑대,동물,0.6492973566055298,2
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
단편,만화,0.737099826335907,1
대립,갈등,0.8246769905090332,1
대외,경제,0.6580508947372437,1
대항,폭력,0.5444368720054626,1
도깨비,드라마,0.5560027360916138,10
도움,기대,0.5482439994812012,2
도촬,범죄,0.6220617294311523,1
독일군,군대,0.5101509094238281,2
독특,춤,0.5334261655807495,2
돼지,동물,0.6352735757827759,2
드라마,드라마,1,1
뚜껑,용기,0.6211519241333008,1
마라톤,스포츠,0.6136941909790039,1
마법,마법,1,1
마음,기쁨,0.6783162951469421,3
만족,기대,0.6570032238960266,1
맛깔,유쾌,0.537874162197113,1
매칭,연애,0.5104450583457947,2
맹수,괴물,0.6745051741600037,1
먹거리,음식,0.5923094749450684,1
모습,꿈,0.5368646383285522,23
모양,인형,0.6405982375144958,1
몰입,열정,0.6674494743347168,4
몸매,의리,0.5643829703330994,1
무단,폭력,0.5057473182678223,2
무당,신화,0.5986296534538269,10
무덤,신화,0.5744480490684509,1
문제,갈등,0.6495088934898376,1
물건,인형,0.6116355657577515,2
물병,용기,0.5961412191390991,1
물집,상처,0.6022695302963257,1
뮤지션,뮤지컬,0.5509675741195679,1
므흣,만화,0.5936765074729919,1
미래,미래,1,5
미스터리,미스터리,1,3
미스테리,미스터리,0.7573594450950623,1
바다,바다,1,1
박살,도둑,0.5136302709579468,1
반말,폭력,0.5853083729743958,1
반성,후회,0.62535560131073,3
반일,독재,0.5812307596206665,1
발견,발견,1,2
발길,추격,0.5241652727127075,1
발언,대화,0.537577211856842,1
발휘,기대,0.5250481367111206,1
밤길,도둑,0.5287847518920898,1
버릇,괴담,0.5234306454658508,1
베테랑,탐정,0.5211659669876099,1
변태,인형,0.6163353323936462,1
변화,성장,0.7235260605812073,1
병실,가족,0.550695538520813,1
복귀,생존,0.5351816415786743,1
봉착,고통,0.546981692314148,1
부모,가족,0.6875284910202026,2
부적,꿈,0.5368970036506653,2
분노,분노,1,1
분야,과학,0.6800429821014404,1
분장,개그,0.5647703409194946,1
불빛,꿈,0.5932316780090332,2
빙의,마법,0.5283884406089783,1
사건,살인,0.7159186005592346,4
사고,의심,0.5630502700805664,5
사람,꿈,0.5610076785087585,13
사랑,사랑,1,1
사전,교육,0.5635393261909485,1
사제,종교,0.586785614490509,2
사진,미술,0.5546669960021973,1
사회,경제,0.8096231818199158,4
삭제,의심,0.5076044797897339,1
산소,전기,0.5702613592147827,1
살육,살인,0.6286163926124573,1
살인마,살인,0.5618112683296204,1
살인범,정신병,0.575529932975769,2
상극,갈등,0.6156589984893799,2
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,3
상승세,성장,0.5248728394508362,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,5
색채,미술,0.6537377238273621,1
생각,후회,0.6602693200111389,13
생활,환경,0.7009555697441101,1
서점,만화,0.6348190903663635,2
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,1
성장,성장,1,1
성장기,성장,0.5317721962928772,1
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,2
세상,기쁨,0.6082786321640015,2
소설,만화,0.8215566873550415,22
수직,해양,0.511836588382721,2
숲길,설원,0.6164213418960571,1
스님,고문,0.5142120122909546,1
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,6
스틸,액션,0.5995299220085144,2
스틸컷,다큐멘터리,0.6168383359909058,7
시계,미술,0.6200137138366699,1
시리즈,만화,0.5106303691864014,1
시신,수색,0.6265639066696167,1
시작,발견,0.534450113773346,12
시청,방송,0.6024045944213867,1
식사,음식,0.727923572063446,1
식탁,음식,0.6009242534637451,1
신경,질병,0.5199351906776428,2
신병,군대,0.5912418365478516,1
신작,만화,0.6367781758308411,5
실수,후회,0.5709443092346191,1
실패,후회,0.6084508299827576,1
실현,미래,0.6133867502212524,1
씨지,액션,1,3
아들,가족,0.5667959451675415,1
악당,좀비,0.6801067590713501,1
악지,유쾌,0.5313693284988403,1
애니,만화,0.7641763091087341,1
애석,슬픔,0.5296512842178345,1
야구,개그,0.6280479431152344,1
어둠,절망,0.694835364818573,1
엄두,후회,0.5174670219421387,1
엄마,사랑,0.5908297300338745,5
에피소드,드라마,0.5304465889930725,5
여우,동물,0.6776934266090393,7
여자,사랑,0.5380519032478333,2
여정,이별,0.6358245611190796,1
여행,여행,1,3
역사,철학,0.6869469285011292,1
연극,미술,0.7502412796020508,1
연쇄,살인,0.6428334712982178,2
연애,연애,1,1
연출,액션,0.5377380847930908,4
연출력,액션,0.515964686870575,1
열광,분노,0.6348607540130615,1
염도,음식,0.5136164426803589,1
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,125
예고편,드라마,0.5787103772163391,2
온몸,상처,0.5155565738677979,1
옴니버스,코미디,0.5680863857269287,2
왕족,권력,0.552047073841095,1
욕심,욕망,0.6326161026954651,1
운세,연애,0.5606837272644043,1
울음,슬픔,0.669041633605957,1
웃음,개그,0.6434062123298645,7
원작,만화,0.7227425575256348,5
원혼,분노,0.6333989500999451,1
위기,혼란,0.6975850462913513,4
위험,불안,0.6922099590301514,4
유대인,종교,0.5570569634437561,2
유머,개그,0.6961884498596191,1
육아,교육,0.7042093276977539,1
은어,폭력,0.5342620611190796,2
응답,대화,0.5701541304588318,1
의견,갈등,0.5687873959541321,1
의심,의심,1,2
의외,충격,0.5524848699569702,1
이름,신화,0.5608668327331543,1
이슈,정치,0.619047224521637,1
이웃,가족,0.6304181218147278,1
이질감,갈등,0.5083499550819397,1
이해,철학,0.5395932197570801,1
인물,정치,0.5848035216331482,2
인부,살인,0.510659396648407,4
인상,기대,0.6044384241104126,1
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,2
입체,미술,0.5655646920204163,1
자국,전쟁,0.5191842913627625,1
자부,후회,0.5151330232620239,1
자세,액션,0.5511509776115417,1
자식,가족,0.5835269689559937,3
자연,환경,0.6941760182380676,1
자행,폭력,0.5630164742469788,1
작가,만화,0.6290877461433411,2
작정,기쁨,0.5546167492866516,1
작중,액션,0.5323927402496338,1
잔악,액션,1,1
잡담,괴담,0.5088366866111755,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,10
장손,권력,0.5216225981712341,1
재미,모험,0.6051297187805176,4
저자,철학,0.5008198022842407,1
적응,환경,0.6063060760498047,1
전반,정치,0.5626547336578369,1
전속력,해양,0.5233089923858643,1
전화,대화,0.5852361917495728,4
절규,희생,0.6183717250823975,1
절제,욕망,0.5824708938598633,1
정보,교통,0.6121577620506287,6
조절,저항,0.5050233602523804,1
존속,생존,0.6280755996704102,1
졸업,여행,0.5504979491233826,1
주요,도시,0.5643994808197021,1
주저,후회,0.5583959817886353,1
죽음,고독,0.6896678805351257,1
줄거리,드라마,0.531794548034668,2
지하실,감옥,0.6286341547966003,2
짐작,기대,0.5603034496307373,3
집단,폭력,0.6576167941093445,1
집안,가족,0.6251765489578247,2
착각,후회,0.5621350407600403,1
찬가,신화,0.5975827574729919,1
찹쌀,음식,0.5265370607376099,1
창고,감옥,0.521349310874939,1
책임,윤리,0.6478115320205688,1
청춘,사랑,0.612774670124054,3
체험,교육,0.6782315373420715,1
총알,충격,0.5519258975982666,1
최신,과학,0.5843662023544312,4
추억,사랑,0.6609922647476196,1
추천,여행,0.5768113136291504,1
축사,꿈,0.5490277409553528,1
축제,춤,0.6026461720466614,1
출간,만화,0.5564123392105103,1
출발,여행,0.6575770378112793,1
출연,방송,0.659591019153595,2
충돌,갈등,0.6331798434257507,1
취미,음악,0.5891837477684021,1
치사,살인,0.584929347038269,1
친분,갈등,0.5898627042770386,1
침입,멸망,0.5595712661743164,2
카페,유령,0.5409449934959412,1
캐릭터,인형,0.5306801795959473,8
코드,액션,0.5642611384391785,2
코믹,만화,0.7493361830711365,1
탈피,성장,0.5335842967033386,1
터득,후회,0.5215193033218384,1
퇴원,이별,0.5475091338157654,1
특별,의료,0.5320938229560852,3
특성,환경,0.650132417678833,1
특징,환경,0.5862691402435303,2
파묘,액션,1,7
판단,의심,0.5710378289222717,1
판타지,판타지,1,2
패션,미술,0.6880987882614136,1
평화,평등,0.671115517616272,1
포복절도,드라마,0.5020449161529541,1
표정,유쾌,0.5511194467544556,2
표현,대화,0.5644240975379944,6
피로,고통,0.56242835521698,1
피아니스트,뮤지컬,0.5434163808822632,1
학교,학교,1,1
학년,학교,0.6330993175506592,1
학대,범죄,0.6776032447814941,2
학생,학교,0.7100017070770264,1
학창,만화,0.580868124961853,1
한숨,슬픔,0.6687619090080261,1
해결,갈등,0.5887223482131958,1
행성,우주,0.7238700985908508,1
허리,상처,0.5423044562339783,3
현대,미술,0.6356669068336487,1
호소,동정,0.5579015016555786,1
혼령,분노,0.6107680201530457,5
화상,의료,0.6069163680076599,1
화장,인형,0.5367721319198608,3
환경,환경,1,2
회피,의심,0.6014653444290161,1
효과,기대,0.5692968964576721,1
후속작,판타지,0.5277939438819885,1
후회,후회,1,1
휴대폰,컴퓨터,0.5683847665786743,2
흉내,내면,0.5602818131446838,2
흐름,질서,0.5799944400787354,1

Category,Count,average
액션,13,0.734512957242819
만화,13,0.6685273739007803
후회,10,0.6139670431613922
가족,9,0.6605819993548923
기대,9,0.6298584275775485
갈등,8,0.6223433911800385
폭력,8,0.5738763362169266
환경,7,0.6924740416663033
사랑,7,0.6574449964932033
여행,7,0.6442429167883736
미술,7,0.6382843000548226
음식,7,0.6015557561601911
유쾌,7,0.5769066640308925
대화,7,0.5747077294758388
학교,6,0.6943661073843638
성장,6,0.6666234036286672
드라마,6,0.6164998610814413
살인,6,0.607461412747701
인형,6,0.5778365333875021
경제,5,0.7567464113235474
개그,5,0.7064825892448425
의심,5,0.6486315846443176
교육,5,0.6373070001602172
슬픔,5,0.6275098204612732
상처,5,0.5717068433761596
꿈,5,0.5554057478904724
분노,4,0.7197569310665131
연애,4,0.689362108707428
기쁨,4,0.6215715259313583
범죄,4,0.6116706728935242
신화,4,0.582881823182106
정치,4,0.5813146233558655
철학,4,0.5684617310762405
발견,3,0.6980567375818888
심리,3,0.6566622058550516
동물,3,0.6540881196657816
열정,3,0.6383255124092102
방송,3,0.6323327223459879
욕망,3,0.6110512614250183
춤,3,0.6022165020306905
군대,3,0.5938769181569418
용기,3,0.5918561220169067
충격,3,0.5629918773969015
도둑,3,0.546290397644043
추격,3,0.5407630999883016
권력,3,0.5382510622342428
미스터리,2,0.8786797225475311
미래,2,0.8066933751106262
마법,2,0.7641942203044891
판타지,2,0.7638969719409943
혼란,2,0.6709383726119995
음악,2,0.6610459685325623
과학,2,0.6322045922279358
괴물,2,0.6192542314529419
희망,2,0.602352648973465
이별,2,0.5916668474674225
다큐멘터리,2,0.5854607820510864
도시,2,0.5838606953620911
생존,2,0.5816286206245422
감옥,2,0.5749917328357697
종교,2,0.5719212889671326
의료,2,0.5695050954818726
내면,2,0.5658304691314697
고통,2,0.554705023765564
뮤지컬,2,0.5471919775009155
유령,2,0.5353505313396454
