Word,Category,Similarity,Frequency
가족,가족,1,1
가치,윤리,0.6346501111984253,1
강간,범죄,0.732934832572937,1
거물,고문,0.5415357947349548,1
고발,범죄,0.5842509865760803,3
고통,고통,1,2
공연,음악,0.7031762599945068,1
과정,교육,0.6268183588981628,7
관람,여행,0.5587009191513062,1
권력,권력,1,2
권력자,권력,0.6178524494171143,1
노력,헌신,0.6555296182632446,3
놀라움,기쁨,0.5606492757797241,1
다큐멘터리,다큐멘터리,1,1
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,2
면모,자아,0.5388920903205872,1
모습,꿈,0.5368646383285522,4
밀도,저항,0.5150157809257507,1
배급사,드라마,0.5019193887710571,1
범죄자,범죄,0.5728323459625244,1
변화,성장,0.7235260605812073,1
보도,방송,0.6695681214332581,1
분노,분노,1,2
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,2
성공,성장,0.6859850287437439,1
성추행,폭력,0.5646491050720215,1
성폭행,범죄,0.513474702835083,2
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,2
손길,기쁨,0.5999132990837097,1
손아귀,권력,0.5062328577041626,1
스캔들,로맨스,0.5457527041435242,3
시작,발견,0.534450113773346,2
신문,방송,0.6771079897880554,1
실체,배신,0.5563049912452698,1
실태,교육,0.6296263933181763,1
심층,심리,0.558529794216156,1
아내,가족,0.582758903503418,1
아픔,상처,0.7904168963432312,1
악마,괴물,0.7208051085472107,1
악습,폭력,0.6247851848602295,1
악행,폭력,0.6362540125846863,1
압력,저항,0.6949247121810913,1
야구,개그,0.6280479431152344,1
양육,교육,0.6785783767700195,1
엄마,사랑,0.5908297300338745,1
여배우,드라마,0.5256187319755554,1
여정,이별,0.6358245611190796,1
연출,액션,0.5377380847930908,2
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,10
용기,용기,1,1
원작,만화,0.7227425575256348,1
위험,불안,0.6922099590301514,1
유죄,살인,0.5797432661056519,1
의견,갈등,0.5687873959541321,1
이름,신화,0.5608668327331543,1
이해,철학,0.5395932197570801,1
인상,기대,0.6044384241104126,2
인터뷰,다큐멘터리,0.5540832281112671,1
입막음,부도덕,0.5610069036483765,1
재계,경제,0.5773046016693115,1
전시,미술,0.6214971542358398,1
청취,음악,0.5463555455207825,1
체계,질서,0.6883434057235718,1
추격자,언더독,0.5275876522064209,1
추문,살인,0.6505371332168579,3
추적,수색,0.6436203122138977,3
출연,방송,0.659591019153595,2
충격,충격,1,2
취재,방송,0.565690815448761,4
카피,용기,0.5158012509346008,1
탐문,수색,0.6163005232810974,1
탐욕,욕망,0.6861580610275269,1
투히,액션,1,3
파산,도박,0.5506047010421753,1
판결,법정,0.6012944579124451,1
폭력,폭력,1,1
폭로,충격,0.6623914837837219,1
폭압,독재,0.6426587104797363,1
피해,범죄,0.5507293343544006,2
합병,멸망,0.5028859972953796,1
합의,대화,0.6029186844825745,1
해고,살인,0.5240885615348816,1
행위,폭력,0.6302486658096313,1
혐의,범죄,0.6398565173149109,1
확인,발견,0.6419516205787659,1
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,1

Category,Count,average
범죄,6,0.5990131199359894
폭력,5,0.6911873936653137
방송,4,0.6429894864559174
교육,4,0.6359086036682129
권력,3,0.7080284357070923
드라마,3,0.6758460402488708
기쁨,3,0.5896137356758118
살인,3,0.5847896536191305
충격,2,0.831195741891861
가족,2,0.791379451751709
다큐멘터리,2,0.7770416140556335
액션,2,0.7688690423965454
용기,2,0.7579006254673004
만화,2,0.7382072508335114
성장,2,0.7047555446624756
수색,2,0.6299604177474976
음악,2,0.6247659027576447
저항,2,0.604970246553421
경제,2,0.5922140777111053
기대,2,0.5919313132762909
발견,2,0.5882008671760559
고통,1,1.0
분노,1,1.0
상처,1,0.7904168963432312
괴물,1,0.7208051085472107
불안,1,0.6922099590301514
질서,1,0.6883434057235718
욕망,1,0.6861580610275269
후회,1,0.6602693200111389
헌신,1,0.6555296182632446
혼란,1,0.6442916989326477
독재,1,0.6426587104797363
이별,1,0.6358245611190796
윤리,1,0.6346501111984253
개그,1,0.6280479431152344
미술,1,0.6214971542358398
대화,1,0.6029186844825745
법정,1,0.6012944579124451
사랑,1,0.5908297300338745
갈등,1,0.5687873959541321
희망,1,0.5663730502128601
부도덕,1,0.5610069036483765
신화,1,0.5608668327331543
여행,1,0.5587009191513062
가상현실,1,0.5586168169975281
심리,1,0.558529794216156
배신,1,0.5563049912452698
도박,1,0.5506047010421753
로맨스,1,0.5457527041435242
고문,1,0.5415357947349548
철학,1,0.5395932197570801
자아,1,0.5388920903205872
꿈,1,0.5368646383285522
언더독,1,0.5275876522064209
멸망,1,0.5028859972953796
