Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,11
가상,우주,0.619330644607544,114
가상공간,가상현실,0.6674028038978577,6
가상현실,가상현실,1,2
가수,음악,0.6117961406707764,14
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,16
가족,가족,1,7
가치,윤리,0.6346501111984253,1
간접,교육,0.5171768665313721,1
갈등,갈등,1,2
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,2
감성,심리,0.6301533579826355,5
감염,질병,0.6859014630317688,1
감정,심리,0.7588332891464233,9
강력,충격,0.5549739599227905,1
개념,교육,0.6287856698036194,3
거대,괴물,0.5640032887458801,1
거주,도시,0.6213511228561401,1
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,3
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,1
검심,만화,0.6075953841209412,1
게임,만화,0.7299426198005676,4
격투,액션,0.6852583885192871,1
경쟁,갈등,0.6576756238937378,1
경제,경제,1,4
경험,열정,0.6344258189201355,5
계곡,설원,0.5840649604797363,1
고교,학교,0.6200820207595825,1
고뇌,고독,0.6679061055183411,1
고등학교,학교,0.6346824765205383,1
고립,불안,0.661411464214325,2
고통,고통,1,1
고향,시골,0.6128569841384888,1
골조,질서,0.5190972685813904,2
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,5
공짜,좀비,0.531777560710907,1
공통,환경,0.583020031452179,1
공포,공포,1,1
과정,교육,0.6268183588981628,10
관람,여행,0.5587009191513062,12
관심,기대,0.6249675154685974,8
괴로움,고통,0.6400415301322937,1
괴리,갈등,0.6599999666213989,1
괴물,괴물,1,8
굉음,절망,0.5760860443115234,1
교내,학교,0.7538260221481323,1
교류,대화,0.6140486598014832,1
교육,교육,1,3
교훈,희망,0.596325695514679,3
구멍,상처,0.5373755693435669,2
구입,여행,0.5183897018432617,1
구조,환경,0.6101574897766113,3
국가,경제,0.7089344263076782,1
국적,종교,0.53299880027771,1
군단,해적,0.6255456805229187,2
굴복,배신,0.5670102834701538,1
굿즈,인형,0.614889919757843,1
권력,권력,1,1
균형,질서,0.6706463098526001,2
그리움,고독,0.5979834794998169,1
극복,고통,0.6304678916931152,3
극장판,드라마,0.5479550361633301,6
근거,의심,0.5799501538276672,1
글로벌,가상현실,0.526810348033905,2
금단,고독,0.6066370010375977,1
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,1
기대,기대,1,15
기분,유쾌,0.6678951382637024,5
기술,농업,0.6986809968948364,4
기억,사랑,0.6537694931030273,6
기타,음악,0.5873071551322937,1
나날,이별,0.6136053204536438,5
난동,폭력,0.638001561164856,1
난입,폭력,0.5554153919219971,3
난폭,폭력,0.6763105392456055,1
남자,사랑,0.5456969141960144,3
납득,용서,0.5769292116165161,2
내면,내면,1,5
노래,춤,0.7242721915245056,98
노력,헌신,0.6555296182632446,3
놀이,춤,0.6705771684646606,1
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,22
늑대,동물,0.6492973566055298,2
능력,교육,0.6137364506721497,2
다짐,열정,0.6131012439727783,1
단계,성장,0.6726707220077515,1
단둘,액션,1,1
단언,후회,0.5361717343330383,2
단짝,사랑,0.5452064275741577,1
단편,만화,0.737099826335907,1
대입,교육,0.5688934922218323,1
대처,재난,0.5325601696968079,1
댓글,후회,0.505795419216156,5
데모,전투,0.5268520712852478,1
도끼,신화,0.5833896994590759,1
도사,법정,0.5338504910469055,2
도시,도시,1,7
도움,기대,0.5482439994812012,7
도전,열정,0.6956499814987183,3
독창,춤,0.6945516467094421,1
독특,춤,0.5334261655807495,1
돌입,추격,0.5638843774795532,1
동아리,학교,0.5982939600944519,3
동영상,가상현실,0.5586168169975281,3
두려움,두려움,1,4
드라마,드라마,1,4
드래곤,판타지,0.5588497519493103,18
드레스,로맨스,0.5291532278060913,1
등록,여행,0.5735748410224915,1
디바,신화,0.5497291088104248,1
디바이스,컴퓨터,0.5763373970985413,2
디지털,컴퓨터,0.6325473189353943,3
따돌림,트라우마,0.5702736377716064,1
라이프,판타지,0.5347487926483154,1
루머,음모론,0.6119884252548218,2
리얼,액션,0.6809289455413818,1
리얼리티,코미디,0.6628924608230591,1
마녀,유령,0.7514040470123291,1
마음,기쁨,0.6783162951469421,42
막장,개그,0.6745045781135559,1
만족,기대,0.6570032238960266,2
만화,만화,1,3
맛집,음식,0.6337778568267822,1
매너리즘,부조리,0.5213077068328857,1
매력,열정,0.6489761471748352,9
매체,방송,0.6981302499771118,1
메모,대화,0.5669617652893066,2
메시지,대화,0.5048822164535522,6
면모,자아,0.5388920903205872,2
명암,갈등,0.5055415034294128,1
명작,만화,0.6867616772651672,1
명장면,코미디,0.5314233899116516,1
모델,교육,0.5252665281295776,1
모성애,자기성찰,0.5165060758590698,1
모습,꿈,0.5368646383285522,33
모임,가족,0.6203815937042236,3
모종,동물,0.5004690289497375,1
모험,모험,1,3
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,8
무모,살인,0.5360095500946045,2
문제,갈등,0.6495088934898376,21
문제점,사회문제,0.5382509231567383,1
물놀이,서바이벌,0.5113987922668457,1
물음,절망,0.5957352519035339,1
뭅득,액션,1,1
뮤지션,뮤지컬,0.5509675741195679,3
뮤지컬,뮤지컬,1,4
미래,미래,1,14
미움,사랑,0.7050434350967407,1
바이러스,질병,0.5053297281265259,1
바지,학교,0.5488675236701965,1
박살,도둑,0.5136302709579468,1
반응,충격,0.5951288342475891,1
발견,발견,1,13
발달,성장,0.7021803855895996,1
발목,상처,0.5137267112731934,1
발상,철학,0.5057413578033447,1
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,2
발현,성장,0.5772488117218018,1
발휘,기대,0.5250481367111206,1
방구,폭력,0.54300856590271,1
방학,학교,0.627612829208374,1
방해,혼란,0.5498800277709961,3
방향,미래,0.5546501278877258,1
배치,수색,0.5295758843421936,1
