Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,3
가발,인형,0.6572422385215759,1
가슴,상처,0.6098507642745972,1
가족,가족,1,29
가죽,동물,0.6331756114959717,1
가짜,괴담,0.5858274698257446,1
간발,액션,1,1
갈등,갈등,1,4
감동,기쁨,0.6450744271278381,16
감상,음악,0.6411212086677551,6
감성,심리,0.6301533579826355,7
감정,심리,0.7588332891464233,6
강력,충격,0.5549739599227905,1
강박,자아,0.6491145491600037,1
개그,개그,1,2
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,2
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,6
게임,만화,0.7299426198005676,1
결실,기쁨,0.5356451272964478,1
고난,고통,0.6465856432914734,2
고통,고통,1,1
골목,괴담,0.5829960107803345,1
공격,전투,0.6404148936271667,1
공로,헌신,0.6110802292823792,1
공연,음악,0.7031762599945068,2
공조,액션,0.5622533559799194,3
과자,음식,0.7175213694572449,1
과정,교육,0.6268183588981628,8
관람,여행,0.5587009191513062,21
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,5
국어,과학,0.6368488669395447,1
권력자,권력,0.6178524494171143,2
권총,도둑,0.5374994874000549,2
궤변,음모론,0.6309665441513062,1
그리움,고독,0.5979834794998169,1
극복,고통,0.6304678916931152,1
극장가,드라마,0.5290873050689697,1
근검절약,인간성,0.511100172996521,1
글로벌,가상현실,0.526810348033905,1
기대,기대,1,9
기억,사랑,0.6537694931030273,4
기와,꿈,0.5662202835083008,1
기타,음악,0.5873071551322937,1
꽁트,개그,0.5666484236717224,1
날씨,환경,0.6094790697097778,1
남남,갈등,0.6485471129417419,1
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,1
내면,내면,1,1
노년,가족,0.5874111652374268,1
노력,헌신,0.6555296182632446,2
녹야,액션,1,3
녹음,음악,0.6460626721382141,2
놀음,개그,0.6027377247810364,1
뇌졸중,정신병,0.5575622320175171,1
눈물,슬픔,0.6957001090049744,4
눈물샘,상처,0.5447229146957397,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,6
다크,액션,0.6620553135871887,1
단련,춤,0.5826825499534607,1
담장,학교,0.5684550404548645,1
당첨,기대,0.522482693195343,2
당황,충격,0.6099472045898438,1
대중교통,교통,0.7340587973594666,1
대책,재난,0.5927299857139587,1
댓가,배신,0.5249300599098206,1
댓글,후회,0.505795419216156,2
더빙,방송,0.5857229828834534,1
데이터,컴퓨터,0.5682036876678467,1
도둑,도둑,1,1
도망,도둑,0.5489647388458252,2
도박사,코미디,0.5230368971824646,1
도박장,도박,0.602651834487915,6
도시,도시,1,14
도움,기대,0.5482439994812012,3
도전,열정,0.6956499814987183,4
도착,여행,0.6466491222381592,2
독서,철학,0.7120826244354248,1
독설,유쾌,0.5814645886421204,1
독주,음악,0.5154069066047668,1
독촉,혼란,0.5295079350471497,1
독특,춤,0.5334261655807495,1
돌발,재난,0.5403636693954468,1
돌봄,교육,0.6323469281196594,1
동거,연애,0.6906545758247375,7
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,22
등반,탐험,0.5952327847480774,1
따꺼,액션,1,1
똘마니,도둑,0.5743129253387451,1
뚜껑,용기,0.6211519241333008,1
롤러코스터,서바이벌,0.517444372177124,1
마라톤,스포츠,0.6136941909790039,8
마약,범죄,0.71501225233078,1
마음,기쁨,0.6783162951469421,9
막장,개그,0.6745045781135559,1
말기,멸망,0.6098299622535706,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,7
메뉴,음식,0.674547016620636,1
메시지,대화,0.5048822164535522,1
메일,만화,0.5050849914550781,1
멘트,개그,0.5644389390945435,1
면모,자아,0.5388920903205872,1
명소,여행,0.6522921919822693,1
모습,꿈,0.5368646383285522,50
모양,인형,0.6405982375144958,1
모어,정글,0.5015755295753479,78
몰락,멸망,0.6989313364028931,1
몰입,열정,0.6674494743347168,1
무례,폭력,0.5807116627693176,1
무마,폭력,0.5678592324256897,1
문제,갈등,0.6495088934898376,3
미덕,욕망,0.6492798924446106,1
미스,좀비,0.5220737457275391,1
미안,후회,0.5432184934616089,4
바지,학교,0.5488675236701965,1
반응,충격,0.5951288342475891,1
반주,춤,0.6171732544898987,1
발전,성장,0.7311267852783203,2
방문,여행,0.5841829180717468,4
방중,정치,0.532969057559967,8
방탕,부도덕,0.5782595872879028,1
배급,교육,0.5531435608863831,1
배급사,드라마,0.5019193887710571,2
배부,교육,0.543956458568573,4
버스,교통,0.730898916721344,1
범죄,범죄,1,4
변모,성장,0.627336323261261,1
변화,성장,0.7235260605812073,11
보답,헌신,0.5308396816253662,1
보육원,학교,0.5811977982521057,1
복구,재난,0.569567859172821,1
복귀,생존,0.5351816415786743,2
본색,신화,0.5137186050415039,1
부성애,사랑,0.6310836672782898,1
부스,인형,0.5842044353485107,2
부인,가족,0.5428288578987122,1
부자간,갈등,0.5864737033843994,1
불능,상실,0.685398519039154,1
불량,도둑,0.5827792882919312,1
불호,자아,0.5083271861076355,1
비중,성장,0.5152275562286377,1
빚쟁이,도둑,0.5471546649932861,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,24
사랑,사랑,1,11
사막,정글,0.6484219431877136,5
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,2
사채업자,도둑,0.5499154925346375,1
사회,경제,0.8096231818199158,3
살인,살인,1,1
삼각,우정,0.5756801962852478,1
상대,추격,0.558393657207489,1
상영,방송,0.6350025534629822,6
상영작,다큐멘터리,0.5318289399147034,1
상황,혼란,0.6442916989326477,6
색깔,동물,0.5537340044975281,1
생각,후회,0.6602693200111389,16
생활,환경,0.7009555697441101,7
선물,사랑,0.605575680732727,5
선택,희망,0.5827092528343201,1
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,2
성장,성장,1,4
세간,자아,0.5878546237945557,1
세계,경제,0.6071235537528992,6
세상,기쁨,0.6082786321640015,2
섹션,만화,0.5100024938583374,1
소년원,학교,0.5603774189949036,1
소원,사랑,0.6399070620536804,1
소통,대화,0.694833517074585,1
속성,환경,0.6046976447105408,1
수락,대화,0.551040768623352,5
슈밍,액션,1,1
스릴,액션,0.6477225422859192,1
스틸,액션,0.5995299220085144,1
스핀,개그,0.5972995758056641,1
슬픔,슬픔,1,2
시리즈,만화,0.5106303691864014,4
시설,여행,0.6567099690437317,1
시작,발견,0.534450113773346,30
식사,음식,0.727923572063446,3
신비,기쁨,0.6222472786903381,1
신작,만화,0.6367781758308411,6
신체,자아,0.5770981311798096,2
신파극,드라마,0.5713956952095032,1
실수,후회,0.5709443092346191,1
실천,철학,0.6342154145240784,2
심리,심리,1,1
싸움,전투,0.6696678996086121,1
씨네,만화,0.6205931901931763,1
아가,동물,0.5144633650779724,1
아내,가족,0.582758903503418,1
아들,가족,0.5667959451675415,88
악당,좀비,0.6801067590713501,1
안부,대화,0.6139237284660339,1
액션,액션,1,1
야구,개그,0.6280479431152344,1
야외,가족,0.6198292970657349,1
양손,액션,0.5437252521514893,1
양아치,부도덕,0.5815564393997192,1
양육,교육,0.6785783767700195,1
어둠,절망,0.694835364818573,1
언어,교육,0.6619911193847656,1
엄마,사랑,0.5908297300338745,24
에피소드,드라마,0.5304465889930725,4
여객,교통,0.6289723515510559,1
여배우,드라마,0.5256187319755554,2
여자,사랑,0.5380519032478333,16
여친,군대,0.6060096025466919,1
여행,여행,1,3
역경,절망,0.6212114691734314,2
연기자,드라마,0.6007305979728699,1
연애,연애,1,1
연인,사랑,0.6981024742126465,5
연출,액션,0.5377380847930908,6
열쇠,희망,0.5891710519790649,1
열심,열정,0.5917072296142578,1
영상미,액션,0.5695945620536804,1
영웅,신화,0.649358868598938,1
영향,기대,0.5794242024421692,1
영화,만화,0.7536719441413879,218
영화관,드라마,0.5831791758537292,1
영화인,다큐멘터리,0.5932591557502747,7
예고편,드라마,0.5787103772163391,8
예상,기대,0.655988872051239,3
옛날,시골,0.5727385878562927,4
오빠,연애,0.5599910020828247,1
오프,액션,0.5603551268577576,1
올드,정글,0.530838131904602,4
욕심,욕망,0.6326161026954651,1
웃음,개그,0.6434062123298645,3
위기,혼란,0.6975850462913513,5
위험,불안,0.6922099590301514,3
유골,수색,0.6134949326515198,2
유대감,우정,0.5557567477226257,1
유쾌,유쾌,1,1
유행,복고,0.6242704391479492,1
음악,음악,1,3
응축,유쾌,0.5435529351234436,1
의구심,불안,0.5729623436927795,1
의심,의심,1,1
의외,충격,0.5524848699569702,2
이름,신화,0.5608668327331543,7
이발사,도둑,0.5000248551368713,2
이별,이별,1,5
이역,이별,0.5271819233894348,6
이즈,액션,0.5658524632453918,1
이질감,갈등,0.5083499550819397,1
이해,철학,0.5395932197570801,1
인간미,열정,0.5496418476104736,1
인기,여행,0.6119158267974854,3
인물,정치,0.5848035216331482,14
인상,기대,0.6044384241104126,5
일당,해적,0.5479298233985901,1
일상,유쾌,0.5978867411613464,7
입시,교육,0.6970886588096619,1
입증,발견,0.5962595343589783,1
자아,자아,1,3
자연,환경,0.6941760182380676,2
자폐,자아,0.6553044319152832,9
자폐아,가족,0.5012940168380737,3
자폐증,정신병,0.6280838251113892,18
작곡,음악,0.6980688571929932,1
잔상,고독,0.5485344529151917,1
장르,음악,0.7329081892967224,14
장면,액션,0.5999083518981934,19
장애,질병,0.7015629410743713,3
재물,기쁨,0.6043171286582947,3
재미,모험,0.6051297187805176,8
재밋,액션,1,1
저금통,인형,0.5797374248504639,3
저녁,음식,0.5039622187614441,4
적응,환경,0.6063060760498047,1
전문,의료,0.6444779634475708,1
전반,정치,0.5626547336578369,3
전시,미술,0.6214971542358398,1
전자,전기,0.7106999754905701,3
전처,가족,0.5198554992675781,1
전후,전쟁,0.5220665335655212,1
절망,절망,1,3
절정,춤,0.5627835988998413,1
점심,음식,0.586047887802124,2
정보,교통,0.6121577620506287,7
정확,의심,0.5156928300857544,1
제공,여행,0.6024255156517029,1
제작,방송,0.6307950615882874,2
제작사,드라마,0.522915244102478,2
제작진,드라마,0.5286853313446045,1
조직,군대,0.5703792572021484,2
졸업,여행,0.5504979491233826,1
주목,기대,0.562468945980072,2
죽음,고독,0.6896678805351257,2
줄거리,드라마,0.531794548034668,8
중독,폭력,0.650359034538269,2
중독자,도박,0.5584331154823303,4
즉흥,춤,0.6668667793273926,1
즐거움,기쁨,0.6185970902442932,1
지하철,교통,0.5799862146377563,1
진정,기쁨,0.5493860840797424,1
짐작,기대,0.5603034496307373,1
집안,가족,0.6251765489578247,2
집중도,기대,0.5239704251289368,1
차단,의심,0.5930317640304565,1
차림,춤,0.5520768761634827,1
착각,후회,0.5621350407600403,1
책임,윤리,0.6478115320205688,2
청소,전기,0.5411292314529419,4
체력,전투,0.5275833606719971,1
체험,교육,0.6782315373420715,1
촬영,방송,0.6484997272491455,1
추억,사랑,0.6609922647476196,5
추천,여행,0.5768113136291504,6
출근,이별,0.512470543384552,6
출발,여행,0.6575770378112793,2
출연,방송,0.659591019153595,8
충격,충격,1,2
취미,음악,0.5891837477684021,1
취침,평온,0.5205076336860657,1
친밀감,자아,0.6027992367744446,1
카지노,코미디,0.5176754593849182,21
카페,유령,0.5409449934959412,7
칼퇴,유쾌,0.5267245173454285,1
캐릭터,인형,0.5306801795959473,17
캐미,언더독,0.5166010856628418,2
컴백,충격,0.5311769247055054,2
코드,액션,0.5642611384391785,2
코미디,코미디,1,3
코믹,만화,0.7493361830711365,2
코트,액션,0.5462599992752075,2
콘텐츠,가상현실,0.5792493224143982,2
토크,액션,0.5357427597045898,2
통합,교육,0.6034629344940186,7
특별,의료,0.5320938229560852,7
특색,도시,0.519700825214386,1
특유,춤,0.5365961194038391,1
특징,환경,0.5862691402435303,2
티켓,여행,0.6218228340148926,5
파악,발견,0.628048837184906,1
판타스틱,드라마,0.5803945660591125,1
패러디,코미디,0.5152478814125061,1
패턴,심리,0.5403613448143005,2
평단,음악,0.5208238959312439,1
포토,동정,0.5201435089111328,7
폭력,폭력,1,1
표정,유쾌,0.5511194467544556,5
표현,대화,0.5644240975379944,5
풍미,음식,0.6398752331733704,1
플롯,개그,0.5973898768424988,3
피규어,인형,0.5592886209487915,1
피아노,뮤지컬,0.5582685470581055,1
하반기,뮤지컬,0.5055423378944397,1
한번,후회,0.5221735835075378,1
합창,춤,0.6545168161392212,1
해결,갈등,0.5887223482131958,1
해석,심리,0.5405862331390381,1
핸드,액션,0.6269079446792603,2
행복,기쁨,0.7726561427116394,3
허당,개그,0.6005510687828064,1
허무,고독,0.7212852835655212,1
헤어,액션,0.6279654502868652,6
협박,폭력,0.6928228735923767,1
협업,대화,0.5782889723777771,1
형님,가족,0.5496359467506409,1
호감,자아,0.6214834451675415,1
혼란,혼란,1,1
혼수,고독,0.574442446231842,1
홀아비,시골,0.5390915274620056,1
화면,액션,0.6001543998718262,1
화제,방송,0.5529026389122009,1
확률,후회,0.5776207447052002,1
확인,발견,0.6419516205787659,1
환영,희망,0.5663730502128601,2
활동,교육,0.6086112856864929,2
활용,교육,0.557722270488739,1
회견,대화,0.5526080131530762,1
휴먼,액션,0.6527632474899292,3
흐름,질서,0.5799944400787354,3
흔적,발견,0.5892268419265747,1
희망,희망,1,2

Category,Count,average
액션,23,0.695773474548174
여행,14,0.63987649338586
드라마,13,0.5834521192770737
교육,12,0.6213073283433914
음악,11,0.6509389552203092
가족,11,0.6108143871480768
사랑,10,0.6564009189605713
개그,10,0.6475024342536926
기대,10,0.6182288527488708
자아,9,0.6378748549355401
기쁨,9,0.6260575784577264
방송,8,0.6343631371855736
만화,8,0.6270049959421158
도둑,8,0.6050814315676689
춤,8,0.5882652699947357
대화,8,0.5804370641708374
후회,8,0.5742105469107628
음식,7,0.640522164957864
환경,7,0.6302915726389203
성장,6,0.7138669590155283
갈등,6,0.663600335518519
충격,6,0.6406186322371165
유쾌,6,0.6334580381711324
인형,6,0.5919585227966309
폭력,5,0.6983505606651306
심리,5,0.6939868450164794
교통,5,0.6572148084640503
열정,5,0.6306849360466004
고독,5,0.6263827085494995
발견,5,0.5979873895645141
고통,4,0.7452811896800995
혼란,4,0.7178461700677872
희망,4,0.6845633387565613
코미디,4,0.6389900594949722
학교,4,0.5647244453430176
슬픔,3,0.7766876022020975
절망,3,0.7720156113306681
연애,3,0.7502151926358541
경제,3,0.7085603872934977
도시,3,0.707674245039622
의심,3,0.7029081980387369
이별,3,0.679884155591329
철학,3,0.6286304195721945
전투,3,0.6125553846359253
헌신,3,0.5991498430569967
도박,3,0.5874617695808411
신화,3,0.5746481021245321
재난,3,0.5675538380940756
동물,3,0.5671243270238241
정글,3,0.5602785348892212
정치,3,0.560142437616984
가상현실,3,0.5548921624819437
꿈,3,0.5546975334485372
살인,2,0.8579593002796173
범죄,2,0.85750612616539
멸망,2,0.6543806493282318
욕망,2,0.6409479975700378
불안,2,0.6325861513614655
전기,2,0.625914603471756
좀비,2,0.6010902523994446
정신병,2,0.5928230285644531
의료,2,0.588285893201828
군대,2,0.5881944298744202
미술,2,0.5880820751190186
괴담,2,0.5844117403030396
부도덕,2,0.579908013343811
상처,2,0.5772868394851685
우정,2,0.5657184720039368
다큐멘터리,2,0.562544047832489
시골,2,0.5559150576591492
뮤지컬,2,0.5319054424762726
내면,1,1.0
질병,1,0.7015629410743713
상실,1,0.685398519039154
윤리,1,0.6478115320205688
과학,1,0.6368488669395447
음모론,1,0.6309665441513062
복고,1,0.6242704391479492
용기,1,0.6211519241333008
권력,1,0.6178524494171143
스포츠,1,0.6136941909790039
수색,1,0.6134949326515198
모험,1,0.6051297187805176
탐험,1,0.5952327847480774
질서,1,0.5799944400787354
컴퓨터,1,0.5682036876678467
추격,1,0.558393657207489
해적,1,0.5479298233985901
유령,1,0.5409449934959412
생존,1,0.5351816415786743
배신,1,0.5249300599098206
전쟁,1,0.5220665335655212
평온,1,0.5205076336860657
동정,1,0.5201435089111328
서바이벌,1,0.517444372177124
언더독,1,0.5166010856628418
인간성,1,0.511100172996521
