Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가발,인형,0.6572422385215759,1
감상,음악,0.6411212086677551,1
개요,여행,0.5623396039009094,2
갱단,해적,0.6509640216827393,3
거래,도박,0.6013003587722778,2
거리,도시,0.60332190990448,1
건물,학교,0.6180571913719177,2
고생,고통,0.5584161281585693,1
굴욕,배신,0.5477168560028076,1
라이벌,자존심,0.5227869749069214,1
뤼페,액션,1,1
마약,범죄,0.71501225233078,2
말년,멸망,0.5335338115692139,1
매력,열정,0.6489761471748352,1
모바일,컴퓨터,0.590937614440918,1
모텔,여행,0.5687617659568787,1
반려견,동물,0.55564284324646,1
버디,액션,0.6008520722389221,5
변장,인형,0.5359223484992981,1
보드,액션,0.6568782329559326,1
부동산,경제,0.5007047057151794,1
분장,개그,0.5647703409194946,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,2
사랑,사랑,1,3
사설탐정,탐정,0.6222557425498962,1
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,1
숙박,여행,0.7311912178993225,1
스릴러,스릴러,1,2
스케이트,스포츠,0.584331750869751,1
시리즈,만화,0.5106303691864014,1
시작,발견,0.534450113773346,2
실패,후회,0.6084508299827576,1
아군,전투,0.5574831962585449,1
악명,범죄,0.6093400716781616,1
알몸,폭력,0.5887717008590698,1
액션,액션,1,3
여자,사랑,0.5380519032478333,1
여장,연애,0.5422232747077942,1
열차,교통,0.6419475078582764,1
영화,만화,0.7536719441413879,14
오빠,연애,0.5599910020828247,3
음란,폭력,0.6032528281211853,1
음악,음악,1,1
이혼,이별,0.6634467244148254,1
자동차,전기,0.5792412161827087,1
작정,기쁨,0.5546167492866516,1
잔악,액션,1,1
전반,정치,0.5626547336578369,1
전역,전쟁,0.5050873756408691,1
절도,폭력,0.6305609345436096,1
정보,교통,0.6121577620506287,3
조수,탐정,0.5807065367698669,1
조카,가족,0.5838918089866638,2
줄거리,드라마,0.531794548034668,7
출연,방송,0.659591019153595,3
침입,멸망,0.5595712661743164,1
코미디,코미디,1,3
코카인,도박,0.5071339011192322,8
탐정,탐정,1,2
특징,환경,0.5862691402435303,1
피자,음식,0.5818931460380554,2
피해,범죄,0.5507293343544006,1
행복,기쁨,0.7726561427116394,1
화면,액션,0.6001543998718262,1
화해,대화,0.665494978427887,1
확인,발견,0.6419516205787659,2
활동,교육,0.6086112856864929,1

Category,Count,average
액션,6,0.8096474508444468
여행,4,0.5934170186519623
탐정,3,0.7343207597732544
범죄,3,0.6250272194544474
폭력,3,0.6075284878412882
음악,2,0.8205606043338776
사랑,2,0.7690259516239166
기쁨,2,0.6636364459991455
만화,2,0.6321511566638947
교통,2,0.6270526349544525
대화,2,0.6244950890541077
인형,2,0.596582293510437
발견,2,0.5882008671760559
도박,2,0.554217129945755
연애,2,0.5511071383953094
멸망,2,0.5465525388717651
스릴러,1,1.0
코미디,1,1.0
살인,1,0.7159186005592346
성장,1,0.6859850287437439
이별,1,0.6634467244148254
방송,1,0.659591019153595
해적,1,0.6509640216827393
열정,1,0.6489761471748352
학교,1,0.6180571913719177
교육,1,0.6086112856864929
후회,1,0.6084508299827576
도시,1,0.60332190990448
컴퓨터,1,0.590937614440918
환경,1,0.5862691402435303
스포츠,1,0.584331750869751
가족,1,0.5838918089866638
음식,1,0.5818931460380554
전기,1,0.5792412161827087
개그,1,0.5647703409194946
정치,1,0.5626547336578369
꿈,1,0.5610076785087585
고통,1,0.5584161281585693
전투,1,0.5574831962585449
동물,1,0.55564284324646
배신,1,0.5477168560028076
드라마,1,0.531794548034668
자존심,1,0.5227869749069214
전쟁,1,0.5050873756408691
경제,1,0.5007047057151794
