Word,Category,Similarity,Frequency
-스,액션,1,1
가수,음악,0.6117961406707764,5
가슴,상처,0.6098507642745972,2
가족,가족,1,3
가치,윤리,0.6346501111984253,1
각오,희망,0.5891996622085571,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,5
감상,음악,0.6411212086677551,7
감정,심리,0.7588332891464233,6
감청,범죄,0.6396206617355347,1
갑옷,전투,0.5631587505340576,1
강도,저항,0.6040131449699402,2
개그,개그,1,2
개념,교육,0.6287856698036194,1
개성,자아,0.5115846395492554,2
거대,괴물,0.5640032887458801,2
거울,용기,0.5582752227783203,1
걱정,후회,0.651527464389801,2
격투,액션,0.6852583885192871,3
견과,음식,0.5421103239059448,1
경험,열정,0.6344258189201355,1
고공,추격,0.5595670342445374,1
골드,정글,0.5455614924430847,2
곱창,괴담,0.5725443363189697,1
공격,전투,0.6404148936271667,1
공룡,동물,0.6991666555404663,1
공상,우주,0.6748765707015991,1
공연,음악,0.7031762599945068,2
과잉,의료,0.5229926109313965,2
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,16
관심,기대,0.6249675154685974,1
괴작,괴물,0.5208446383476257,1
구멍,상처,0.5373755693435669,1
구조,환경,0.6101574897766113,3
국가,경제,0.7089344263076782,2
굿즈,인형,0.614889919757843,1
그래픽,컴퓨터,0.6070578694343567,2
그램,액션,0.5368850827217102,1
극장가,드라마,0.5290873050689697,1
극장판,드라마,0.5479550361633301,36
글로벌,가상현실,0.526810348033905,1
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,1
기대,기대,1,10
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,2
기술,농업,0.6986809968948364,3
기어,액션,0.5334742665290833,2
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,2
깨알,개그,0.5848792195320129,1
남자,사랑,0.5456969141960144,2
남캐,개그,0.590435266494751,1
노래,춤,0.7242721915245056,61
노력,헌신,0.6555296182632446,2
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,16
능력,교육,0.6137364506721497,8
단짝,사랑,0.5452064275741577,1
달러,위안,0.6735437512397766,1
당황,충격,0.6099472045898438,1
댄서,춤,0.6082887053489685,1
댓글,후회,0.505795419216156,4
더빙,방송,0.5857229828834534,1
덕같,액션,1,1
데스,액션,0.6484018564224243,1
도시,도시,1,1
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,1
독점,권력,0.5065333843231201,1
독창,춤,0.6945516467094421,1
독특,춤,0.5334261655807495,1
동심,사랑,0.569958508014679,1
디바,신화,0.5497291088104248,1
러브,액션,0.6233081817626953,1
