Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가상,우주,0.619330644607544,1
가족,가족,1,3
갈등,갈등,1,4
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,7
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,5
감탄,열정,0.5392419099807739,1
강요,용서,0.5793744921684265,1
강점,성장,0.5418332815170288,1
개성,자아,0.5115846395492554,2
개편,방송,0.526836633682251,1
거대,괴물,0.5640032887458801,5
거리,도시,0.60332190990448,1
거장,미술,0.5483318567276001,1
거짓,범죄,0.5651490092277527,1
걱정,후회,0.651527464389801,1
건물,학교,0.6180571913719177,2
검색,여행,0.6249870657920837,2
검찰,권력,0.591492235660553,1
결백,부도덕,0.591943085193634,1
경각,유쾌,0.5532318949699402,1
경험,열정,0.6344258189201355,1
계획,여행,0.6060113906860352,4
공격,전투,0.6404148936271667,2
공동,대화,0.5171006321907043,1
공상,우주,0.6748765707015991,1
공연,음악,0.7031762599945068,1
공포,공포,1,3
과도,권력,0.5410835146903992,1
과오,후회,0.6094723343849182,1
과정,교육,0.6268183588981628,6
과학,과학,1,2
과학자,과학,0.5320860147476196,6
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,2
교통사고,재난,0.5448524355888367,1
구멍,상처,0.5373755693435669,1
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,3
궤도,우주,0.5667131543159485,2
귀결,혼란,0.515130341053009,1
그리움,고독,0.5979834794998169,3
극장가,드라마,0.5290873050689697,2
극치,충격,0.5205199122428894,1
근거,의심,0.5799501538276672,1
급속,성장,0.6252396702766418,2
기분,유쾌,0.6678951382637024,1
기술,농업,0.6986809968948364,8
기억,사랑,0.6537694931030273,2
난관,갈등,0.5635523796081543,1
노력,헌신,0.6555296182632446,4
노인,가족,0.6170642375946045,1
녹음,음악,0.6460626721382141,1
논리,철학,0.5892475247383118,1
누나,가족,0.5465071797370911,2
누명,살인,0.5723448395729065,2
눈길,동정,0.5653472542762756,2
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,6
능력,교육,0.6137364506721497,1
다큐,다큐멘터리,0.6907773613929749,1
다큐멘터리,다큐멘터리,1,1
단편,만화,0.737099826335907,2
대결,갈등,0.5924415588378906,1
대립,갈등,0.8246769905090332,3
대립각,갈등,0.5952879190444946,1
대목,꿈,0.5127710700035095,1
대중문화,드라마,0.5819228887557983,1
데이터베이스,컴퓨터,0.5932711362838745,1
도달,발견,0.5293484926223755,1
도움,기대,0.5482439994812012,1
돌입,추격,0.5638843774795532,1
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,5
드론,해양,0.626142680644989,2
디스토피아,공상과학,0.6713545918464661,1
디지털,컴퓨터,0.6325473189353943,24
라이프,판타지,0.5347487926483154,10
러브레터,드라마,0.6174168586730957,1
로맨스,로맨스,1,2
롱디,연애,0.5146915912628174,1
류페,액션,1,3
리얼,액션,0.6809289455413818,1
마음,기쁨,0.6783162951469421,5
만족,기대,0.6570032238960266,2
매니아,판타지,0.5267682075500488,2
매력,열정,0.6489761471748352,2
메시지,대화,0.5048822164535522,3
멸망,멸망,1,3
명작,만화,0.6867616772651672,1
