Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가슴,상처,0.6098507642745972,1
가족,가족,1,1
가치,윤리,0.6346501111984253,1
가치관,자기성찰,0.5398943424224854,1
갈등,갈등,1,2
갈피,꿈,0.5324289202690125,3
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,5
감성,심리,0.6301533579826355,2
감정,심리,0.7588332891464233,3
개봉작,드라마,0.5794780254364014,1
개성,자아,0.5115846395492554,1
개요,여행,0.5623396039009094,1
결혼,연애,0.6863196492195129,1
경험,열정,0.6344258189201355,2
계획,여행,0.6060113906860352,1
고추,도둑,0.576099693775177,1
공격,전투,0.6404148936271667,1
공백,불안,0.5762792825698853,1
과도,권력,0.5410835146903992,2
과정,교육,0.6268183588981628,4
관람,여행,0.5587009191513062,1
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,1
구강,음식,0.5946047306060791,1
국가,경제,0.7089344263076782,6
군인,군대,0.6802380084991455,3
궤도,우주,0.5667131543159485,1
긍정,희망,0.608379602432251,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,5
나레이션,드라마,0.5498647689819336,1
난국,절망,0.5814732313156128,1
남자,사랑,0.5456969141960144,11
낮술,괴담,0.5466926693916321,1
내면,내면,1,1
노래,춤,0.7242721915245056,1
노력,헌신,0.6555296182632446,2
노스텔지어가,외계인,0.5100646615028381,1
녹음,음악,0.6460626721382141,3
농담,개그,0.6088651418685913,1
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,4
능력,교육,0.6137364506721497,3
단편,만화,0.737099826335907,2
달나라,시간여행,0.5979056358337402,1
데뷔,방송,0.5465471744537354,1
데뷔작,드라마,0.5683770775794983,2
도움,기대,0.5482439994812012,1
드라마,드라마,1,2
마음,기쁨,0.6783162951469421,16
망각,고독,0.7046898603439331,1
매력,열정,0.6489761471748352,1
맥락,질서,0.601793110370636,1
메시지,대화,0.5048822164535522,2
모습,꿈,0.5368646383285522,5
목격,발견,0.6813858151435852,1
몰입,열정,0.6674494743347168,1
몰카,괴담,0.616298496723175,2
무단,폭력,0.5057473182678223,2
문제,갈등,0.6495088934898376,4
미련,고독,0.6796653270721436,2
민주주의,시민운동,0.6024901866912842,2
반공,독재,0.6549791097640991,1
반성,후회,0.62535560131073,2
발견,발견,1,5
발명,꿈,0.5593801736831665,1
발전,성장,0.7311267852783203,1
방향,미래,0.5546501278877258,1
배낭여행,여행,0.5330228805541992,1
배려,헌신,0.6277512907981873,1
변태,인형,0.6163353323936462,2
변화,성장,0.7235260605812073,3
부인,가족,0.5428288578987122,1
부정,폭력,0.6489901542663574,1
부합,환경,0.5545921921730042,1
분투,헌신,0.5715537071228027,1
불청객,괴물,0.5286012291908264,1
브이,액션,0.5347021818161011,1
빨갱이,독재,0.5490875244140625,2
사건,살인,0.7159186005592346,6
사람,꿈,0.5610076785087585,18
사랑,사랑,1,25
사이비,음모론,0.5071605443954468,1
사진,미술,0.5546669960021973,2
사회,경제,0.8096231818199158,2
살인,살인,1,1
상대,추격,0.558393657207489,2
상상,욕망,0.6180667877197266,1
상황,혼란,0.6442916989326477,3
생각,후회,0.6602693200111389,15
생활,환경,0.7009555697441101,1
선택,희망,0.5827092528343201,2
성공,성장,0.6859850287437439,4
성장,성장,1,2
세상,기쁨,0.6082786321640015,1
섹스,만화,0.6615440249443054,2
섹시,액션,0.6481122970581055,1
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,10
수다,대화,0.5187240242958069,2
스텝,액션,0.5109118223190308,1
스트레스,무력감,0.6226179003715515,2
시리즈,만화,0.5106303691864014,5
시작,발견,0.534450113773346,4
시집,이별,0.6299842000007629,1
시청,방송,0.6024045944213867,1
시청자,방송,0.5191292762756348,5
식당,음식,0.6759225726127625,1
실랑이,갈등,0.5096516609191895,1
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,1
실어증,정신병,0.6540097594261169,3
실패,후회,0.6084508299827576,4
실화,공포,0.6056075096130371,1
싸움,전투,0.6696678996086121,1
아들,가족,0.5667959451675415,2
애인,연애,0.6649367809295654,1
애정,사랑,0.719462513923645,1
액션,액션,1,1
억압,고통,0.7086395621299744,1
언어,교육,0.6619911193847656,3
여배우,드라마,0.5256187319755554,1
여자,사랑,0.5380519032478333,8
역사,철학,0.6869469285011292,7
역설,미래,0.5096436142921448,1
연애,연애,1,13
연애담,로맨스,0.5699896812438965,1
연인,사랑,0.6981024742126465,5
연출,액션,0.5377380847930908,5
열기,여행,0.5069565176963806,1
영웅,신화,0.649358868598938,1
영화,만화,0.7536719441413879,82
영화감독,다큐멘터리,0.5571942329406738,3
영화관,드라마,0.5831791758537292,1
영화사,드라마,0.5089171528816223,1
예상,기대,0.655988872051239,1
용기,용기,1,3
우울,불안,0.7772703766822815,1
원작,만화,0.7227425575256348,1
유머,개그,0.6961884498596191,1
의견,갈등,0.5687873959541321,1
이름,신화,0.5608668327331543,3
이별,이별,1,4
이해,철학,0.5395932197570801,5
인디,액션,0.6633222103118896,2
인물,정치,0.5848035216331482,3
인상,기대,0.6044384241104126,2
일상,유쾌,0.5978867411613464,2
자료,교육,0.5909054279327393,1
자막,방송,0.6141181588172913,1
작가,만화,0.6290877461433411,1
작업,수색,0.6102691888809204,3
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,23
장소,여행,0.6031988263130188,2
장편,만화,0.7140740752220154,3
재미,모험,0.6051297187805176,1
재현,발견,0.5103026628494263,2
저질,개그,0.5792772173881531,1
전념,헌신,0.5255851745605469,1
전투,전투,1,4
정보,교통,0.6121577620506287,1
정확,의심,0.5156928300857544,1
제작,방송,0.6307950615882874,3
제한,상실,0.636760413646698,2
종반,전투,0.5189945697784424,1
좌파,정치,0.6880481839179993,2
주저,후회,0.5583959817886353,2
줄거리,드라마,0.531794548034668,2
지구,우주,0.7121323943138123,1
지속,성장,0.6684333086013794,1
직면,고통,0.5117434859275818,1
직함,고문,0.5093641877174377,1
찌질,개그,0.6416961550712585,3
찌질이,언더독,0.5627152323722839,3
참여,기대,0.5516729950904846,1
채팅,대화,0.6390475034713745,1
철폐,평등,0.5315104722976685,2
체험,교육,0.6782315373420715,1
초짜,탐정,0.5584855079650879,1
