Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,3
가상,우주,0.619330644607544,1
가수,음악,0.6117961406707764,13
가슴,상처,0.6098507642745972,1
가정,가족,0.7013463377952576,1
가족,가족,1,1
가치,윤리,0.6346501111984253,1
간섭,권력,0.5510541796684265,1
갈등,갈등,1,7
감동,기쁨,0.6450744271278381,2
감상,음악,0.6411212086677551,3
감성,심리,0.6301533579826355,2
감정,심리,0.7588332891464233,3
개념,교육,0.6287856698036194,1
개막,방송,0.5269166231155396,2
개성,자아,0.5115846395492554,1
개인기,개그,0.5068779587745667,4
개척,탐험,0.6222059726715088,2
개편,방송,0.526836633682251,1
거실,가족,0.6177316308021545,1
거주,도시,0.6213511228561401,1
검색,여행,0.6249870657920837,2
게으름,무력감,0.558092474937439,1
격려,동정,0.5737254619598389,1
격정,분노,0.6496756076812744,1
격하,상실,0.5081772804260254,1
결렬,갈등,0.5909489989280701,1
결부,갈등,0.5845047831535339,1
결점,상처,0.5049402117729187,3
경멸,분노,0.6611237525939941,1
경험,열정,0.6344258189201355,2
계절,이별,0.5606238842010498,1
계획,여행,0.6060113906860352,2
고뇌,고독,0.6679061055183411,1
고생,고통,0.5584161281585693,1
공격,전투,0.6404148936271667,1
공고,여행,0.5139516592025757,1
공동,대화,0.5171006321907043,3
공연,음악,0.7031762599945068,5
과정,교육,0.6268183588981628,7
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,1
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴리,갈등,0.6599999666213989,1
구간,교통,0.5263970494270325,1
구절,윤리,0.5378264784812927,1
구조,환경,0.6101574897766113,1
구직,교육,0.5652878284454346,1
국가,경제,0.7089344263076782,1
국립,학교,0.6386775374412537,1
군인,군대,0.6802380084991455,1
군청,시골,0.5034171938896179,1
권력,권력,1,1
극단,미술,0.5709163546562195,25
극본,미술,0.5002976655960083,2
극작가,뮤지컬,0.5212523937225342,3
근처,학교,0.5683311223983765,2
긍정,희망,0.608379602432251,1
기대,기대,1,4
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,1
기초,교육,0.6542633175849915,1
기획,교육,0.625312864780426,7
긴장,불안,0.6880083084106445,2
김치,음식,0.7045021653175354,1
난동,폭력,0.638001561164856,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,3
남친,연애,0.6194848418235779,1
낭비,혼란,0.5356693863868713,1
내공,열정,0.5447922348976135,2
내면,내면,1,1
내실,기대,0.5231150388717651,2
내연,전기,0.6273136138916016,1
냉소,분노,0.720836877822876,1
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,5
논란,갈등,0.5854588747024536,1
농수산,농업,0.5554670095443726,1
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,3
능력,교육,0.6137364506721497,2
다툼,갈등,0.7528305649757385,1
단락,독재,0.5672053098678589,1
단장,동정,0.5008994936943054,1
단편,만화,0.737099826335907,5
담배,음식,0.6096588969230652,1
당부,희망,0.507290780544281,1
당일,여행,0.5352691411972046,7
당첨,기대,0.522482693195343,1
당황,충격,0.6099472045898438,1
대답,후회,0.5436964631080627,1
대립,갈등,0.8246769905090332,1
대책,재난,0.5927299857139587,1
대학교,학교,0.5889599323272705,1
데뷔작,드라마,0.5683770775794983,3
도달,발견,0.5293484926223755,1
도시,도시,1,1
도심,도시,0.750744640827179,1
도움,기대,0.5482439994812012,3
독설,유쾌,0.5814645886421204,1
독창,춤,0.6945516467094421,1
동상이몽,드라마,0.5933264493942261,2
드라마,드라마,1,6
드마,액션,1,1
랜드마크,도시,0.5258275270462036,1
롤러코스터,서바이벌,0.517444372177124,1
리더,성장,0.5860862135887146,4
리더십,자기성찰,0.5289939641952515,1
마음,기쁨,0.6783162951469421,7
막장,개그,0.6745045781135559,2
만족,기대,0.6570032238960266,1
맛집,음식,0.6337778568267822,1
매니아,판타지,0.5267682075500488,1
매력,열정,0.6489761471748352,3
맹목,욕망,0.6913981437683105,1
먹거리,음식,0.5923094749450684,1
메듭,액션,1,1
