Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,9
가수,음악,0.6117961406707764,9
가짜,괴담,0.5858274698257446,1
갈망,욕망,0.7525596022605896,2
감동,기쁨,0.6450744271278381,1
감성,심리,0.6301533579826355,14
감정,심리,0.7588332891464233,27
개봉작,드라마,0.5794780254364014,1
개시,방송,0.6561063528060913,1
거리,도시,0.60332190990448,1
걱정,후회,0.651527464389801,1
결여,상실,0.6932352781295776,1
결제,여행,0.5954683423042297,1
고독,고독,1,6
고통,고통,1,6
고향,시골,0.6128569841384888,1
공포,공포,1,2
공허,절망,0.6228043437004089,3
과학자,과학,0.5320860147476196,2
관람,여행,0.5587009191513062,4
구매,여행,0.5682201981544495,6
국가,경제,0.7089344263076782,3
굴레,욕망,0.5908722877502441,1
급행,교통,0.5596449971199036,1
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,2
기대,기대,1,1
기분,유쾌,0.6678951382637024,1
기술,농업,0.6986809968948364,1
긴팔,정글,0.5189582109451294,6
날씨,환경,0.6094790697097778,3
내면,내면,1,4
눈물,슬픔,0.6957001090049744,1
느낌,슬픔,0.6343626976013184,5
능력,교육,0.6137364506721497,1
당황,충격,0.6099472045898438,1
대결,갈등,0.5924415588378906,1
대답,후회,0.5436964631080627,1
댓글,후회,0.505795419216156,1
더위,질병,0.5179445147514343,1
데뷔,방송,0.5465471744537354,1
도배,폭력,0.5458524823188782,1
도시,도시,1,1
도전,열정,0.6956499814987183,1
독특,춤,0.5334261655807495,2
동병상련,배신,0.5225188732147217,1
둘이,가족,0.5058346390724182,1
드라마,드라마,1,3
등록,여행,0.5735748410224915,2
디스토피아,공상과학,0.6713545918464661,1
로맨스,로맨스,1,4
리본,인형,0.5378976464271545,3
만족,기대,0.6570032238960266,5
매력,열정,0.6489761471748352,3
메시지,대화,0.5048822164535522,1
멘붕,충격,0.5910674929618835,1
멘토,교육,0.5570372939109802,1
모습,꿈,0.5368646383285522,2
몰입,열정,0.6674494743347168,2
몸매,의리,0.5643829703330994,1
무단,폭력,0.5057473182678223,2
문제,갈등,0.6495088934898376,4
뮤비,음악,0.6098979711532593,3
뮤트,음악,0.5533722043037415,1
미래,미래,1,15
미스터리,미스터리,1,1
바디,액션,0.6481185555458069,1
바지,학교,0.5488675236701965,3
반쪽,이별,0.5481205582618713,1
반팔,액션,0.5178844928741455,2
반품,여행,0.6105901002883911,2
발견,발견,1,3
발레,미술,0.6749600768089294,2
배급,교육,0.5531435608863831,2
배송,여행,0.6038719415664673,1
범죄,범죄,1,1
변화,성장,0.7235260605812073,1
본질,윤리,0.6154810786247253,3
부각,성장,0.5576289892196655,2
부모,가족,0.6875284910202026,1
불안감,두려움,0.7379971742630005,1
사람,꿈,0.5610076785087585,5
사랑,사랑,1,17
사진,미술,0.5546669960021973,9
사회,경제,0.8096231818199158,1
상대,추격,0.558393657207489,1
상품,여행,0.6432608962059021,1
상황,혼란,0.6442916989326477,2
색감,미술,0.5213123559951782,1
생각,후회,0.6602693200111389,8
생산,농업,0.6487099528312683,2
생성,발견,0.5995927453041077,2
선서,법정,0.521228015422821,1
성장,성장,1,1
세계,경제,0.6071235537528992,1
세릭,액션,1,2
세상,기쁨,0.6082786321640015,5
세트,인형,0.564244270324707,1
셀프,액션,0.6212833523750305,1
소매,의료,0.5509104132652283,2
소비,경제,0.6587632894515991,2
소설,만화,0.8215566873550415,2
속옷,인형,0.6218051314353943,3
수색,수색,1,1
스루,액션,0.5047800540924072,1
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,2
스킨,좀비,0.6038881540298462,1
스틸,액션,0.5995299220085144,1
스파이,드라마,0.5523907542228699,2
시리즈,만화,0.5106303691864014,7
시작,발견,0.534450113773346,9
시즌,방송,0.5284544229507446,3
식당,음식,0.6759225726127625,1
식민지,전쟁,0.5045368671417236,1
신경,질병,0.5199351906776428,3
실험,과학,0.6881481409072876,3
쏘쏘,후회,0.5078529119491577,1
아웃,액션,0.5564733147621155,1
아카데미,뮤지컬,0.5939404964447021,1
악화,혼란,0.6455839276313782,2
안내,여행,0.6065822839736938,1
암살,음모,0.6178366541862488,1
암살자,흡혈귀,0.5788726210594177,10
어깨,상처,0.5547419190406799,2
억제,저항,0.5908717513084412,1
엄마,사랑,0.5908297300338745,1
엑소시스트,스릴러,0.5744179487228394,1
여우,동물,0.6776934266090393,1
여정,이별,0.6358245611190796,1
여지,의심,0.5871012210845947,1
연속극,드라마,0.6699654459953308,1
연출,액션,0.5377380847930908,1
영향,기대,0.5794242024421692,1
영혼,슬픔,0.7210677266120911,2
영화,만화,0.7536719441413879,47
영화관,드라마,0.5831791758537292,1
영화상,드라마,0.5307199358940125,1
예고편,드라마,0.5787103772163391,2
예술상,미술,0.5372845530509949,1
예약,여행,0.7399519085884094,1
오더,액션,0.5079703330993652,1
오프,액션,0.5603551268577576,1
온라인,교육,0.5160459876060486,2
욕망,욕망,1,1
원작,만화,0.7227425575256348,1
육체,자아,0.5753576159477234,1
은둔,감옥,0.5560358166694641,1
의심,의심,1,1
의존,불안,0.6040859818458557,1
이웃,가족,0.6304181218147278,1
인상,기대,0.6044384241104126,2
자연,환경,0.6941760182380676,1
장르,음악,0.7329081892967224,5
재질,미술,0.5245922207832336,2
전문,의료,0.6444779634475708,1
전자,전기,0.7106999754905701,1
정보,교통,0.6121577620506287,14
제어,환경,0.6081554889678955,11
제작,방송,0.6307950615882874,3
제품,환경,0.5750954747200012,7
제한,상실,0.636760413646698,2
주말,여행,0.5565044283866882,1
주요,도시,0.5643994808197021,1
줄거리,드라마,0.531794548034668,7
질문,대화,0.5432519912719727,2
쫀쫀,유쾌,0.5185437202453613,3
처지,갈등,0.5487500429153442,1
추리,탐정,0.6983305811882019,1
추천,여행,0.5768113136291504,5
출연,방송,0.659591019153595,5
충격,충격,1,2
캐릭터,인형,0.5306801795959473,1
컬러,액션,0.5884228348731995,1
컴백,충격,0.5311769247055054,1
콜걸,유령,0.5515226125717163,2
타락,혼란,0.6639453172683716,1
탐구,철학,0.6451975703239441,1
텔레비전,드라마,0.7311309576034546,2
특별,의료,0.5320938229560852,2
특성,환경,0.650132417678833,1
티저,신화,0.5522939562797546,1
팝업,좀비,0.5580208897590637,1
패션,미술,0.6880987882614136,2
패턴,심리,0.5403613448143005,2
팬츠,액션,0.6027864217758179,1
팬티,만화,0.5663322806358337,2
포토,동정,0.5201435089111328,1
표현,대화,0.5644240975379944,2
품절,여행,0.569629430770874,2
플랫폼,가상현실,0.5415536761283875,1
플롯,개그,0.5973898768424988,1
