Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,8
가돗,액션,0.5360897183418274,1
가발,인형,0.6572422385215759,1
가속,충격,0.5504187941551208,1
가슴,상처,0.6098507642745972,1
가족,가족,1,4
가치,윤리,0.6346501111984253,4
가치관,자기성찰,0.5398943424224854,1
간섭,권력,0.5510541796684265,1
간지,의리,0.5457688570022583,1
갈등,갈등,1,3
감동,기쁨,0.6450744271278381,9
감상,음악,0.6411212086677551,11
감정,심리,0.7588332891464233,2
감지,발견,0.5597200989723206,1
감탄,열정,0.5392419099807739,2
감흥,슬픔,0.63573157787323,2
강력,충격,0.5549739599227905,4
강탈,배신,0.5558199882507324,2
개별,음악,0.5007151961326599,4
개성,자아,0.5115846395492554,10
개시,방송,0.6561063528060913,1
개입,음모,0.5886576175689697,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
건물,학교,0.6180571913719177,1
걸이,만화,0.5145443677902222,1
검색,여행,0.6249870657920837,5
결속력,저항,0.5015805959701538,1
결전,전투,0.6634336709976196,1
결혼,연애,0.6863196492195129,1
경쟁,갈등,0.6576756238937378,2
경험,열정,0.6344258189201355,10
계획,여행,0.6060113906860352,6
고속,교통,0.5951749682426453,1
고전,미술,0.6437533497810364,1
고통,고통,1,2
고향,시골,0.6128569841384888,2
공격,전투,0.6404148936271667,6
공습,전쟁,0.6530317664146423,2
공주,유령,0.5845017433166504,1
과정,교육,0.6268183588981628,7
과학,과학,1,3
과학자,과학,0.5320860147476196,3
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,13
관심,기대,0.6249675154685974,4
괴물,괴물,1,2
괴짜,탐정,0.7281141877174377,2
괴한,폭력,0.6403436660766602,1
교수,윤리,0.563416063785553,1
구조,환경,0.6101574897766113,2
국가,경제,0.7089344263076782,4
군단,해적,0.6255456805229187,2
궁합,연애,0.5512279272079468,1
권장,모험,0.5027817487716675,1
균형,질서,0.6706463098526001,1
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,1
극장판,드라마,0.5479550361633301,1
글귀,꿈,0.6168593764305115,1
금발,마법,0.610371470451355,1
금전,도박,0.6236042380332947,1
급조,폭력,0.509345531463623,1
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,6
기대,기대,1,19
기대감,기대,0.6246221661567688,2
기술,농업,0.6986809968948364,4
기억,사랑,0.6537694931030273,2
기획,교육,0.625312864780426,2
긴박,유쾌,0.5951035618782043,1
나발,인형,0.507112979888916,1
날파리,도둑,0.5999953746795654,1
남자,사랑,0.5456969141960144,5
납치,살인,0.6689104437828064,4
내면,내면,1,4
냄새,음식,0.5817655324935913,1
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,3
노화,질병,0.6835041046142578,1
논쟁,갈등,0.6280096769332886,1
놀라움,기쁨,0.5606492757797241,1
농담,개그,0.6088651418685913,1
눈물,슬픔,0.6957001090049744,2
느낌,슬픔,0.6343626976013184,21
