Word,Category,Similarity,Frequency
가난,절망,0.6744763255119324,2
가능,여행,0.6136982440948486,8
가수,음악,0.6117961406707764,2
가슴,사랑,0.5312170386314392,1
가야금,춤,0.5122888684272766,1
가입,희망,0.5199176073074341,3
가족,가족,1,2
가짜,괴담,0.5858274698257446,3
가짜은괴를,사회문제,0.3596799969673157,1
가치,미래,0.6071180105209351,1
각본,만화,0.6281938552856445,1
각색,만화,0.48631539940834045,1
각시,인형,0.6604986786842346,3
각인,사랑,0.4957215189933777,1
각자,가족,0.4706314206123352,2
각종,의료,0.5523958802223206,3
간격,대화,0.47259005904197693,1
간직,사랑,0.4995076060295105,1
감각,심리,0.6267526745796204,2
감독,액션,0.5503564476966858,16
감동,사랑,0.5948944091796875,12
감상,음악,0.6411212086677551,20
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,4
감탄,유쾌,0.47334393858909607,1
강수,환경,0.48897045850753784,1
강조,질서,0.46540236473083496,2
개그,개그,1,1
개봉,공포,0.5620651841163635,9
개인,가족,0.6177566647529602,3
객주,도둑,0.5859466195106506,2
거절,희망,0.4834659993648529,3
걱정,절망,0.5493743419647217,1
건전,성장,0.4781990349292755,1
검색,여행,0.6249870657920837,4
검증,기술,0.5291114449501038,4
결국,절망,0.3924093246459961,1
결말,심리,0.5606977343559265,7
결합,기술,0.544497549533844,2
경우,여행,0.415454238653183,1
경위,수색,0.4482015371322632,1
경제,경제,1,2
경험,기술,0.584987461566925,7
계급,군대,0.6183711290359497,1
계속,성장,0.3261684477329254,2
계획,여행,0.6060113906860352,1
고마움,사랑,0.5183227062225342,1
고민,희망,0.5681551694869995,1
고조,멸망,0.4600600004196167,1
고증,역사,0.6345140933990479,1
공부,교육,0.6627280712127686,1
공식,방송,0.5213518738746643,3
과거,역사,0.5134707689285278,1
과정,교육,0.6268183588981628,10
관객,좀비,0.4852140545845032,37
관계,대화,0.6286489367485046,1
관람,여행,0.5587009191513062,3
관람객,뮤지컬,0.3758467733860016,1
관련,기술,0.6359721422195435,3
교훈,희망,0.596325695514679,1
구강,요리,0.6178085207939148,2
구독,여행,0.5853187441825867,2
구성,여행,0.5082530975341797,4
구출,수색,0.633823573589325,2
국가,경제,0.7089344263076782,1
국내,방송,0.6121893525123596,2
굿바이,드라마,0.5183427333831787,1
궁금증,사회문제,0.414066880941391,1
귀양,여행,0.5238597393035889,1
그중,해적,0.3030969500541687,1
극복,성장,0.5527980923652649,1
근절,범죄,0.5585202574729919,1
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,4
기구,의료,0.6357752084732056,1
기대,성장,0.597224771976471,5
기록,역사,0.5856012105941772,2
기모노,미술,0.37409570813179016,1
기반,기술,0.6984631419181824,1
기방,감옥,0.5640172958374023,5
기생,연애,0.5084562301635742,2
기술,기술,1,1
기억,사랑,0.6537694931030273,1
기회,희망,0.640706479549408,1
긴장감,공포,0.4280332624912262,9
나라,도시,0.6080574989318848,1
나이,가족,0.5800771117210388,1
남장,연애,0.5703178644180298,1
납치,살인,0.6689104437828064,2
내과,요리,0.5344059467315674,2
내면,꿈,0.3665802776813507,1
내용,역사,0.6182358264923096,2
냉정,유쾌,0.6172488331794739,1
노동력,농업,0.3974595367908478,1
노력,성장,0.5811283588409424,2
노비,시골,0.587835431098938,5
논란,역사,0.5558264255523682,1
놉은,액션,1,1
뇌리,절망,0.4468229115009308,1
뇌섹남,개그,0.5289756059646606,1
눈길,사랑,0.5369377136230469,1
눈치,연애,0.46446675062179565,1
느낌,유쾌,0.5749567747116089,1
능력,기술,0.6709659099578857,3
능청,유쾌,0.6301367878913879,2
다량,기술,0.36393308639526367,1
다방면,소셜미디어,0.4556112289428711,1
다양,환경,0.5064423084259033,15
다운,액션,0.5302554965019226,1
다운로드,만화,0.4484338164329529,5
다음,요리,0.4495347738265991,2
다해,전투,0.3485608398914337,2
단계,성장,0.6726707220077515,1
단서,수색,0.5315670967102051,1
단순,교통,0.4778863489627838,2
단어,신화,0.5887689590454102,2
단점,환경,0.49708521366119385,1
달력,요리,0.5380451679229736,1
담당,고문,0.5411922335624695,1
당시,전쟁,0.47597622871398926,1
대사,고문,0.5607980489730835,2
도령,도둑,0.5756692290306091,4
도움,마법,0.500992476940155,4
도해,기술,0.485471248626709,1
독특,춤,0.5334261655807495,1
돌파,추격,0.48673638701438904,1
동료,가족,0.5583727955818176,1
동생,가족,0.580057680606842,20
동시,복수,0.5638795495033264,1
동안,전쟁,0.44433072209358215,1
동원,범죄,0.48247992992401123,2
동일,환경,0.45009177923202515,3
동참,희망,0.4903946816921234,1
두뇌,과학,0.5985945463180542,1
뒷면,인형,0.47913724184036255,1
드라마,드라마,1,10
등급,여행,0.5152238011360168,1
등록,여행,0.5735748410224915,6
등장,성장,0.5342771410942078,6
등장인물,외계인,0.4759107232093811,3
디스크,음악,0.37723928689956665,38
뜀박질,춤,0.4116106927394867,1
뜻밖,액션,1,2
라이터,전기,0.4308237135410309,1
라이트,판타지,0.44682443141937256,1
러닝,철학,0.5834755301475525,3
리뷰,요리,0.5199467539787292,10
리뷰어,소셜미디어,0.420000821352005,1
링크,역사,0.5203303694725037,6
마을,시골,0.7413575053215027,2
마음,사랑,0.6113663911819458,5
마지막,전투,0.42455509305000305,1
마찬가지,언더독,0.32366201281547546,1
만약,멸망,0.3126949071884155,2
만족,유쾌,0.5219327807426453,1
매력,유쾌,0.5632496476173401,8
매료,유쾌,0.5642886757850647,4
맥락,질서,0.601793110370636,1
맹인,시골,0.5070978999137878,1
머리,인형,0.5610842704772949,1
메시지,대화,0.5048822164535522,2
면모,성장,0.5052194595336914,1
명당,살인,0.460252583026886,4
명성,사랑,0.5264920592308044,1
명탐정,미스터리,0.5629122257232666,102
모바일,소셜미디어,0.6129531264305115,3
모습,꿈,0.5368646383285522,8
모양,인형,0.6405982375144958,1
모티브,사이버펑크,0.370157927274704,1
모험,모험,1,6
목소리,절망,0.39234060049057007,1
몰입,심리,0.572018563747406,4
몰입도,유쾌,0.466742604970932,1
무료,요리,0.6758750677108765,8
문의,여행,0.47710663080215454,1
물가,경제,0.6279429197311401,2
물질,우주,0.6482014656066895,1
미모,요리,0.538969099521637,4
미미의,꿈,0.5184928178787231,1
미스터리,미스터리,1,5
미움,사랑,0.7050434350967407,1
미투,소셜미디어,0.517852783203125,1
민초,괴물,0.5144046545028687,1
바다,바다,1,5
바닥,경제,0.45775896310806274,1
바람,희망,0.5418100357055664,4
박진감,전투,0.41923633217811584,2
반감,공포,0.47666996717453003,1
반전,액션,0.5913684964179993,4
발견,탐험,0.6210311651229858,7
발명품,과학,0.5250836610794067,2
발생,질병,0.5300424098968506,1
발톱,도둑,0.6126343011856079,1
