Word,Category,Similarity,Frequency
19금,판타지,0.5272679924964905,12
가능,여행,0.6136982440948486,3
가상,우주,0.619330644607544,1
가수,음악,0.6117961406707764,10
가식,열정,0.5882983207702637,1
가정,가족,0.7013463377952576,2
가족,가족,1,14
각오,희망,0.5891996622085571,1
간접,교육,0.5171768665313721,1
간판,학교,0.5174685716629028,1
감동,기쁨,0.6450744271278381,3
감상,음악,0.6411212086677551,4
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,1
강력,충격,0.5549739599227905,2
강점,성장,0.5418332815170288,1
강탈,배신,0.5558199882507324,1
개그,개그,1,9
개념,교육,0.6287856698036194,1
개성,자아,0.5115846395492554,4
걱정,후회,0.651527464389801,2
검사,심리,0.583127498626709,1
검색,여행,0.6249870657920837,1
경쟁,갈등,0.6576756238937378,3
경험,열정,0.6344258189201355,4
계획,여행,0.6060113906860352,5
고객,가족,0.5992609262466431,1
고난,고통,0.6465856432914734,1
고생,고통,0.5584161281585693,7
고속,교통,0.5951749682426453,3
고역,유쾌,0.5427601933479309,1
고정관념,자존심,0.5037301778793335,2
고통,고통,1,1
고향,시골,0.6128569841384888,1
공격,전투,0.6404148936271667,2
공연,음악,0.7031762599945068,1
공통,환경,0.583020031452179,1
공항,교통,0.7404273152351379,2
과정,교육,0.6268183588981628,9
과학,과학,1,1
과학자,과학,0.5320860147476196,5
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,16
관심,기대,0.6249675154685974,5
교훈,희망,0.596325695514679,1
구강,음식,0.5946047306060791,6
국가,경제,0.7089344263076782,6
국적,종교,0.53299880027771,1
군단,해적,0.6255456805229187,1
귀국,여행,0.5005411505699158,2
그리움,고독,0.5979834794998169,1
근처,학교,0.5683311223983765,1
기대,기대,1,5
기분,유쾌,0.6678951382637024,4
기억,사랑,0.6537694931030273,3
기차,교통,0.6118013858795166,1
깨알,개그,0.5848792195320129,1
난관,갈등,0.5635523796081543,1
난무,괴담,0.5966172814369202,1
남자,사랑,0.5456969141960144,4
내면,내면,1,1
노래,춤,0.7242721915245056,11
노력,헌신,0.6555296182632446,1
노출,충격,0.60725998878479,2
놀라움,기쁨,0.5606492757797241,1
놀이,춤,0.6705771684646606,1
농담,개그,0.6088651418685913,2
눈길,동정,0.5653472542762756,4
눈앞,기대,0.5104065537452698,2
느낌,슬픔,0.6343626976013184,6
능력,교육,0.6137364506721497,1
다짐,열정,0.6131012439727783,1
당일,여행,0.5352691411972046,1
당황,충격,0.6099472045898438,2
대입,교육,0.5688934922218323,1
대학교,학교,0.5889599323272705,1
데드,액션,0.6570842266082764,13
데뷔작,드라마,0.5683770775794983,3
도시,도시,1,1
도움,기대,0.5482439994812012,3
도착,여행,0.6466491222381592,5
독창,춤,0.6945516467094421,3
독특,춤,0.5334261655807495,1
동영상,가상현실,0.5586168169975281,3
동질,종교,0.501040518283844,1
드라마,드라마,1,4
드래곤,판타지,0.5588497519493103,3
드립,액션,0.5245452523231506,3
들통,의심,0.5254730582237244,1
또래,가족,0.6356732845306396,1
로펌,법정,0.5958049893379211,5
리더,성장,0.5860862135887146,1
마귀,도둑,0.582291841506958,4
마미,사랑,0.5403059124946594,1
마약,범죄,0.71501225233078,2
마음,기쁨,0.6783162951469421,3
마작,만화,0.6471420526504517,1
만족감,기대,0.5598728656768799,1
맛집,음식,0.6337778568267822,2
맞춤,교육,0.5435973405838013,1
매력,열정,0.6489761471748352,23
매체,방송,0.6981302499771118,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,9
메일,만화,0.5050849914550781,1
모습,꿈,0.5368646383285522,18
모험,모험,1,1
몰입,열정,0.6674494743347168,4
무릎,상처,0.5319340229034424,1
문자,대화,0.5297391414642334,3
미래,미래,1,2
미션,액션,0.6060617566108704,4
미스터리,미스터리,1,1
미팅,가족,0.604566216468811,2
밀도,저항,0.5150157809257507,1
밀입국,범죄,0.5575827360153198,1
밀크,좀비,0.5806451439857483,1
바퀴,인형,0.504509449005127,7
반응,충격,0.5951288342475891,3
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,1
방문,여행,0.5841829180717468,2
배급,교육,0.5531435608863831,2
버라이어티,코미디,0.6652551889419556,1
법칙,철학,0.6116989850997925,1
베드씬,언더독,0.5535891056060791,1
베프,의리,0.5256522297859192,2
변동,혼란,0.5747342705726624,1
변장,인형,0.5359223484992981,1
변화,성장,0.7235260605812073,4
보증,의료,0.5057603716850281,1
보트,정글,0.6473324298858643,1
본토,군사,0.5685155391693115,2
볼륨,액션,0.6039969325065613,1
부모,가족,0.6875284910202026,2
부응,기대,0.587814211845398,1
부자집,시골,0.502497136592865,1
부합,환경,0.5545921921730042,1
분석,교육,0.5877142548561096,1
분실,의심,0.5253874659538269,2
분야,과학,0.6800429821014404,2
불안,불안,1,1
불안감,두려움,0.7379971742630005,1
불쾌감,무력감,0.5967289209365845,1
비중,성장,0.5152275562286377,2
비하,폭력,0.5519798398017883,1
사건,살인,0.7159186005592346,4
사고,의심,0.5630502700805664,2
사고뭉치,외계인,0.5241761207580566,1
사고방식,인간성,0.5352070927619934,1
사람,꿈,0.5610076785087585,25
사랑,사랑,1,2
사진,미술,0.5546669960021973,1
사촌,가족,0.594305157661438,1
사회,경제,0.8096231818199158,4
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,3
상영,방송,0.6350025534629822,2
상처,상처,1,1
상황,혼란,0.6442916989326477,20
생각,후회,0.6602693200111389,18
생모,꿈,0.5097768902778625,17
생성,발견,0.5995927453041077,1
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,2
선곡,음악,0.5897935032844543,1
선입관,무력감,0.5208969712257385,1
성공,성장,0.6859850287437439,6
성인,교육,0.5841577649116516,7
성장,성장,1,5
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,7
세상,기쁨,0.6082786321640015,3
섹드립,개그,0.562362551689148,2
셀프,액션,0.6212833523750305,1
수공예품,미술,0.5082715153694153,1
수습,혼란,0.5311461687088013,4
수행,성장,0.5646498799324036,1
스틸,액션,0.5995299220085144,12
시골,시골,1,1
시리즈,만화,0.5106303691864014,4
시작,발견,0.534450113773346,10
신체,자아,0.5770981311798096,1
실감,기대,0.5343434810638428,1
실소,분노,0.5662875771522522,1
심사,교육,0.5537958741188049,1
싸움,전투,0.6696678996086121,1
아시안,스포츠,0.6024064421653748,1
아이돌,드라마,0.5358486175537109,2
아카데미,뮤지컬,0.5939404964447021,1
아티스트,뮤지컬,0.511084258556366,9
아픔,상처,0.7904168963432312,1
앙상블,뮤지컬,0.5022584199905396,1
앞날,미래,0.573104202747345,1
애기,인형,0.5244230031967163,1
애니메이션,만화,0.68199223279953,2
액션,액션,1,3
야구,개그,0.6280479431152344,1
약과,음식,0.6299108266830444,1
얌전,유쾌,0.5084940791130066,1
엄마,사랑,0.5908297300338745,8
업무,교통,0.6426385641098022,4
에피소드,드라마,0.5304465889930725,3
여우,동물,0.6776934266090393,1
여자,사랑,0.5380519032478333,3
여정,이별,0.6358245611190796,11
여행,여행,1,11
연애,연애,1,1
연출,액션,0.5377380847930908,8
열망,열정,0.7022903561592102,1
영화,만화,0.7536719441413879,152
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,5
예상,기대,0.655988872051239,8
오디션,뮤지컬,0.6122252941131592,1
오버,액션,0.6607528328895569,1
오브,정글,0.5825490951538086,1
오해,상처,0.5473958253860474,1
온라인,교육,0.5160459876060486,1
왜곡,충격,0.5578368902206421,1
요리,음식,0.7475793361663818,1
요조숙녀,드라마,0.5659350156784058,2
욕망,욕망,1,2
웃음,개그,0.6434062123298645,19
위장,질병,0.5374902486801147,1
위험,불안,0.6922099590301514,1
유머,개그,0.6961884498596191,10
유쾌,유쾌,1,1
음란,폭력,0.6032528281211853,4
음악,음악,1,4
의아,의심,0.5598284602165222,1
의외,충격,0.5524848699569702,1
의자,인형,0.6082906723022461,1
이름,신화,0.5608668327331543,2
이사,고문,0.5024828314781189,4
이질,질병,0.6333496570587158,1
이해,철학,0.5395932197570801,1
