Word,Category,Similarity,Frequency
3사,방송,0.5755680203437805,1
간판,학교,0.5174685716629028,1
감상,음악,0.6411212086677551,1
감시,범죄,0.5818687081336975,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,1
거지,도둑,0.6057764291763306,1
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,2
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,1
계획,여행,0.6060113906860352,2
고발,범죄,0.5842509865760803,1
고생,고통,0.5584161281585693,1
공격,전투,0.6404148936271667,2
공양,기쁨,0.538112223148346,1
공연,음악,0.7031762599945068,1
공포,공포,1,21
공포감,무력감,0.6693056225776672,2
관람,여행,0.5587009191513062,4
관통,충격,0.5143977403640747,1
광란,공포,0.668723464012146,1
괴담,괴담,1,1
괴물,괴물,1,3
괴수,괴물,0.711188793182373,3
구더기,괴담,0.5086768269538879,1
구토,폭력,0.600831151008606,2
국가,경제,0.7089344263076782,2
국면,혼란,0.6054715514183044,1
그림자,유령,0.5297560691833496,1
근처,학교,0.5683311223983765,1
금물,후회,0.5201614499092102,1
긍정,희망,0.608379602432251,1
기대감,기대,0.6246221661567688,1
기력,전투,0.5499060750007629,1
기분,유쾌,0.6678951382637024,1
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,3
기타,음악,0.5873071551322937,1
긴박,유쾌,0.5951035618782043,1
꼬치,음식,0.5769160389900208,1
낙오,살인,0.5390106439590454,1
날개,유령,0.5668269395828247,1
날짜,여행,0.5524149537086487,1
남녀,평등,0.5715689063072205,2
남자,사랑,0.5456969141960144,3
남친,연애,0.6194848418235779,1
납치,살인,0.6689104437828064,4
노래,춤,0.7242721915245056,2
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,7
당첨,기대,0.522482693195343,7
당황,충격,0.6099472045898438,2
대답,후회,0.5436964631080627,1
대여,여행,0.6416856050491333,1
데뷔작,드라마,0.5683770775794983,1
도끼,신화,0.5833896994590759,2
도배,폭력,0.5458524823188782,1
도시,도시,1,4
도움,기대,0.5482439994812012,3
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,7
동물,동물,1,1
두려움,두려움,1,1
뒷산,시골,0.5502679944038391,1
뚜껑,용기,0.6211519241333008,1
레이디,뮤지컬,0.505328357219696,4
레이스,스포츠,0.55909663438797,1
리본,인형,0.5378976464271545,30
마음,기쁨,0.6783162951469421,2
만연,범죄,0.6431142687797546,1
만족,기대,0.6570032238960266,1
매니아,판타지,0.5267682075500488,3
먹이,동물,0.6372129321098328,2
