Word,Category,Similarity,Frequency
가슴,상처,0.6098507642745972,3
가정,가족,0.7013463377952576,1
가족,가족,1,2
간호,교육,0.6981058716773987,2
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,6
감상,음악,0.6411212086677551,4
감청,범죄,0.6396206617355347,2
갑판,해양,0.5313107967376709,1
강대국,경제,0.5646610856056213,1
개요,여행,0.5623396039009094,1
걱정,후회,0.651527464389801,2
검색,여행,0.6249870657920837,1
격추,전투,0.5257872939109802,1
격침,전투,0.6112719178199768,2
결기,희생,0.5398968458175659,1
결단,용서,0.5725662112236023,2
결렬,갈등,0.5909489989280701,1
결제,여행,0.5954683423042297,2
경악,충격,0.724260687828064,1
경제,경제,1,1
계발,교육,0.7170054912567139,1
계획,여행,0.6060113906860352,1
고급,음식,0.5831040740013123,1
고문,고문,1,1
고위급,군사,0.5409925580024719,1
고의,범죄,0.5445482730865479,1
고전,미술,0.6437533497810364,5
고통,고통,1,2
고향,시골,0.6128569841384888,1
공격,전투,0.6404148936271667,20
공군,군대,0.6319987773895264,4
공군기,군사,0.5193030834197998,1
공급,교육,0.5476977229118347,2
공로,헌신,0.6110802292823792,1
공부,교육,0.6627280712127686,1
공세,전쟁,0.6314626336097717,1
공습,전쟁,0.6530317664146423,25
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,3
관심,기대,0.6249675154685974,1
관통,충격,0.5143977403640747,1
교육,교육,1,1
국가,경제,0.7089344263076782,4
군대,군대,1,1
군복,군대,0.6708796620368958,2
군사,군사,1,2
군악대,군대,0.5709170699119568,1
군인,군대,0.6802380084991455,3
군함,전쟁,0.5709556937217712,1
권력자,권력,0.6178524494171143,1
그리움,고독,0.5979834794998169,1
극단,미술,0.5709163546562195,1
극도,괴담,0.5402888059616089,1
극복,고통,0.6304678916931152,1
근처,학교,0.5683311223983765,1
기분,유쾌,0.6678951382637024,1
기억,사랑,0.6537694931030273,3
기침,질병,0.5382747054100037,1
기획,교육,0.625312864780426,1
긴박,유쾌,0.5951035618782043,1
깨알,개그,0.5848792195320129,1
꼬리,동물,0.517152726650238,3
꼬마,도둑,0.5964561700820923,1
날씨,환경,0.6094790697097778,1
날짜,여행,0.5524149537086487,1
남녀,평등,0.5715689063072205,2
남자,사랑,0.5456969141960144,4
남친,연애,0.6194848418235779,1
남편,가족,0.6233720779418945,1
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,2
눈물,슬픔,0.6957001090049744,2
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,2
다짐,열정,0.6131012439727783,1
단짝,사랑,0.5452064275741577,1
당혹,분노,0.5576525330543518,1
대대,군대,0.5899211764335632,3
대여,여행,0.6416856050491333,1
대포,군대,0.5467542409896851,1
댓글,후회,0.505795419216156,1
덩케르크,전쟁,0.5376548767089844,1
도착,여행,0.6466491222381592,1
독해,철학,0.6137232184410095,2
동영상,가상현실,0.5586168169975281,3
드라마,드라마,1,12
라이벌,자존심,0.5227869749069214,1
러브,액션,0.6233081817626953,3
로맨스,로맨스,1,4
롬띠,액션,1,1
리더,성장,0.5860862135887146,1
리얼,액션,0.6809289455413818,2
리틀,정글,0.6318785548210144,1
마음,기쁨,0.6783162951469421,7
막장,개그,0.6745045781135559,2
매력,열정,0.6489761471748352,3
매체,방송,0.6981302499771118,1
먹거리,음식,0.5923094749450684,1
명곡,사랑,0.5801110863685608,1
명작,만화,0.6867616772651672,8
명장면,코미디,0.5314233899116516,4
모습,꿈,0.5368646383285522,16
모집,교육,0.5132797956466675,1
모함,충격,0.525575578212738,2
목표,성장,0.6552416682243347,1
몰입,열정,0.6674494743347168,4
묘기,춤,0.6675655245780945,1
묘소,희생,0.5123208165168762,1
무서움,불안,0.5561872124671936,1
문제,갈등,0.6495088934898376,2
물기,유쾌,0.5127348303794861,1
뮤지컬,뮤지컬,1,1
미군,군사,0.6460919976234436,3
미드,정글,0.6025518774986267,3
밀리터리,스포츠,0.5414837002754211,3
바다,바다,1,4
박살,도둑,0.5136302709579468,1
반격,추격,0.641403079032898,3
반성,후회,0.62535560131073,1
발각,살인,0.5089609622955322,1
발견,발견,1,1
발레,미술,0.6749600768089294,1
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,1
방심,후회,0.613030731678009,1
방해,혼란,0.5498800277709961,1
방향,미래,0.5546501278877258,1
배짱,의리,0.5634317398071289,1
배치,수색,0.5295758843421936,3
밴드,음악,0.5989826321601868,4
범벅,괴담,0.5813131332397461,1
별거,연애,0.5366382002830505,1
병사,군대,0.6129758954048157,1
보답,헌신,0.5308396816253662,1
보복,폭력,0.687204122543335,1
본토,군사,0.5685155391693115,4
부당,폭력,0.577399492263794,1
부대,군대,0.6763806939125061,6
북쪽,도시,0.5450892448425293,1
분노,분노,1,1
불사,종교,0.512650728225708,1
불행,절망,0.6734789609909058,1
비극,살인,0.6638696789741516,1
비서,탐정,0.5611511468887329,1
비위,고문,0.5252611637115479,1
비행,우주,0.6494387984275818,11
빌미,괴담,0.5338877439498901,1
사건,살인,0.7159186005592346,7
사고,의심,0.5630502700805664,1
사기,도박,0.624628484249115,3
사람,꿈,0.5610076785087585,35
사랑,사랑,1,27
사방,정글,0.5186978578567505,1
사진,미술,0.5546669960021973,10
삭제,의심,0.5076044797897339,1
산소,전기,0.5702613592147827,2
삼각,우정,0.5756801962852478,1
삼각관계,갈등,0.543746292591095,1
삽입곡,드라마,0.5889449715614319,1
상황,혼란,0.6442916989326477,14
새끼,동물,0.6447408199310303,1
생각,후회,0.6602693200111389,21
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,1
서스펜스,미스터리,0.697295069694519,2
선택,희망,0.5827092528343201,1
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,5
성장,성장,1,1
세계,경제,0.6071235537528992,21
소득,경제,0.648128092288971,1
수행,성장,0.5646498799324036,2
스키,여행,0.6113173961639404,1
스틸,액션,0.5995299220085144,1
스틸컷,다큐멘터리,0.6168383359909058,4
슬픔,슬픔,1,2
습격,반란,0.656060516834259,1
승전국,군사,0.5152385830879211,1
시련,절망,0.6770740151405334,1
시리즈,만화,0.5106303691864014,1
시설,여행,0.6567099690437317,2
시작,발견,0.534450113773346,15
시청,방송,0.6024045944213867,2
식수,환경,0.5669937133789062,1
실력,춤,0.5194166302680969,3
실존,생존,0.5969371199607849,1
실종,살인,0.5558342933654785,2
실화,공포,0.6056075096130371,3
심장,기쁨,0.5264105200767517,1
십자,상처,0.5313938856124878,1
아내,가족,0.582758903503418,2
아들,가족,0.5667959451675415,2
아픔,상처,0.7904168963432312,2
악당,좀비,0.6801067590713501,1
악행,폭력,0.6362540125846863,1
안경,인형,0.6577499508857727,1
안심,희망,0.5662862062454224,1
암호,과학,0.5643569827079773,4
애석,슬픔,0.5296512842178345,1
액션,액션,1,11
야욕,권력,0.553051233291626,2
어뢰,수색,0.5592890977859497,3
에블,액션,1,3
엔진,전기,0.573421835899353,3
여과,용기,0.5128584504127502,1
여자,사랑,0.5380519032478333,5
여친,군대,0.6060096025466919,1
여행,여행,1,6
역사,철학,0.6869469285011292,5
연극,미술,0.7502412796020508,1
연료,전기,0.6565115451812744,3
연막,전투,0.5378531813621521,1
연설,전쟁,0.575287401676178,2
연습,전투,0.5603004097938538,1
연인,사랑,0.6981024742126465,9
연출,액션,0.5377380847930908,3
영웅,신화,0.649358868598938,2
영화,만화,0.7536719441413879,129
예고편,드라마,0.5787103772163391,2
오브,정글,0.5825490951538086,3
오페라,뮤지컬,0.6098440885543823,1
외국,만화,0.5371031761169434,1
요리,음식,0.7475793361663818,2
용기,용기,1,3
원망,절망,0.6686849594116211,2
위기,혼란,0.6975850462913513,3
위로,바다,0.5024420619010925,2
위험,불안,0.6922099590301514,1
위협,폭력,0.639009416103363,1
유류,전기,0.5939198732376099,1
육군,군대,0.749611496925354,3
음악,음악,1,3
의무,윤리,0.6379601955413818,1
의회,정치,0.6116244792938232,1
이념,정치,0.6977240443229675,3
이득,배신,0.5013233423233032,1
이름,신화,0.5608668327331543,1
이탈,혼란,0.6253495812416077,2
이해,철학,0.5395932197570801,8
이혼,이별,0.6634467244148254,1
인기,여행,0.6119158267974854,1
인물,정치,0.5848035216331482,13
인상,기대,0.6044384241104126,2
일상,유쾌,0.5978867411613464,3
일요,방송,0.6244588494300842,1
임명,동정,0.5194627642631531,3
임신,질병,0.5124660134315491,1
자막,방송,0.6141181588172913,2
자비,희생,0.5873818397521973,1
자신감,자존심,0.5629044771194458,4
자연,환경,0.6941760182380676,1
자폭,마법,0.588920533657074,1
작가,만화,0.6290877461433411,1
작전,전투,0.6892815232276917,3
잔인,음모,0.569640040397644,3
잡담,괴담,0.5088366866111755,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,5
적국,군사,0.6257956027984619,1
적소,환경,0.5476472973823547,1
전면전,전쟁,0.6246053576469421,2
전사,전투,0.5905117392539978,4
전역,전쟁,0.5050873756408691,1
전장,전투,0.6298407316207886,3
전쟁,전쟁,1,83
전쟁터,전쟁,0.5828185677528381,1
전투,전투,1,12
전투기,군사,0.533032238483429,9
전함,전투,0.6038719415664673,3
절친,연애,0.6004643440246582,1
점령,전쟁,0.6118645668029785,1
점령지,군사,0.5276984572410583,1
정보,교통,0.6121577620506287,18
정복,탐험,0.6582491397857666,1
정착,성장,0.5926408767700195,1
정찰,수색,0.6751967668533325,3
제독,해적,0.5557050704956055,5
제작,방송,0.6307950615882874,1
조종,군사,0.5176326632499695,1
조준,수색,0.5081753730773926,4
좌절,절망,0.6658827662467957,1
주요,도시,0.5643994808197021,1
죽음,고독,0.6896678805351257,7
줄거리,드라마,0.531794548034668,5
중립,정치,0.5392723083496094,3
지배,권력,0.6291192173957825,1
질문,대화,0.5432519912719727,1
질식,고통,0.6451636552810669,1
착륙,여행,0.5380227565765381,3
