Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가족,가족,1,1
개봉작,드라마,0.5794780254364014,1
개입,음모,0.5886576175689697,1
걱정,후회,0.651527464389801,1
결저,액션,1,1
결혼,연애,0.6863196492195129,15
경고,의심,0.5979491472244263,2
경비,교통,0.6123348474502563,2
계획,여행,0.6060113906860352,2
고급,음식,0.5831040740013123,1
고층,도시,0.5431943535804749,1
공포,공포,1,7
관람,여행,0.5587009191513062,8
광분,분노,0.6287151575088501,1
괴한,폭력,0.6403436660766602,1
근처,학교,0.5683311223983765,3
기대,기대,1,3
기분,유쾌,0.6678951382637024,3
나날,이별,0.6136053204536438,1
남녀,평등,0.5715689063072205,1
남자,사랑,0.5456969141960144,19
남편,가족,0.6233720779418945,8
노래,춤,0.7242721915245056,4
노력,헌신,0.6555296182632446,1
노상,폭력,0.522805392742157,1
노출,충격,0.60725998878479,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,5
당황,충격,0.6099472045898438,1
데니안,언더독,0.5832688808441162,1
도착,여행,0.6466491222381592,3
독특,춤,0.5334261655807495,1
두려움,두려움,1,1
드라마,드라마,1,3
뜨밤,액션,1,1
라디오,드라마,0.6265520453453064,1
렌즈,용기,0.5198469161987305,5
로맨스,로맨스,1,5
마음,기쁨,0.6783162951469421,2
마켓,좀비,0.5886021852493286,1
말썽,혼란,0.526727557182312,1
명작,만화,0.6867616772651672,1
모델,교육,0.5252665281295776,2
모습,꿈,0.5368646383285522,2
모양,인형,0.6405982375144958,1
박살,도둑,0.5136302709579468,2
반말,폭력,0.5853083729743958,1
발생,혼란,0.6102904081344604,1
방뇨,음모,0.577372133731842,1
배급,교육,0.5531435608863831,2
배급사,드라마,0.5019193887710571,2
본론,윤리,0.5625672340393066,1
불씨,혼란,0.5543485283851624,1
불안,불안,1,3
불안감,두려움,0.7379971742630005,1
불행,절망,0.6734789609909058,1
비중,성장,0.5152275562286377,1
빈약,기대,0.5086852312088013,1
사건,살인,0.7159186005592346,4
사람,꿈,0.5610076785087585,16
사랑,사랑,1,13
사이코,스릴러,0.5595394968986511,1
사이코패스,정신병,0.6299716830253601,1
사진,미술,0.5546669960021973,10
사진작가,다큐멘터리,0.5070701837539673,5
사촌,가족,0.594305157661438,7
산속,시골,0.6497528553009033,2
살인,살인,1,11
살인자,도둑,0.5604517459869385,1
살해,살인,0.6861730217933655,2
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,3
생산,농업,0.6487099528312683,1
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,1
셀카,춤,0.5901385545730591,1
손발,상처,0.5660101771354675,1
수다,대화,0.5187240242958069,1
수염,인형,0.5710665583610535,1
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,12
스테이션,컴퓨터,0.5199851989746094,1
스텝,액션,0.5109118223190308,2
시비,갈등,0.5315856337547302,3
시작,발견,0.534450113773346,8
시청,방송,0.6024045944213867,1
신혼,가족,0.683169960975647,2
실사,만화,0.575007438659668,1
실종,살인,0.5558342933654785,7
실종자,수색,0.5530996322631836,1
아내,가족,0.582758903503418,4
악몽,공포,0.6761541962623596,1
안개,유령,0.5902785062789917,1
안심,희망,0.5662862062454224,1
애니메이션,만화,0.68199223279953,1
애증,연애,0.6169014573097229,1
액션,액션,1,1
여자,사랑,0.5380519032478333,3
여행,여행,1,5
여행지,여행,0.5410048961639404,3
연기자,드라마,0.6007305979728699,1
연애,연애,1,1
연출,액션,0.5377380847930908,1
연출력,액션,0.515964686870575,1
영화,만화,0.7536719441413879,56
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,1
용납,용서,0.6418980360031128,1
위험,불안,0.6922099590301514,3
위협,폭력,0.639009416103363,1
음악,음악,1,1
의심,의심,1,2
의아,의심,0.5598284602165222,1
이득,배신,0.5013233423233032,1
이해,철학,0.5395932197570801,3
인간관계,사회문제,0.5430835485458374,1
인물,정치,0.5848035216331482,2
인터넷,컴퓨터,0.609046220779419,1
잉태,동정,0.5736814141273499,1
작가,만화,0.6290877461433411,3
잔인,음모,0.569640040397644,1
장르,음악,0.7329081892967224,4
장면,액션,0.5999083518981934,6
장소,여행,0.6031988263130188,4
장편,만화,0.7140740752220154,1
재미,모험,0.6051297187805176,2
재앙,혼란,0.6300399303436279,1
저금통,인형,0.5797374248504639,1
정보,교통,0.6121577620506287,11
제작,방송,0.6307950615882874,1
제작사,드라마,0.522915244102478,1
주목,기대,0.562468945980072,2
줄거리,드라마,0.531794548034668,3
중소,농업,0.5598448514938354,1
지붕,바다,0.5468674898147583,1
집사,탐정,0.574050784111023,1
집안,가족,0.6251765489578247,1
차박,액션,1,7
참여,기대,0.5516729950904846,1
촬영,방송,0.6484997272491455,1
추리,탐정,0.6983305811882019,1
추천,여행,0.5768113136291504,6
축하,꿈,0.5423662662506104,1
출연,방송,0.659591019153595,6
충격,충격,1,1
칠갑,액션,1,1
캐릭터,인형,0.5306801795959473,1
커플,가족,0.6512839198112488,2
판타스틱,드라마,0.5803945660591125,1
팝콘,음식,0.529098629951477,2
폐막작,뮤지컬,0.5035118460655212,1
포토,동정,0.5201435089111328,1
폭로,충격,0.6623914837837219,1
폭발,충격,0.6844252347946167,1
표현,대화,0.5644240975379944,1
풍토,환경,0.6912291646003723,2
플래카드,시민운동,0.5070461630821228,1
플루,질병,0.5098066926002502,1
핸드폰,컴퓨터,0.5639285445213318,3
행복,기쁨,0.7726561427116394,7
협박,폭력,0.6928228735923767,1
확인,발견,0.6419516205787659,3
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,1

Category,Count,average
액션,10,0.7812245488166809
드라마,9,0.6136105325486925
여행,8,0.6432593390345573
가족,7,0.6800095098359245
만화,6,0.6734325190385183
방송,6,0.6471256117026011
충격,5,0.7128047823905945
기대,5,0.6557632088661194
폭력,5,0.6160579442977905
혼란,5,0.5931396245956421
살인,4,0.7394814789295197
인형,4,0.5805206000804901
연애,3,0.7677403688430786
의심,3,0.7192592024803162
사랑,3,0.6945829391479492
춤,3,0.6159456372261047
음모,3,0.5785565972328186
컴퓨터,3,0.5643199880917867
교육,3,0.5623404582341512
꿈,3,0.5467461943626404
두려움,2,0.8689985871315002
음악,2,0.8664540946483612
불안,2,0.8461049795150757
공포,2,0.8380770981311798
스릴러,2,0.7797697484493256
기쁨,2,0.7254862189292908
환경,2,0.6960923671722412
후회,2,0.65589839220047
탐정,2,0.6361906826496124
교통,2,0.6122463047504425
농업,2,0.6042774021625519
발견,2,0.5882008671760559
희망,2,0.5663296282291412
음식,2,0.5561013519763947
동정,2,0.5469124615192413
대화,2,0.5415740609169006
도둑,2,0.5370410084724426
로맨스,1,1.0
절망,1,0.6734789609909058
유쾌,1,0.6678951382637024
헌신,1,0.6555296182632446
시골,1,0.6497528553009033
용서,1,0.6418980360031128
슬픔,1,0.6343626976013184
정신병,1,0.6299716830253601
분노,1,0.6287151575088501
신화,1,0.6202012896537781
이별,1,0.6136053204536438
모험,1,0.6051297187805176
유령,1,0.5902785062789917
좀비,1,0.5886021852493286
정치,1,0.5848035216331482
언더독,1,0.5832688808441162
평등,1,0.5715689063072205
학교,1,0.5683311223983765
상처,1,0.5660101771354675
윤리,1,0.5625672340393066
미술,1,0.5546669960021973
수색,1,0.5530996322631836
바다,1,0.5468674898147583
도시,1,0.5431943535804749
사회문제,1,0.5430835485458374
철학,1,0.5395932197570801
갈등,1,0.5315856337547302
용기,1,0.5198469161987305
성장,1,0.5152275562286377
질병,1,0.5098066926002502
다큐멘터리,1,0.5070701837539673
시민운동,1,0.5070461630821228
뮤지컬,1,0.5035118460655212
배신,1,0.5013233423233032
