Word,Category,Similarity,Frequency
가족,가족,1,1
갈등,갈등,1,1
경험,열정,0.6344258189201355,1
고객,가족,0.5992609262466431,2
고향,시골,0.6128569841384888,1
과정,교육,0.6268183588981628,2
광물,농업,0.6380176544189453,3
국물,음식,0.584571897983551,1
기대,기대,1,4
기억,사랑,0.6537694931030273,1
기획,교육,0.625312864780426,1
날개,유령,0.5668269395828247,2
내심,기대,0.507256031036377,1
노출,충격,0.60725998878479,2
누나,가족,0.5465071797370911,1
눈매,유쾌,0.5873141884803772,1
느낌,슬픔,0.6343626976013184,4
능동,자아,0.532185435295105,1
당첨,기대,0.522482693195343,1
대립,갈등,0.8246769905090332,1
대입,교육,0.5688934922218323,1
더빙,방송,0.5857229828834534,1
도시,도시,1,1
도착,여행,0.6466491222381592,1
드라마,드라마,1,1
리필,용기,0.5783399343490601,1
마음,기쁨,0.6783162951469421,3
마케팅,가상현실,0.5079087615013123,3
먹이,동물,0.6372129321098328,1
메뉴,음식,0.674547016620636,1
메시지,대화,0.5048822164535522,1
면발,음식,0.5181261897087097,1
모습,꿈,0.5368646383285522,2
발전,성장,0.7311267852783203,1
발행,만화,0.5132414698600769,1
밥통,인형,0.6229609251022339,1
방학,학교,0.627612829208374,1
보호,환경,0.6321627497673035,1
부리,모험,0.5075094103813171,1
부모,가족,0.6875284910202026,3
부스,인형,0.5842044353485107,1
불법,범죄,0.6486050486564636,1
비행사,우주,0.6022586822509766,1
사람,꿈,0.5610076785087585,1
삼촌,도둑,0.5172341465950012,5
상담,심리,0.672296941280365,1
새끼,동물,0.6447408199310303,2
색깔,동물,0.5537340044975281,1
생각,후회,0.6602693200111389,11
서사,신화,0.6202012896537781,1
성장,성장,1,2
시작,발견,0.534450113773346,2
아이스크림,음식,0.504037618637085,2
아츄,춤,0.5139868855476379,1
애니메이션,만화,0.68199223279953,7
어뷰징,도박,0.5401357412338257,1
여행,여행,1,1
영화,만화,0.7536719441413879,5
영화관,드라마,0.5831791758537292,1
옛날,시골,0.5727385878562927,1
의존,불안,0.6040859818458557,1
이득,배신,0.5013233423233032,1
이해,철학,0.5395932197570801,1
작업,수색,0.6102691888809204,1
저녁,음식,0.5039622187614441,1
전분,농업,0.5728038549423218,1
제공,여행,0.6024255156517029,2
제작,방송,0.6307950615882874,1
제작진,드라마,0.5286853313446045,3
제품,환경,0.5750954747200012,1
즉흥,춤,0.6668667793273926,1
지역,도시,0.7241222858428955,2
진정,기쁨,0.5493860840797424,2
쪼꿈,액션,1,1
차별,평등,0.7053220272064209,1
충동,자아,0.6705692410469055,1
츄러스,음식,0.5121420621871948,1
치킨,좀비,0.5944420695304871,1
카레,음식,0.6260396838188171,1
타겟,좀비,0.6022775769233704,1
특이,의심,0.5189300179481506,1
티켓,여행,0.6218228340148926,1
팝콘,음식,0.529098629951477,1
편견,분노,0.6501380205154419,1
포케,액션,0.5792393684387207,1
프로그램,교육,0.6089324355125427,1
행복,기쁨,0.7726561427116394,1
협력,대화,0.6538437008857727,1
혼란,혼란,1,2
효과,기대,0.5692968964576721,4
흐름,질서,0.5799944400787354,1

Category,Count,average
음식,8,0.5565656647086143
여행,4,0.7177243679761887
가족,4,0.7083241492509842
기대,4,0.649758905172348
교육,4,0.607489287853241
드라마,3,0.703954835732778
기쁨,3,0.6667861739794413
만화,3,0.6496352156003317
동물,3,0.6118959188461304
갈등,2,0.9123384952545166
성장,2,0.8655633926391602
도시,2,0.8620611429214478
액션,2,0.7896196842193604
방송,2,0.6082590222358704
농업,2,0.6054107546806335
환경,2,0.6036291122436523
인형,2,0.6035826802253723
자아,2,0.6013773381710052
좀비,2,0.5983598232269287
시골,2,0.5927977859973907
춤,2,0.5904268324375153
대화,2,0.5793629586696625
꿈,2,0.5489361584186554
혼란,1,1.0
평등,1,0.7053220272064209
심리,1,0.672296941280365
후회,1,0.6602693200111389
사랑,1,0.6537694931030273
분노,1,0.6501380205154419
범죄,1,0.6486050486564636
열정,1,0.6344258189201355
슬픔,1,0.6343626976013184
학교,1,0.627612829208374
신화,1,0.6202012896537781
수색,1,0.6102691888809204
충격,1,0.60725998878479
불안,1,0.6040859818458557
우주,1,0.6022586822509766
유쾌,1,0.5873141884803772
질서,1,0.5799944400787354
용기,1,0.5783399343490601
유령,1,0.5668269395828247
도박,1,0.5401357412338257
철학,1,0.5395932197570801
발견,1,0.534450113773346
의심,1,0.5189300179481506
도둑,1,0.5172341465950012
가상현실,1,0.5079087615013123
모험,1,0.5075094103813171
배신,1,0.5013233423233032
