Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가족,가족,1,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,1
감자,음식,0.531127393245697,5
관람,여행,0.5587009191513062,4
구장,도시,0.5626206398010254,1
국가,경제,0.7089344263076782,1
기대,기대,1,1
기술,농업,0.6986809968948364,1
남편,가족,0.6233720779418945,1
능력,교육,0.6137364506721497,1
당첨,기대,0.522482693195343,1
도서관,학교,0.5833439230918884,1
도움,기대,0.5482439994812012,1
동반,가족,0.6541745662689209,1
동화책,만화,0.5084381103515625,1
마당,가족,0.5519530773162842,1
마음,기쁨,0.6783162951469421,6
만족,기대,0.6570032238960266,3
만화,만화,1,3
말솜씨,유쾌,0.5005207061767578,2
매력,열정,0.6489761471748352,2
먹을거리,음식,0.5610687732696533,1
메뉴,음식,0.674547016620636,2
모습,꿈,0.5368646383285522,3
발휘,기대,0.5250481367111206,1
방학,학교,0.627612829208374,1
배급,교육,0.5531435608863831,1
배려,헌신,0.6277512907981873,1
보조,의료,0.6010368466377258,1
빌라,정글,0.5136463642120361,1
사람,꿈,0.5610076785087585,2
사랑,사랑,1,1
사진,미술,0.5546669960021973,1
상영,방송,0.6350025534629822,5
생각,후회,0.6602693200111389,2
설날,음식,0.5837277173995972,2
세상,기쁨,0.6082786321640015,1
세트,인형,0.564244270324707,1
센터,의료,0.6881778836250305,1
소통,대화,0.694833517074585,1
스낵,음식,0.6853100657463074,1
시작,발견,0.534450113773346,1
싸움,전투,0.6696678996086121,1
악당,좀비,0.6801067590713501,2
애니메이션,만화,0.68199223279953,2
액션,액션,1,4
여아,인형,0.5274296998977661,1
여행,여행,1,1
영상미,액션,0.5695945620536804,1
영화,만화,0.7536719441413879,29
영화관,드라마,0.5831791758537292,4
예고편,드라마,0.5787103772163391,2
외계인,외계인,1,3
용기,용기,1,1
웃음,개그,0.6434062123298645,1
원작,만화,0.7227425575256348,1
육아,교육,0.7042093276977539,1
율동,춤,0.6960801482200623,1
음료수,음식,0.560031533241272,2
응대,대화,0.5371342301368713,1
의자,인형,0.6082906723022461,2
이모,시골,0.5500632524490356,3
인물,정치,0.5848035216331482,1
인터넷,컴퓨터,0.609046220779419,1
일상,유쾌,0.5978867411613464,1
장르,음악,0.7329081892967224,1
장면,액션,0.5999083518981934,1
재미,모험,0.6051297187805176,2
정보,교통,0.6121577620506287,2
주요,도시,0.5643994808197021,1
지구,우주,0.7121323943138123,13
청소년,교육,0.5544909238815308,2
체험,교육,0.6782315373420715,1
최강,괴물,0.5176655650138855,11
추천,여행,0.5768113136291504,3
취재,방송,0.565690815448761,2
캐릭터,인형,0.5306801795959473,3
콜라,폭력,0.5190795660018921,27
키즈,정글,0.6012908220291138,2
튀김,음식,0.708192765712738,5
티켓,여행,0.6218228340148926,3
팝콘,음식,0.529098629951477,4
폭력,폭력,1,1
필드,액션,0.594464123249054,2
할인,여행,0.5819051265716553,1
현란,유쾌,0.5287632942199707,3
협찬,방송,0.5449087023735046,1
호흡,춤,0.5944341421127319,1
환영,희망,0.5663730502128601,1
활동,교육,0.6086112856864929,1
활성,환경,0.5698313117027283,1
활약,성장,0.5549848675727844,3
희생,희생,1,1
히어로,판타지,0.6113652586936951,1

Category,Count,average
음식,8,0.6041379868984222
여행,6,0.6588230729103088
교육,6,0.6187371810277303
만화,5,0.733368968963623
기대,5,0.6505556106567383
가족,4,0.7073749303817749
액션,4,0.6909917593002319
인형,4,0.5576612055301666
기쁨,3,0.6438897848129272
방송,3,0.5818673570950826
유쾌,3,0.542390247186025
폭력,2,0.759539783000946
음악,2,0.6870146989822388
춤,2,0.6452571451663971
의료,2,0.6446073651313782
대화,2,0.6159838736057281
학교,2,0.6054783761501312
드라마,2,0.5809447765350342
도시,2,0.5635100603103638
정글,2,0.557468593120575
꿈,2,0.5489361584186554
사랑,1,1.0
외계인,1,1.0
용기,1,1.0
희생,1,1.0
우주,1,0.7121323943138123
경제,1,0.7089344263076782
농업,1,0.6986809968948364
좀비,1,0.6801067590713501
전투,1,0.6696678996086121
후회,1,0.6602693200111389
열정,1,0.6489761471748352
개그,1,0.6434062123298645
헌신,1,0.6277512907981873
교통,1,0.6121577620506287
판타지,1,0.6113652586936951
컴퓨터,1,0.609046220779419
모험,1,0.6051297187805176
정치,1,0.5848035216331482
환경,1,0.5698313117027283
희망,1,0.5663730502128601
성장,1,0.5549848675727844
미술,1,0.5546669960021973
시골,1,0.5500632524490356
발견,1,0.534450113773346
괴물,1,0.5176655650138855
