Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,1
가세,추격,0.5212082862854004,1
가족,가족,1,4
갈취,폭력,0.670322597026825,1
감옥,감옥,1,1
강력,충격,0.5549739599227905,1
개요,여행,0.5623396039009094,2
갱단,해적,0.6509640216827393,2
거대,괴물,0.5640032887458801,1
거래,도박,0.6013003587722778,1
거물,고문,0.5415357947349548,1
거액,도박,0.5036361217498779,4
거짓말,부도덕,0.5334540605545044,1
건물,학교,0.6180571913719177,32
건설,도시,0.6078121066093445,1
건축,미술,0.7201681733131409,1
게임,만화,0.7299426198005676,40
격투기,스포츠,0.6603521704673767,14
경계심,두려움,0.6281437873840332,1
경비,교통,0.6123348474502563,1
경쟁,갈등,0.6576756238937378,1
계단,괴담,0.5106033086776733,2
계획,여행,0.6060113906860352,2
고급,음식,0.5831040740013123,1
고통,고통,1,1
공격,전투,0.6404148936271667,2
공동,대화,0.5171006321907043,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,6
교도소,감옥,0.6448109149932861,8
구석,철학,0.5159526467323303,1
구역,도시,0.6346057057380676,2
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,5
군상,고독,0.5473668575286865,1
기대,기대,1,2
기쁨,기쁨,1,1
기억,사랑,0.6537694931030273,1
기타,음악,0.5873071551322937,1
긴박감,유쾌,0.531667947769165,1
난입,폭력,0.5554153919219971,1
남자,사랑,0.5456969141960144,1
납부,여행,0.5136650800704956,1
내면,내면,1,3
내심,기대,0.507256031036377,1
노숙,폭력,0.6069244742393494,1
놀이,춤,0.6705771684646606,1
뉴스,방송,0.70646071434021,1
다발,살인,0.5137037634849548,3
다툼,갈등,0.7528305649757385,1
달러,위안,0.6735437512397766,3
당황,충격,0.6099472045898438,1
댓글,후회,0.505795419216156,2
도시,도시,1,2
돌프,액션,0.5335259437561035,3
드라마,드라마,1,3
디지털,컴퓨터,0.6325473189353943,1
디콘,액션,0.5285087823867798,15
라이벌,자존심,0.5227869749069214,1
런치,액션,0.5060859322547913,1
로맨틱,로맨스,0.6721806526184082,1
마약,범죄,0.71501225233078,8
마음,기쁨,0.6783162951469421,1
메일,만화,0.5050849914550781,1
명령,군사,0.5395892262458801,1
모습,꿈,0.5368646383285522,3
모양,인형,0.6405982375144958,1
모임,가족,0.6203815937042236,1
목격,발견,0.6813858151435852,2
몸싸움,폭력,0.5063389539718628,1
문제,갈등,0.6495088934898376,4
미래,미래,1,5
미련,고독,0.6796653270721436,1
미행,수색,0.6467276811599731,2
밍숭,액션,1,1
반격,추격,0.641403079032898,1
반응,충격,0.5951288342475891,1
발각,살인,0.5089609622955322,1
발견,발견,1,10
발상,철학,0.5057413578033447,1
방문,여행,0.5841829180717468,1
방해,혼란,0.5498800277709961,3
배급,교육,0.5531435608863831,3
범죄,범죄,1,9
변명,욕망,0.5581992864608765,1
병원비,고통,0.5332443714141846,5
보급,교육,0.6157799959182739,1
보험,의료,0.7324044108390808,2
복싱,액션,0.6534175872802734,2
본론,윤리,0.5625672340393066,1
부패,범죄,0.6599663496017456,1
부합,환경,0.5545921921730042,1
분노,분노,1,1
붕괴,혼란,0.6892794370651245,1
블록,액션,0.5236793160438538,3
비디오,컴퓨터,0.6554548740386963,3
사람,꿈,0.5610076785087585,15
사랑,사랑,1,2
사진,미술,0.5546669960021973,1
사투,추격,0.57225102186203,1
삭제,의심,0.5076044797897339,1
산물,욕망,0.5136435031890869,1
살해,살인,0.6861730217933655,4
상황,혼란,0.6442916989326477,2
생각,후회,0.6602693200111389,2
생활,환경,0.7009555697441101,1
섀도,정글,0.5653501749038696,2
서사,신화,0.6202012896537781,1
선택,희망,0.5827092528343201,1
설치,교육,0.5344357490539551,3
성공,성장,0.6859850287437439,4
센터,의료,0.6881778836250305,1
솜씨,춤,0.5051486492156982,1
수감자,살인,0.5253587365150452,1
수색,수색,1,1
수술,상처,0.585891604423523,1
수술비,고통,0.5091788172721863,6
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,4
스테이션,컴퓨터,0.5199851989746094,1
시리즈,만화,0.5106303691864014,2
시비,갈등,0.5315856337547302,1
시사,정치,0.7213011980056763,1
시작,발견,0.534450113773346,11
시장,경제,0.6355687975883484,1
시합,전투,0.572508692741394,1
실패,후회,0.6084508299827576,2
싸움,전투,0.6696678996086121,2
아내,가족,0.582758903503418,1
악당,좀비,0.6801067590713501,2
애정,사랑,0.719462513923645,1
액션,액션,1,27
액션물,스릴러,0.6431871652603149,1
여부,의심,0.5392217040061951,1
여친,군대,0.6060096025466919,2
여행,여행,1,1
역사,철학,0.6869469285011292,1
연출,액션,0.5377380847930908,12
연출력,액션,0.515964686870575,1
영화,만화,0.7536719441413879,53
영화사,드라마,0.5089171528816223,1
예고편,드라마,0.5787103772163391,4
예상,기대,0.655988872051239,1
완치,질병,0.5457648634910583,1
욕망,욕망,1,1
용역,수색,0.5119978189468384,2
원고,고문,0.537358820438385,1
위기,혼란,0.6975850462913513,3
위험,불안,0.6922099590301514,3
은퇴,미래,0.5451258420944214,1
음악,음악,1,1
의외,충격,0.5524848699569702,1
이자,경제,0.5216480493545532,1
이해,철학,0.5395932197570801,2
인물,정치,0.5848035216331482,1
인부,살인,0.510659396648407,3
인상,기대,0.6044384241104126,1
일당,해적,0.5479298233985901,8
일자리,희망,0.5018449425697327,1
자괴감,죄책감,0.6624240875244141,2
자녀,가족,0.7003896832466125,2
작곡가,음악,0.5401633381843567,1
작업,수색,0.6102691888809204,5
장르,음악,0.7329081892967224,5
장면,액션,0.5999083518981934,1
장소,여행,0.6031988263130188,1
재미,모험,0.6051297187805176,1
재소자,범죄,0.5667872428894043,1
저항,저항,1,1
적수,추격,0.5577831268310547,1
전통,음식,0.6568764448165894,1
전화,대화,0.5852361917495728,2
절망,절망,1,5
절제,욕망,0.5824708938598633,1
정보,교통,0.6121577620506287,17
정찰,수색,0.6751967668533325,1
제작,방송,0.6307950615882874,4
제작국,방송,0.6784050464630127,1
제한,상실,0.636760413646698,1
조롱,분노,0.6739668846130371,1
조작,범죄,0.5801150798797607,1
조직,군대,0.5703792572021484,8
주먹,도둑,0.5742208957672119,1
죽음,고독,0.6896678805351257,1
줄거리,드라마,0.531794548034668,15
중무장,전투,0.5450834631919861,1
직업,교육,0.6447048187255859,1
진입,추격,0.5556859374046326,1
진출작,언더독,0.5528660416603088,1
질투,욕망,0.6958162188529968,1
차별,평등,0.7053220272064209,1
착각,후회,0.5621350407600403,1
참여,기대,0.5516729950904846,2
창틀,환경,0.5075949430465698,1
