Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가족,가족,1,2
가죽,동물,0.6331756114959717,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,4
감정,심리,0.7588332891464233,3
감탄,열정,0.5392419099807739,1
감회,유쾌,0.5907583236694336,1
개발자,컴퓨터,0.5119759440422058,1
개방,교육,0.5870132446289062,2
객체,환경,0.5753198862075806,1
거대,괴물,0.5640032887458801,2
거리,도시,0.60332190990448,2
걱정,후회,0.651527464389801,2
건물,학교,0.6180571913719177,30
건축,미술,0.7201681733131409,72
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,14
경험,열정,0.6344258189201355,8
계단,괴담,0.5106033086776733,3
계획,여행,0.6060113906860352,1
고급,음식,0.5831040740013123,1
고뇌,고독,0.6679061055183411,1
고등학교,학교,0.6346824765205383,1
고전,미술,0.6437533497810364,1
고통,고통,1,1
공공건물,학교,0.5012905597686768,1
공동체,시민운동,0.5667669773101807,2
공연,음악,0.7031762599945068,3
과시,열정,0.509526789188385,1
과정,교육,0.6268183588981628,3
관람,여행,0.5587009191513062,3
관습,종교,0.6429370641708374,1
관심,기대,0.6249675154685974,11
광고,방송,0.6559303998947144,1
교감,대화,0.5680186152458191,1
교류,대화,0.6140486598014832,2
교수,윤리,0.563416063785553,1
교육,교육,1,1
교육학,교육,0.5450170040130615,2
교회,종교,0.6748078465461731,5
구비,여행,0.5192386507987976,1
구입,여행,0.5183897018432617,1
구조,환경,0.6101574897766113,3
국가,경제,0.7089344263076782,1
권위주의,독재,0.6279439926147461,1
균형,질서,0.6706463098526001,7
그늘,바다,0.6106565594673157,1
극치,충격,0.5205199122428894,1
기대,기대,1,1
기분,유쾌,0.6678951382637024,2
기색,유쾌,0.599235475063324,1
기억,사랑,0.6537694931030273,6
꽃밭,꿈,0.6128173470497131,1
날씨,환경,0.6094790697097778,1
남녀,평등,0.5715689063072205,1
내면,내면,1,1
내밀,내면,0.5048536658287048,1
내역,여행,0.5270281434059143,1
노동자,시민운동,0.5217600464820862,2
노래,춤,0.7242721915245056,3
