Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,1
가족,가족,1,1
간통죄,사회문제,0.536493182182312,1
감상,음악,0.6411212086677551,2
개그,개그,1,2
개성,자아,0.5115846395492554,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,2
거울,용기,0.5582752227783203,1
건축,미술,0.7201681733131409,1
검색,여행,0.6249870657920837,1
결여,상실,0.6932352781295776,1
경험,열정,0.6344258189201355,1
고향,시골,0.6128569841384888,1
공통,환경,0.583020031452179,1
관람,여행,0.5587009191513062,4
관습,종교,0.6429370641708374,1
관장,고문,0.5125513076782227,4
괴리,갈등,0.6599999666213989,1
국가,경제,0.7089344263076782,2
국어,과학,0.6368488669395447,1
극단,미술,0.5709163546562195,1
기대,기대,1,5
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,1
기차,교통,0.6118013858795166,1
기타,음악,0.5873071551322937,1
깨알,개그,0.5848792195320129,1
난무,괴담,0.5966172814369202,1
남자,사랑,0.5456969141960144,1
노력,헌신,0.6555296182632446,2
노릇,도둑,0.5450313091278076,1
녹음,음악,0.6460626721382141,2
다찌마와,드라마,0.5122137069702148,8
담배,음식,0.6096588969230652,1
당혹,분노,0.5576525330543518,1
대결,갈등,0.5924415588378906,1
댓글,후회,0.505795419216156,1
데뷔작,드라마,0.5683770775794983,2
도착,여행,0.6466491222381592,1
독창,춤,0.6945516467094421,4
동물,동물,1,1
마음,기쁨,0.6783162951469421,3
만족,기대,0.6570032238960266,1
맥락,질서,0.601793110370636,1
먹거리,음식,0.5923094749450684,1
멸치,바다,0.5648692846298218,1
명절,음식,0.602050244808197,3
모션,액션,0.6868695020675659,2
모습,꿈,0.5368646383285522,2
모험,모험,1,1
문제,갈등,0.6495088934898376,1
미래,미래,1,1
반칙왕,언더독,0.5819301009178162,1
발견,발견,1,1
방문,여행,0.5841829180717468,1
배반,배신,0.7225366234779358,1
배신,배신,1,1
배치,수색,0.5295758843421936,3
범죄,범죄,1,1
변사,살인,0.599687397480011,1
블루스,뮤지컬,0.568301796913147,1
비하,폭력,0.5519798398017883,1
사건,살인,0.7159186005592346,2
사람,꿈,0.5610076785087585,1
사랑,사랑,1,2
살쾡이,동물,0.5653473734855652,1
상영,방송,0.6350025534629822,1
상황,혼란,0.6442916989326477,1
생각,후회,0.6602693200111389,3
세입자,가족,0.50287264585495,1
소통,대화,0.694833517074585,1
스틸,액션,0.5995299220085144,2
시작,발견,0.534450113773346,4
신경,질병,0.5199351906776428,1
신작,만화,0.6367781758308411,1
실력,춤,0.5194166302680969,1
실수,후회,0.5709443092346191,1
실패,후회,0.6084508299827576,1
악인,배신,0.5918014645576477,1
액션,액션,1,9
약사,꿈,0.545041561126709,1
에세이,로맨스,0.5119443535804749,1
여행,여행,1,1
연출,액션,0.5377380847930908,4
영화,만화,0.7536719441413879,54
예고편,드라마,0.5787103772163391,2
예상,기대,0.655988872051239,4
울음,슬픔,0.669041633605957,1
웃음,개그,0.6434062123298645,3
위기,혼란,0.6975850462913513,1
유머,개그,0.6961884498596191,2
유발,의심,0.6065707206726074,2
음모,음모,1,1
이웃,가족,0.6304181218147278,1
인상,기대,0.6044384241104126,1
자동차,전기,0.5792412161827087,2
자막,방송,0.6141181588172913,1
장르,음악,0.7329081892967224,2
장면,액션,0.5999083518981934,11
재미,모험,0.6051297187805176,2
재현,발견,0.5103026628494263,1
전자,전기,0.7106999754905701,1
정보,교통,0.6121577620506287,3
제작국,방송,0.6784050464630127,1
제작진,드라마,0.5286853313446045,1
주저,후회,0.5583959817886353,1
줄거리,드라마,0.531794548034668,4
쪽박,의리,0.5112577676773071,1
차별,평등,0.7053220272064209,1
착각,후회,0.5621350407600403,2
참사,재난,0.6216191649436951,1
채널,방송,0.7239679098129272,3
촬영,방송,0.6484997272491455,2
추천,여행,0.5768113136291504,3
출연,방송,0.659591019153595,4
충격,충격,1,1
케이블,방송,0.5903162360191345,1
코드,액션,0.5642611384391785,1
코미디,코미디,1,8
코믹,만화,0.7493361830711365,1
탈피,성장,0.5335842967033386,1
택견,춤,0.5640469789505005,13
특성,환경,0.650132417678833,1
패거리,부도덕,0.5944351553916931,1
패러디,코미디,0.5152478814125061,2
편안,유쾌,0.6909911036491394,1
평론가,다큐멘터리,0.5252968668937683,2
표현,대화,0.5644240975379944,2
해제,상실,0.549881100654602,1
행세,도둑,0.637003481388092,1
현장,교육,0.5853086113929749,1
혹평,분노,0.527694821357727,1
활약,성장,0.5549848675727844,2
활용,교육,0.557722270488739,3
후자,전기,0.51507967710495,2
흔적,발견,0.5892268419265747,1
히어,액션,0.5766447186470032,1

Category,Count,average
여행,7,0.6578613689967564
액션,7,0.6521359596933637
방송,7,0.649985807282584
후회,6,0.5776651501655579
기대,5,0.7084105372428894
드라마,5,0.543956208229065
개그,4,0.7311184704303741
발견,4,0.6584949046373367
음악,4,0.6518498063087463
배신,3,0.7714460293451945
만화,3,0.7132621010144552
가족,3,0.7110969225565592
갈등,3,0.6339834729830424
전기,3,0.6016736229260763
음식,3,0.6013395388921102
춤,3,0.5926717519760132
꿈,3,0.54763795932134
모험,2,0.8025648593902588
동물,2,0.7826736867427826
사랑,2,0.7728484570980072
코미디,2,0.757623940706253
유쾌,2,0.6794431209564209
혼란,2,0.6709383726119995
살인,2,0.6578029990196228
미술,2,0.6455422639846802
대화,2,0.6296288073062897
상실,2,0.6215581893920898
환경,2,0.616576224565506
교통,2,0.6119795739650726
도둑,2,0.5910173952579498
교육,2,0.5715154409408569
성장,2,0.5442845821380615
분노,2,0.5426736772060394
미래,1,1.0
범죄,1,1.0
음모,1,1.0
충격,1,1.0
경제,1,0.7089344263076782
평등,1,0.7053220272064209
기쁨,1,0.6783162951469421
슬픔,1,0.669041633605957
헌신,1,0.6555296182632446
종교,1,0.6429370641708374
과학,1,0.6368488669395447
열정,1,0.6344258189201355
재난,1,0.6216191649436951
시골,1,0.6128569841384888
의심,1,0.6065707206726074
도시,1,0.60332190990448
질서,1,0.601793110370636
괴담,1,0.5966172814369202
부도덕,1,0.5944351553916931
언더독,1,0.5819301009178162
뮤지컬,1,0.568301796913147
바다,1,0.5648692846298218
괴물,1,0.5640032887458801
용기,1,0.5582752227783203
폭력,1,0.5519798398017883
사회문제,1,0.536493182182312
수색,1,0.5295758843421936
다큐멘터리,1,0.5252968668937683
질병,1,0.5199351906776428
고문,1,0.5125513076782227
로맨스,1,0.5119443535804749
자아,1,0.5115846395492554
의리,1,0.5112577676773071
