Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,5
가래,꿈,0.5453042387962341,2
가슴,상처,0.6098507642745972,2
가족,가족,1,1
갈망,욕망,0.7525596022605896,1
감내,고통,0.5415177941322327,1
감동,기쁨,0.6450744271278381,4
감량,성장,0.5365606546401978,1
감상,음악,0.6411212086677551,3
감염,질병,0.6859014630317688,18
감정,심리,0.7588332891464233,7
강박,자아,0.6491145491600037,2
강박증,무력감,0.5940862894058228,5
개봉작,드라마,0.5794780254364014,1
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,20
걱정,후회,0.651527464389801,1
검색,여행,0.6249870657920837,2
결혼,연애,0.6863196492195129,1
경고,의심,0.5979491472244263,1
경험,열정,0.6344258189201355,1
계절,이별,0.5606238842010498,2
고난,고통,0.6465856432914734,1
고마움,기쁨,0.5609286427497864,1
고통,고통,1,1
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,11
관심,기대,0.6249675154685974,2
괴로움,고통,0.6400415301322937,1
구리,전기,0.5783329010009766,1
국가,경제,0.7089344263076782,2
규칙,윤리,0.5834123492240906,2
그리움,고독,0.5979834794998169,1
극복,고통,0.6304678916931152,1
금지,도박,0.519909143447876,24
긍정,희망,0.608379602432251,2
기대,기대,1,3
기억,사랑,0.6537694931030273,2
나날,이별,0.6136053204536438,1
낙서,폭력,0.5975281000137329,1
난간,바다,0.561069130897522,3
난치병,질병,0.5316985845565796,1
날씨,환경,0.6094790697097778,2
남녀,평등,0.5715689063072205,2
남자,사랑,0.5456969141960144,11
낭비,혼란,0.5356693863868713,2
내면,내면,1,1
너머,바다,0.5151404738426208,1
노력,헌신,0.6555296182632446,2
노크,분노,0.5124804973602295,1
눈물,슬픔,0.6957001090049744,5
눈물샘,상처,0.5447229146957397,1
느낌,슬픔,0.6343626976013184,4
능력,교육,0.6137364506721497,1
당구,춤,0.5866963863372803,6
당부,희망,0.507290780544281,1
당황,충격,0.6099472045898438,3
대답,후회,0.5436964631080627,1
대처,재난,0.5325601696968079,1
댓글,후회,0.505795419216156,1
데이트,로맨스,0.5355676412582397,7
도둑,도둑,1,2
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,3
독서,철학,0.7120826244354248,1
돌발,재난,0.5403636693954468,1
동반,가족,0.6541745662689209,2
동영상,가상현실,0.5586168169975281,2
두려움,두려움,1,1
두부,음식,0.5902562141418457,1
드라마,드라마,1,10
러브,액션,0.6233081817626953,2
로맨스,로맨스,1,26
루틴,기쁨,0.5188190937042236,1
르미,액션,1,1
마음,기쁨,0.6783162951469421,8
마취,의료,0.5537869930267334,2
매력,열정,0.6489761471748352,7
메시지,대화,0.5048822164535522,1
면역,질병,0.7091259956359863,1
명령,군사,0.5395892262458801,1
모델,교육,0.5252665281295776,3
모듈,환경,0.5719544887542725,1
모순,갈등,0.6281998157501221,1
모습,꿈,0.5368646383285522,19
문자,대화,0.5297391414642334,5
문제,갈등,0.6495088934898376,1
물건,인형,0.6116355657577515,2
미래,미래,1,1
미션,액션,0.6060617566108704,1
바이러스,질병,0.5053297281265259,1
반응,충격,0.5951288342475891,2
반의,학교,0.5065128803253174,1
발견,발견,1,6
발전,성장,0.7311267852783203,1
방지,충격,0.5433129668235779,1
방향,미래,0.5546501278877258,4
배급사,드라마,0.5019193887710571,1
병실,가족,0.550695538520813,11
부정,폭력,0.6489901542663574,1
분야,과학,0.6800429821014404,1
분출,충격,0.5524009466171265,1
불량,도둑,0.5827792882919312,1
불빛,꿈,0.5932316780090332,7
불안,불안,1,2
불치병,질병,0.633149266242981,3
불평,분노,0.607698917388916,1
불행,절망,0.6734789609909058,2
비관,불안,0.7107456922531128,1
빙판,설원,0.6806506514549255,2
사건,살인,0.7159186005592346,1
사고,의심,0.5630502700805664,6
사람,꿈,0.5610076785087585,49
사랑,사랑,1,48
사진,미술,0.5546669960021973,3
사치,욕망,0.5516767501831055,1
삭제,의심,0.5076044797897339,1
상상,욕망,0.6180667877197266,2
상실,상실,1,1
상영,방송,0.6350025534629822,2
상처,상처,1,2
상황,혼란,0.6442916989326477,6
새드,액션,0.6351451277732849,1
생각,후회,0.6602693200111389,32
생성,발견,0.5995927453041077,1
생활,환경,0.7009555697441101,5
선물,사랑,0.605575680732727,5
선택,희망,0.5827092528343201,4
설득,대화,0.5834951996803284,2
섬유,전기,0.6376133561134338,1
성공,성장,0.6859850287437439,9
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,3
세포,동물,0.5726385116577148,2
소설,만화,0.8215566873550415,5
소설책,만화,0.580799400806427,1
소통,대화,0.694833517074585,3
손길,기쁨,0.5999132990837097,5
수다,대화,0.5187240242958069,1
수락,대화,0.551040768623352,1
수술,상처,0.585891604423523,12
수행,성장,0.5646498799324036,1
술방,액션,1,1
스킨쉽,연애,0.600291907787323,1
스킨십,연애,0.5839765071868896,8
스프,음식,0.6414146423339844,1
슬픔,슬픔,1,2
시사,정치,0.7213011980056763,1
시작,발견,0.534450113773346,6
시험,교육,0.6255394220352173,2
식당,음식,0.6759225726127625,2
신경,질병,0.5199351906776428,4
신약,질병,0.5712383389472961,3
신체,자아,0.5770981311798096,2
실수,후회,0.5709443092346191,1
실험,과학,0.6881481409072876,6
심정,슬픔,0.5811508297920227,1
아들,가족,0.5667959451675415,1
악수,대화,0.5958215594291687,1
악화,혼란,0.6455839276313782,2
안심,희망,0.5662862062454224,1
애비,유령,0.5263656377792358,2
애석,슬픔,0.5296512842178345,1
애인,연애,0.6649367809295654,1
