Word,Category,Similarity,Frequency
"""미",액션,1,3
가슴,상처,0.6098507642745972,1
가족,가족,1,4
가출,살인,0.6332151889801025,2
갈등,갈등,1,3
갈망,욕망,0.7525596022605896,1
감동,기쁨,0.6450744271278381,4
감상,음악,0.6411212086677551,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,4
감지,발견,0.5597200989723206,1
감탄,열정,0.5392419099807739,1
개그,개그,1,1
개입,음모,0.5886576175689697,1
결혼,연애,0.6863196492195129,1
경쟁,갈등,0.6576756238937378,2
경험,열정,0.6344258189201355,2
고역,유쾌,0.5427601933479309,1
고통,고통,1,1
공권력,폭력,0.5053700804710388,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,5
관통,충격,0.5143977403640747,1
괴사,질병,0.5930939316749573,1
구실,권력,0.5587243437767029,5
국가,경제,0.7089344263076782,3
국면,혼란,0.6054715514183044,1
군자,평등,0.5928125381469727,1
규칙,윤리,0.5834123492240906,1
극복,고통,0.6304678916931152,1
긍정,희망,0.608379602432251,2
기대,기대,1,3
기대감,기대,0.6246221661567688,1
기억,사랑,0.6537694931030273,3
남자,사랑,0.5456969141960144,14
냉전,전쟁,0.6666041016578674,1
노력,헌신,0.6555296182632446,1
농담,개그,0.6088651418685913,1
느낌,슬픔,0.6343626976013184,2
능력,교육,0.6137364506721497,2
단계,성장,0.6726707220077515,2
데뷔작,드라마,0.5683770775794983,1
도배,폭력,0.5458524823188782,1
독감,질병,0.6860353946685791,1
독특,춤,0.5334261655807495,3
두려움,두려움,1,1
뒷심,기대,0.6039924025535583,2
로켓,우주,0.6648953557014465,1
마음,기쁨,0.6783162951469421,1
마찰,갈등,0.6304974555969238,2
만화,만화,1,1
만화가,만화,0.6279064416885376,1
메일,만화,0.5050849914550781,1
명작,만화,0.6867616772651672,1
모녀,가족,0.6818090677261353,1
모독,분노,0.6484084725379944,1
모습,꿈,0.5368646383285522,4
모임,가족,0.6203815937042236,1
모집,교육,0.5132797956466675,1
목격,발견,0.6813858151435852,1
목표,성장,0.6552416682243347,1
몰두,열정,0.5224281549453735,2
문자,대화,0.5297391414642334,1
문제,갈등,0.6495088934898376,1
물리,과학,0.7363146543502808,1
물음,절망,0.5957352519035339,1
반성,후회,0.62535560131073,1
발견,발견,1,2
발달,성장,0.7021803855895996,2
발사,전투,0.5510220527648926,1
발상,철학,0.5057413578033447,1
발생,혼란,0.6102904081344604,2
배급,교육,0.5531435608863831,1
변명,욕망,0.5581992864608765,1
보도,방송,0.6695681214332581,1
복귀,생존,0.5351816415786743,1
본능,욕망,0.7253124713897705,1
본체,인형,0.5343666076660156,1
볼모,권력,0.5622442364692688,1
부모,가족,0.6875284910202026,7
부인,가족,0.5428288578987122,1
불안,불안,1,7
불알,만화,0.5719913244247437,1
비서,탐정,0.5611511468887329,1
빈약,기대,0.5086852312088013,1
사건,살인,0.7159186005592346,2
사고,의심,0.5630502700805664,1
사람,꿈,0.5610076785087585,13
사진,미술,0.5546669960021973,1
상대,추격,0.558393657207489,1
상상,욕망,0.6180667877197266,2
상영,방송,0.6350025534629822,1
상처,상처,1,2
상황,혼란,0.6442916989326477,4
생각,후회,0.6602693200111389,8
생물,동물,0.7907639741897583,2
생물체,외계인,0.5734102129936218,1
생포,전투,0.5765562653541565,1
섭취,음식,0.652732789516449,1
성공,성장,0.6859850287437439,5
성욕,자아,0.6981085538864136,1
성장,성장,1,3
세간,자아,0.5878546237945557,1
세상,기쁨,0.6082786321640015,3
스트레스,무력감,0.6226179003715515,1
스틸,액션,0.5995299220085144,4
습성,욕망,0.5178412199020386,1
시골,시골,1,3
시작,발견,0.534450113773346,9
시청각,교육,0.5926939845085144,1
신작,만화,0.6367781758308411,3
실종,살인,0.5558342933654785,1
실패,후회,0.6084508299827576,1
심리,심리,1,2
아내,가족,0.582758903503418,3
안내,여행,0.6065822839736938,2
애정,사랑,0.719462513923645,2
어플,음악,0.5505043864250183,2
엄마,사랑,0.5908297300338745,1
여자,사랑,0.5380519032478333,2
여정,이별,0.6358245611190796,5
여행,여행,1,1
역작,신화,0.5316155552864075,1
영양분,음식,0.535305380821228,1
영화,만화,0.7536719441413879,44
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,9
예상,기대,0.655988872051239,1
오줌,음식,0.5422150492668152,1
외면,고통,0.6066063046455383,1
욕구,욕망,0.741037905216217,1
욕망,욕망,1,2
웃음,개그,0.6434062123298645,7
웃픈,유쾌,0.5902605056762695,1
원고,고문,0.537358820438385,1
웹툰,만화,0.7226575613021851,3
유머,개그,0.6961884498596191,1
유발,의심,0.6065707206726074,1
의절,배신,0.5288408398628235,1
이름,신화,0.5608668327331543,2
이별,이별,1,1
이사,고문,0.5024828314781189,2
이혼,이별,0.6634467244148254,1
인기,여행,0.6119158267974854,1
인터넷,컴퓨터,0.609046220779419,2
인터뷰,다큐멘터리,0.5540832281112671,1
일상,유쾌,0.5978867411613464,1
자아,자아,1,8
자연,환경,0.6941760182380676,1
장르,음악,0.7329081892967224,3
장면,액션,0.5999083518981934,3
장소,여행,0.6031988263130188,1
재미,모험,0.6051297187805176,2
저급,개그,0.5148755311965942,1
저질,개그,0.5792772173881531,1
적대,갈등,0.654803991317749,1
적대감,분노,0.6684156060218811,2
적응,환경,0.6063060760498047,1
정보,교통,0.6121577620506287,12
제한,상실,0.636760413646698,5
줄거리,드라마,0.531794548034668,6
증상,불안,0.6615432500839233,1
진단,교육,0.6528812050819397,2
진입,추격,0.5556859374046326,1
