Word,Category,Similarity,Frequency
가공,농업,0.5658583641052246,4
가능,여행,0.6136982440948486,3
가상,우주,0.619330644607544,18
가족,가족,1,1
가치,윤리,0.6346501111984253,8
간접,교육,0.5171768665313721,2
간호,교육,0.6981058716773987,3
갈망,욕망,0.7525596022605896,1
갈채,절망,0.6354461908340454,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,6
감상문,뮤지컬,0.5310428738594055,2
감성,심리,0.6301533579826355,1
감옥,감옥,1,11
감정,심리,0.7588332891464233,1
감탄,열정,0.5392419099807739,1
개봉작,드라마,0.5794780254364014,2
개성,자아,0.5115846395492554,2
개입,음모,0.5886576175689697,1
거리,도시,0.60332190990448,7
거주,도시,0.6213511228561401,1
건물,학교,0.6180571913719177,7
검색,여행,0.6249870657920837,1
게으름,무력감,0.558092474937439,1
게임,만화,0.7299426198005676,1
결제,여행,0.5954683423042297,1
경고,의심,0.5979491472244263,1
경쟁,갈등,0.6576756238937378,1
경험,열정,0.6344258189201355,4
계단,괴담,0.5106033086776733,1
고급,음식,0.5831040740013123,1
고독,고독,1,2
고등학교,학교,0.6346824765205383,2
고문,고문,1,1
고심,기대,0.5159546732902527,1
고전,미술,0.6437533497810364,2
고향,시골,0.6128569841384888,1
공격,전투,0.6404148936271667,1
공동,대화,0.5171006321907043,1
공동체,시민운동,0.5667669773101807,1
공방,미술,0.5317274332046509,1
공부,교육,0.6627280712127686,2
공약,미래,0.5432408452033997,2
공예,미술,0.7912819981575012,1
과정,교육,0.6268183588981628,10
관람,여행,0.5587009191513062,10
관심,기대,0.6249675154685974,1
광고,방송,0.6559303998947144,2
괴력,마법,0.5919566750526428,1
교도소,감옥,0.6448109149932861,4
교육,교육,1,1
교정,교육,0.6010701060295105,1
구간,교통,0.5263970494270325,1
구강,음식,0.5946047306060791,1
구매,여행,0.5682201981544495,1
구석,철학,0.5159526467323303,2
구조,환경,0.6101574897766113,4
국가,경제,0.7089344263076782,3
국어,과학,0.6368488669395447,1
규칙,윤리,0.5834123492240906,1
극악,좀비,0.5708756446838379,1
금지,도박,0.519909143447876,4
급진,정치,0.6808769106864929,1
기대,기대,1,3
기분,유쾌,0.6678951382637024,2
기생충,흡혈귀,0.5087416172027588,3
기숙사,학교,0.5904747843742371,3
기억,사랑,0.6537694931030273,12
기질,욕망,0.6052412986755371,1
김치,음식,0.7045021653175354,1
까메오,드라마,0.5299371480941772,1
꼬꼬,정글,0.5388485789299011,1
나래이션,드라마,0.6447246074676514,2
나레이션,드라마,0.5498647689819336,1
날씨,환경,0.6094790697097778,1
남색,폭력,0.5826888084411621,1
남자,사랑,0.5456969141960144,2
납치,살인,0.6689104437828064,9
내레이션,다큐멘터리,0.5530755519866943,1
내역,여행,0.5270281434059143,2
냄새,음식,0.5817655324935913,4
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,5
노인,가족,0.6170642375946045,1
노출,충격,0.60725998878479,2
논문,과학,0.5451151728630066,1
놀라움,기쁨,0.5606492757797241,1
농장,농업,0.6616603136062622,1
누드,폭력,0.5381184220314026,6
누명,살인,0.5723448395729065,1
누이,가족,0.5941245555877686,1
눈물,슬픔,0.6957001090049744,3
뉴스,방송,0.70646071434021,2
뉴요커,탐정,0.5065152645111084,5
느낌,슬픔,0.6343626976013184,28
느므,유쾌,0.5683444738388062,1
능력,교육,0.6137364506721497,1
단체,종교,0.635517418384552,2
답사,여행,0.5787333250045776,1
당일,여행,0.5352691411972046,1
당황,충격,0.6099472045898438,1
대답,후회,0.5436964631080627,1
대목,꿈,0.5127710700035095,1
대여,여행,0.6416856050491333,1
대포,군대,0.5467542409896851,1
더포,액션,0.5033334493637085,1
덕질,개그,0.610794723033905,1
덧글,만화,0.5002226233482361,1
데모,전투,0.5268520712852478,1
데뷔작,드라마,0.5683770775794983,1
도서관,학교,0.5833439230918884,2
도시,도시,1,40
도착,여행,0.6466491222381592,1
독백,고독,0.6572872996330261,1
독창,춤,0.6945516467094421,2
독특,춤,0.5334261655807495,21
독학,철학,0.558799147605896,1
돌발,재난,0.5403636693954468,1
동영상,가상현실,0.5586168169975281,1
동화책,만화,0.5084381103515625,2
드라마,드라마,1,5
따봉,유쾌,0.5427736043930054,1
러브,액션,0.6233081817626953,1
러브레터,드라마,0.6174168586730957,7
러프,정글,0.5860244631767273,1
로맨스,로맨스,1,4
로맨틱,로맨스,0.6721806526184082,1
리더,성장,0.5860862135887146,2
리포터,드라마,0.5692278742790222,1
마비,혼란,0.6122421026229858,3
마음,기쁨,0.6783162951469421,11
만족,기대,0.6570032238960266,2
만화,만화,1,7
말장난,개그,0.590356707572937,1
매거진,드라마,0.5009645223617554,19
매력,열정,0.6489761471748352,17
매매,도박,0.5757066011428833,1
매체,방송,0.6981302499771118,5
매춘,범죄,0.68752121925354,1
매치,액션,0.5586719512939453,1
멍청이,배신,0.5021394491195679,1
메시지,대화,0.5048822164535522,1
멘트,개그,0.5644389390945435,1
명단,동정,0.5356495976448059,1
명작,만화,0.6867616772651672,1
명절,음식,0.602050244808197,1
모델,교육,0.5252665281295776,3
모습,꿈,0.5368646383285522,14
모험,모험,1,1
몰입,열정,0.6674494743347168,2
무단,폭력,0.5057473182678223,1
무죄,용서,0.5991327166557312,1
문제,갈등,0.6495088934898376,4
문필가,미술,0.5179922580718994,1
뭥미,좀비,0.5176543593406677,1
뮤지컬,뮤지컬,1,1
미니어처,인형,0.5381699204444885,2
미니어쳐,인형,0.5293566584587097,1
미래,미래,1,2
미술가,미술,0.5302937626838684,1
미술관,미술,0.5254696607589722,2
미장,미술,0.5102778077125549,1
미치광이,음모론,0.532588005065918,1
믹스,음악,0.5708146095275879,1
반말,폭력,0.5853083729743958,1
반발,저항,0.5964624285697937,1
반응,충격,0.5951288342475891,1
발견,발견,1,3
발굴,발견,0.5881547927856445,1
발상,철학,0.5057413578033447,1
발행,만화,0.5132414698600769,19
발휘,기대,0.5250481367111206,1
방구석,개그,0.5950741171836853,1
방문,여행,0.5841829180717468,3
방심,후회,0.613030731678009,1
방정,유쾌,0.5792012214660645,1
방학,학교,0.627612829208374,1
방향,미래,0.5546501278877258,2
배급,교육,0.5531435608863831,1
배려,헌신,0.6277512907981873,1
백신,의료,0.5905396342277527,1
밴드,음악,0.5989826321601868,1
뱃지,인형,0.5093172788619995,1
버스,교통,0.730898916721344,2
범죄,범죄,1,1
범죄자,범죄,0.5728323459625244,1
