Word,Category,Similarity,Frequency
ᄒᄒ,액션,1,1
가게,여행,0.5113754868507385,1
가공,농업,0.5658583641052246,1
가능,여행,0.6136982440948486,1
가슴,상처,0.6098507642745972,4
가입,희망,0.5199176073074341,1
가치,윤리,0.6346501111984253,1
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,5
감정,심리,0.7588332891464233,8
거리,도시,0.60332190990448,1
걱정,후회,0.651527464389801,2
검색,여행,0.6249870657920837,1
게재,만화,0.5185191035270691,1
결승,방송,0.5236272811889648,2
계획,여행,0.6060113906860352,1
고등,과학,0.6939653754234314,1
고딩,학교,0.5499685406684875,1
고향,시골,0.6128569841384888,1
공방,미술,0.5317274332046509,1
공부,교육,0.6627280712127686,1
관람,여행,0.5587009191513062,5
광고,방송,0.6559303998947144,1
괴로움,고통,0.6400415301322937,5
교육,교육,1,1
구매,여행,0.5682201981544495,1
구멍,상처,0.5373755693435669,1
구입,여행,0.5183897018432617,1
국가,경제,0.7089344263076782,2
굿즈,인형,0.614889919757843,2
그림자,유령,0.5297560691833496,2
극복,고통,0.6304678916931152,1
극장판,드라마,0.5479550361633301,23
극한,생존,0.5677410364151001,1
근처,학교,0.5683311223983765,1
금단,고독,0.6066370010375977,1
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,2
기대,기대,1,8
기분,유쾌,0.6678951382637024,6
기븐,좀비,0.5137075781822205,1
기쁨,기쁨,1,2
기억,사랑,0.6537694931030273,2
기획,교육,0.625312864780426,1
남친,연애,0.6194848418235779,1
냉연,전기,0.5840552449226379,5
노래,춤,0.7242721915245056,5
농구,개그,0.6286988854408264,1
눈물,슬픔,0.6957001090049744,9
느낌,슬픔,0.6343626976013184,7
단체,종교,0.635517418384552,1
단편,만화,0.737099826335907,1
당황,충격,0.6099472045898438,2
대답,후회,0.5436964631080627,1
대립,갈등,0.8246769905090332,5
대여,여행,0.6416856050491333,1
덕질,개그,0.610794723033905,1
데뷔,방송,0.5465471744537354,1
도착,여행,0.6466491222381592,1
두께,용기,0.5268527269363403,1
두려움,두려움,1,2
듣기,음악,0.5054129362106323,1
등짝,도둑,0.5372259020805359,1
랜덤,좀비,0.5619427561759949,8
마음,기쁨,0.6783162951469421,24
만족,기대,0.6570032238960266,1
만화,만화,1,4
말다툼,대화,0.5000229477882385,1
매력,열정,0.6489761471748352,2
매주,방송,0.5364741086959839,1
멘트,개그,0.5644389390945435,1
면모,자아,0.5388920903205872,1
명장면,코미디,0.5314233899116516,1
모브,액션,0.5878013372421265,1
모습,꿈,0.5368646383285522,5
몰두,열정,0.5224281549453735,5
몰입,열정,0.6674494743347168,3
무단,폭력,0.5057473182678223,1
미래,미래,1,5
바이러스,질병,0.5053297281265259,1
발라드,뮤지컬,0.5522355437278748,1
발주,여행,0.5321161150932312,1
방문,여행,0.5841829180717468,2
방영,방송,0.7201281189918518,2
방화,살인,0.6544957160949707,1
배포,교육,0.5816227197647095,1
별관,괴담,0.5410023331642151,2
보드,액션,0.6568782329559326,5
복제,동물,0.5838690400123596,1
본사,학교,0.5560317039489746,1
볼륨,액션,0.6039969325065613,1
볼링,액션,0.585288405418396,1
부적,꿈,0.5368970036506653,1
불륜,연애,0.7070099711418152,1
빙의,마법,0.5283884406089783,1
사건,살인,0.7159186005592346,1
사람,꿈,0.5610076785087585,15
사랑,사랑,1,4
사운드,음악,0.5262696146965027,1
사진,미술,0.5546669960021973,9
사촌,가족,0.594305157661438,1
상영,방송,0.6350025534629822,4
상처,상처,1,3
상황,혼란,0.6442916989326477,1
새끼,동물,0.6447408199310303,1
색지,인형,0.5835255980491638,1
생각,후회,0.6602693200111389,25
생활,환경,0.7009555697441101,1
서머,정글,0.6205365061759949,1
서사,신화,0.6202012896537781,1
선택,희망,0.5827092528343201,5
성공,성장,0.6859850287437439,2
성장,성장,1,5
세계,경제,0.6071235537528992,8
세트,인형,0.564244270324707,1
소설,만화,0.8215566873550415,5
소스,음식,0.5714806914329529,1
소외,고통,0.6188626289367676,1
손끝,고독,0.537104606628418,1
스틸,액션,0.5995299220085144,2
스파이,드라마,0.5523907542228699,1
스푼,개그,0.5391286015510559,4
시리즈,만화,0.5106303691864014,8
시작,발견,0.534450113773346,14
시즌,방송,0.5284544229507446,2
시험,교육,0.6255394220352173,1
신경,질병,0.5199351906776428,2
신비,기쁨,0.6222472786903381,1
실감,기대,0.5343434810638428,1
실물,인형,0.5859706997871399,1
