Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,4
가능,여행,0.6136982440948486,6
가슴,상처,0.6098507642745972,2
가입,희망,0.5199176073074341,1
가정,가족,0.7013463377952576,1
가치,윤리,0.6346501111984253,4
각하,용서,0.5578683018684387,3
간섭,권력,0.5510541796684265,1
갈등,갈등,1,3
감기,질병,0.6120592355728149,1
감동,기쁨,0.6450744271278381,13
감상,음악,0.6411212086677551,6
감성,심리,0.6301533579826355,8
감옥,감옥,1,1
감정,심리,0.7588332891464233,4
감탄,열정,0.5392419099807739,2
거리,도시,0.60332190990448,1
거액,도박,0.5036361217498779,1
거짓,범죄,0.5651490092277527,1
거짓말,부도덕,0.5334540605545044,2
검색,여행,0.6249870657920837,1
게임,만화,0.7299426198005676,1
결단,용서,0.5725662112236023,2
결점,상처,0.5049402117729187,1
겸임,고문,0.5054988861083984,1
경제,경제,1,3
계절,이별,0.5606238842010498,1
고난,고통,0.6465856432914734,2
고생,고통,0.5584161281585693,1
고위직,군대,0.5437256693840027,1
골목,괴담,0.5829960107803345,2
과시,열정,0.509526789188385,1
과욕,배신,0.6244707703590393,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,2
관심,기대,0.6249675154685974,1
관여,기대,0.5187691450119019,1
교수,윤리,0.563416063785553,1
교육,교육,1,1
교훈,희망,0.596325695514679,1
구설수,갈등,0.509760856628418,1
구절,윤리,0.5378264784812927,1
국가,경제,0.7089344263076782,5
국력,경제,0.6160105466842651,1
국방,군사,0.7396765351295471,2
국악,음악,0.7068697214126587,1
국어,과학,0.6368488669395447,1
군부,독재,0.7003925442695618,2
군사,군사,1,1
군인,군대,0.6802380084991455,1
권력,권력,1,1
권력자,권력,0.6178524494171143,1
균형,질서,0.6706463098526001,2
극화,만화,0.6491627097129822,1
글로벌,가상현실,0.526810348033905,1
글씨,꿈,0.5032174587249756,3
금지,도박,0.519909143447876,1
긍정,희망,0.608379602432251,1
기억,사랑,0.6537694931030273,2
기피,불안,0.5681508779525757,1
