Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,2
가난,고통,0.7040712237358093,1
가능,여행,0.6136982440948486,20
가부장,권력,0.5734140872955322,1
가슴,상처,0.6098507642745972,2
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,2
가족,가족,1,4
가죽,동물,0.6331756114959717,1
가치,윤리,0.6346501111984253,4
갈등,갈등,1,9
감동,기쁨,0.6450744271278381,43
감미,음식,0.5325547456741333,5
감상,음악,0.6411212086677551,19
감성,심리,0.6301533579826355,6
감정,심리,0.7588332891464233,23
감탄,열정,0.5392419099807739,1
감행,추격,0.5397303700447083,1
감흥,슬픔,0.63573157787323,1
갑판,해양,0.5313107967376709,3
개념,교육,0.6287856698036194,1
거대,괴물,0.5640032887458801,2
거리,도시,0.60332190990448,1
거만,유쾌,0.5570982694625854,1
거장,미술,0.5483318567276001,5
걱정,후회,0.651527464389801,3
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,9
검토,여행,0.5617150664329529,1
격동,전쟁,0.5738618969917297,1
격정,분노,0.6496756076812744,1
격화,갈등,0.6966278553009033,1
결단,용서,0.5725662112236023,1
결혼,연애,0.6863196492195129,2
경쟁,갈등,0.6576756238937378,2
경험,열정,0.6344258189201355,5
계단,괴담,0.5106033086776733,1
계획,여행,0.6060113906860352,1
고급,음식,0.5831040740013123,1
고뇌,고독,0.6679061055183411,1
고생,고통,0.5584161281585693,2
고통,고통,1,6
고향,시골,0.6128569841384888,2
공방,미술,0.5317274332046509,1
공부,교육,0.6627280712127686,1
공연,음악,0.7031762599945068,3
공예,미술,0.7912819981575012,2
공주,유령,0.5845017433166504,1
공포,공포,1,1
공포심,무력감,0.6654345393180847,1
과정,교육,0.6268183588981628,6
관람,여행,0.5587009191513062,15
관심,기대,0.6249675154685974,6
관악기,음악,0.5095047354698181,1
광고,방송,0.6559303998947144,1
교회,종교,0.6748078465461731,1
구석,철학,0.5159526467323303,1
구속,충격,0.5845648646354675,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,3
국적,종교,0.53299880027771,2
궁정,권력,0.5725213885307312,1
극복,고통,0.6304678916931152,4
긍정,희망,0.608379602432251,2
기기,전기,0.6136850118637085,1
기독교,종교,0.6900428533554077,1
기분,유쾌,0.6678951382637024,3
기쁨,기쁨,1,1
기생충,흡혈귀,0.5087416172027588,2
기억,사랑,0.6537694931030273,11
기타,음악,0.5873071551322937,1
꼬마,도둑,0.5964561700820923,2
나넬,액션,1,4
나인틴,드라마,0.5930987596511841,1
남녀,평등,0.5715689063072205,1
남매,가족,0.677724301815033,1
남자,사랑,0.5456969141960144,8
낭비,혼란,0.5356693863868713,1
내면,내면,1,8
너머,바다,0.5151404738426208,3
너즈,액션,1,2
넘아,액션,1,1
네버,후회,0.5632472038269043,2
노동,경제,0.6806643605232239,1
노동자,시민운동,0.5217600464820862,4
노래,춤,0.7242721915245056,2
노력,헌신,0.6555296182632446,4
노예,평등,0.6012166738510132,4
노인,가족,0.6170642375946045,3
노후,불안,0.5608594417572021,1
녹음,음악,0.6460626721382141,9
놀라움,기쁨,0.5606492757797241,1
농부,시골,0.6694933176040649,3
농업,농업,1,1
눈물,슬픔,0.6957001090049744,3
눈앞,기대,0.5104065537452698,1
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,5
능력,교육,0.6137364506721497,2
니올,액션,1,2
다큐멘터리,다큐멘터리,1,1
담배,음식,0.6096588969230652,3
답변,의심,0.5017156600952148,1
대결,갈등,0.5924415588378906,12
대답,후회,0.5436964631080627,1
대중음악,음악,0.6267694234848022,1
댓글,후회,0.505795419216156,1
데블스,미스터리,0.5027276873588562,1
도둑,도둑,1,1
도시,도시,1,10
도약,성장,0.6517202854156494,1
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,1
독일군,군대,0.5101509094238281,1
독특,춤,0.5334261655807495,1
독해,철학,0.6137232184410095,2
두려움,두려움,1,5
드라마,드라마,1,36
드레스,로맨스,0.5291532278060913,1
등록,여행,0.5735748410224915,9
디지털,컴퓨터,0.6325473189353943,1
뚱보,도둑,0.6259090900421143,1
라디오,드라마,0.6265520453453064,1
러브,액션,0.6233081817626953,2
레디,액션,0.5363824367523193,1
레스토랑,음식,0.5138179063796997,1
레슨,음악,0.6048510074615479,1
로맨스,로맨스,1,1
로맨틱,로맨스,0.6721806526184082,2
리메이크,드라마,0.5311616063117981,1
마마,괴담,0.5682917833328247,1
마술,마법,0.7452477812767029,1
마음,기쁨,0.6783162951469421,30
만연,범죄,0.6431142687797546,1
만족,기대,0.6570032238960266,7
맛깔,유쾌,0.537874162197113,1
매력,열정,0.6489761471748352,5
매몰,고통,0.5522159337997437,1
매음굴,도시,0.5428935885429382,1
매직,액션,0.5553796291351318,1
메시지,대화,0.5048822164535522,3
멘토,교육,0.5570372939109802,1
명곡,사랑,0.5801110863685608,1
명작,만화,0.6867616772651672,4
명장면,코미디,0.5314233899116516,12
모리꼬네,음악,0.5434626340866089,2
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,16
모험,모험,1,2
몰입,열정,0.6674494743347168,5
몸짓,춤,0.688373863697052,1
몽환,공포,0.573314368724823,1
무서움,불안,0.5561872124671936,1
물살,바다,0.5758533477783203,1
뮤지컬,뮤지컬,1,2
뮤직,음악,0.7402024269104004,1
미래,미래,1,2
미흡,기대,0.5619783997535706,1
민속학,미술,0.5529465675354004,1
바다,바다,1,31
바닷물,바다,0.5779070854187012,1
바리,도시,0.5150355100631714,1
바이올린,춤,0.5247064232826233,2
바지,학교,0.5488675236701965,1
