Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,7
가능,여행,0.6136982440948486,11
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,3
가정,가족,0.7013463377952576,5
가족,가족,1,11
가치,윤리,0.6346501111984253,11
가치관,자기성찰,0.5398943424224854,2
가혹,폭력,0.7184136509895325,1
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,17
감상,음악,0.6411212086677551,16
감정,심리,0.7588332891464233,12
거리,도시,0.60332190990448,4
검색,여행,0.6249870657920837,4
게임,만화,0.7299426198005676,4
격동,전쟁,0.5738618969917297,2
격차,평등,0.6109746694564819,1
결실,기쁨,0.5356451272964478,1
결혼,연애,0.6863196492195129,1
경제,경제,1,6
경험,열정,0.6344258189201355,7
계층,환경,0.5694180130958557,1
계획,여행,0.6060113906860352,1
고교,학교,0.6200820207595825,1
고급,음식,0.5831040740013123,1
고난,고통,0.6465856432914734,1
고뇌,고독,0.6679061055183411,1
고등학교,학교,0.6346824765205383,9
고립,불안,0.661411464214325,1
고생,고통,0.5584161281585693,1
공포,공포,1,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,5
관여,기대,0.5187691450119019,1
교류,대화,0.6140486598014832,1
교훈,희망,0.596325695514679,2
구조,환경,0.6101574897766113,2
군사,군사,1,5
긍정,희망,0.608379602432251,1
기력,전투,0.5499060750007629,1
기술,농업,0.6986809968948364,1
긴장,불안,0.6880083084106445,2
깡패,도둑,0.6545424461364746,7
꼬리,동물,0.517152726650238,1
낙심,고통,0.6599959135055542,1
난입,폭력,0.5554153919219971,5
남자,사랑,0.5456969141960144,6
내면,내면,1,1
노력,헌신,0.6555296182632446,10
노출,충격,0.60725998878479,1
누나,가족,0.5465071797370911,7
느낌,슬픔,0.6343626976013184,3
담합,음모,0.5824532508850098,1
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,2
독특,춤,0.5334261655807495,1
동반,가족,0.6541745662689209,1
드라마,드라마,1,26
등록,여행,0.5735748410224915,6
라이벌,자존심,0.5227869749069214,2
로맨스,로맨스,1,1
마음,기쁨,0.6783162951469421,4
만족,기대,0.6570032238960266,3
말기,멸망,0.6098299622535706,1
매체,방송,0.6981302499771118,1
메시지,대화,0.5048822164535522,11
면모,자아,0.5388920903205872,1
명작,만화,0.6867616772651672,2
모델,교육,0.5252665281295776,1
모바일,컴퓨터,0.590937614440918,3
모습,꿈,0.5368646383285522,13
모임,가족,0.6203815937042236,1
모험,모험,1,1
몰락,멸망,0.6989313364028931,6
몰입,열정,0.6674494743347168,5
문제,갈등,0.6495088934898376,18
미군,군사,0.6460919976234436,1
미안,후회,0.5432184934616089,1
반공,독재,0.6549791097640991,1
발견,발견,1,1
방문,여행,0.5841829180717468,1
방송사,방송,0.5945383906364441,1
방영,방송,0.7201281189918518,2
방학,학교,0.627612829208374,1
배려,헌신,0.6277512907981873,1
범죄,범죄,1,9
법원,법정,0.6812756061553955,1
법칙,철학,0.6116989850997925,4
변화,성장,0.7235260605812073,6
보호,환경,0.6321627497673035,1
본능,욕망,0.7253124713897705,1
본질,윤리,0.6154810786247253,1
봉변,충격,0.5667629241943359,9
분노,분노,1,8
불꽃,꿈,0.6512660980224609,1
비애,사랑,0.682440996170044,1
사건,살인,0.7159186005592346,8
사람,꿈,0.5610076785087585,13
