Word,Category,Similarity,Frequency
가공,농업,0.5658583641052246,1
가능,여행,0.6136982440948486,2
가상,우주,0.619330644607544,1
가입,희망,0.5199176073074341,1
가족,가족,1,2
간신,권력,0.5848585367202759,1
간이역,고독,0.5189313292503357,1
갈등,갈등,1,1
감동,기쁨,0.6450744271278381,6
감상,음악,0.6411212086677551,4
감염,질병,0.6859014630317688,1
감정,심리,0.7588332891464233,6
강박증,무력감,0.5940862894058228,1
개시,방송,0.6561063528060913,1
거리,도시,0.60332190990448,1
거주,도시,0.6213511228561401,1
거짓,범죄,0.5651490092277527,2
걱정,후회,0.651527464389801,2
검색,여행,0.6249870657920837,1
결격,철학,0.5244731903076172,1
경험,열정,0.6344258189201355,1
계획,여행,0.6060113906860352,3
고뇌,고독,0.6679061055183411,4
고생,고통,0.5584161281585693,1
고증,미술,0.5211591720581055,2
곤란,상실,0.6153967976570129,2
공부,교육,0.6627280712127686,2
공연,음악,0.7031762599945068,6
공통,환경,0.583020031452179,1
공포,공포,1,1
과정,교육,0.6268183588981628,1
관람,여행,0.5587009191513062,6
관심,기대,0.6249675154685974,3
광고,방송,0.6559303998947144,1
괴물,괴물,1,1
구들,전기,0.5668668746948242,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,1
군법,군대,0.5645768642425537,1
군사,군사,1,4
궁궐,도시,0.5612877607345581,2
권선징악,로맨스,0.5401951670646667,3
궤멸,전투,0.6017369031906128,1
극장판,드라마,0.5479550361633301,1
금지,도박,0.519909143447876,1
급변,혼란,0.6145709753036499,1
기대,기대,1,7
기억,사랑,0.6537694931030273,4
기차,교통,0.6118013858795166,1
기타,음악,0.5873071551322937,1
긴장,불안,0.6880083084106445,2
남매,가족,0.677724301815033,1
남편,가족,0.6233720779418945,2
납득,용서,0.5769292116165161,1
내전,전쟁,0.7661944627761841,1
노력,헌신,0.6555296182632446,3
논쟁,갈등,0.6280096769332886,1
농담,개그,0.6088651418685913,3
뉴스,방송,0.70646071434021,1
느낌,슬픔,0.6343626976013184,1
능력,교육,0.6137364506721497,1
능청,유쾌,0.6301367878913879,1
다큐,다큐멘터리,0.6907773613929749,2
다큐멘터리,다큐멘터리,1,3
달나라,시간여행,0.5979056358337402,1
당일,여행,0.5352691411972046,3
당첨,기대,0.522482693195343,1
대중문화,드라마,0.5819228887557983,1
대처,재난,0.5325601696968079,1
대첩,전쟁,0.5884426832199097,7
대포,군대,0.5467542409896851,1
댓글,후회,0.505795419216156,4
더빙,방송,0.5857229828834534,1
덕담,기쁨,0.554542601108551,1
데이트,로맨스,0.5355676412582397,1
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,1
돌진,추격,0.6224733591079712,1
동물,동물,1,1
드라마,드라마,1,5
등록,여행,0.5735748410224915,1
디지털,컴퓨터,0.6325473189353943,1
레슬러,언더독,0.6079725027084351,1
로맨스,로맨스,1,4
리더쉽,시민운동,0.5046089291572571,1
리덕스,좀비,0.5059934854507446,7
리메이크,드라마,0.5311616063117981,4
마술,마법,0.7452477812767029,1
마음,기쁨,0.6783162951469421,6
만족,기대,0.6570032238960266,4
맛집,음식,0.6337778568267822,2
망명,멸망,0.5388484001159668,2
매력,열정,0.6489761471748352,1
메뉴,음식,0.674547016620636,1
명장면,코미디,0.5314233899116516,1
모습,꿈,0.5368646383285522,9
모집,교육,0.5132797956466675,2
몰입,열정,0.6674494743347168,3
몽유병,정신병,0.6017608642578125,1
무능,불안,0.6468364000320435,1
무단,폭력,0.5057473182678223,1
문방구,도둑,0.5147252678871155,1
뮤지컬,뮤지컬,1,3
미래,미래,1,2
미혼모,사회문제,0.5584257245063782,1
바다,바다,1,10
박살,도둑,0.5136302709579468,1
반응,충격,0.5951288342475891,1
발각,살인,0.5089609622955322,1
발발,전쟁,0.7246169447898865,6
밥상,음식,0.5861541628837585,1
밥솥,전기,0.5799396634101868,1
방류,수색,0.5583265423774719,1
방문,여행,0.5841829180717468,1
방지,충격,0.5433129668235779,1
배급사,드라마,0.5019193887710571,1
배너,만화,0.5816201567649841,1
배부,교육,0.543956458568573,1
배제,상실,0.6328111886978149,1
배치,수색,0.5295758843421936,1
병사,군대,0.6129758954048157,4
보답,헌신,0.5308396816253662,1
보호,환경,0.6321627497673035,1
부가,교통,0.571665346622467,1
부각,성장,0.5576289892196655,3
부처,종교,0.5251954197883606,1
분열,혼란,0.6591632962226868,1
불륜,연애,0.7070099711418152,1
불의,마법,0.6184589266777039,4
뷔페,음식,0.6001667976379395,1
비중,성장,0.5152275562286377,3
비트,액션,0.5860874652862549,1
사건,살인,0.7159186005592346,3
사고,의심,0.5630502700805664,1
사극,드라마,0.6280291676521301,4
사람,꿈,0.5610076785087585,16
사랑,사랑,1,2
사전,교육,0.5635393261909485,1
사진,미술,0.5546669960021973,4
사천,농업,0.507091760635376,1
사항,여행,0.572464108467102,1
사헤,액션,1,1
사회,경제,0.8096231818199158,3
산소,전기,0.5702613592147827,1
살벌,유쾌,0.6861864924430847,1
살인마,살인,0.5618112683296204,1
상영,방송,0.6350025534629822,3
상황,혼란,0.6442916989326477,9
새끼,동물,0.6447408199310303,1
생각,후회,0.6602693200111389,17
생존,생존,1,1
생활,환경,0.7009555697441101,1
서사,신화,0.6202012896537781,2
서점,만화,0.6348190903663635,1
선박,해양,0.712157666683197,3
선점,성장,0.5105485916137695,1
선택,희망,0.5827092528343201,2
설득,대화,0.5834951996803284,1
성공,성장,0.6859850287437439,2
성향,심리,0.5809999704360962,1
세계,경제,0.6071235537528992,1
세상,기쁨,0.6082786321640015,2
세탁,여행,0.6244636178016663,1
섹시,액션,0.6481122970581055,1
셀카,춤,0.5901385545730591,1
소동,도둑,0.6143503189086914,1
소설,만화,0.8215566873550415,2
손상,상실,0.615441620349884,3
쇼케이스,뮤지컬,0.5350881814956665,17
수수께끼,미스터리,0.61151123046875,1
스릴러,스릴러,1,9
스파이,드라마,0.5523907542228699,3
승려,종교,0.5267084240913391,1
시작,발견,0.534450113773346,9
시청,방송,0.6024045944213867,2
신비,기쁨,0.6222472786903381,1
신통,자아,0.5541958808898926,1
실감,기대,0.5343434810638428,1
실물,인형,0.5859706997871399,1
실수,후회,0.5709443092346191,1
실화,공포,0.6056075096130371,3
심리,심리,1,1
싱글,연애,0.5561257600784302,1
싸움,전투,0.6696678996086121,5
쓰나미,재난,0.5482067465782166,1
아내,가족,0.582758903503418,1
아동,가족,0.6625723242759705,1
아들,가족,0.5667959451675415,1
