Word,Category,Similarity,Frequency
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,2
가슴,상처,0.6098507642745972,2
가정,가족,0.7013463377952576,5
가족,가족,1,16
가치,윤리,0.6346501111984253,1
간접,교육,0.5171768665313721,2
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,15
감정,심리,0.7588332891464233,6
개그,개그,1,1
개봉작,드라마,0.5794780254364014,1
개성,자아,0.5115846395492554,2
거대,괴물,0.5640032887458801,2
거울,용기,0.5582752227783203,2
거주,도시,0.6213511228561401,1
걱정,후회,0.651527464389801,1
건물,학교,0.6180571913719177,1
걷기,춤,0.5012820959091187,1
검색,여행,0.6249870657920837,1
결함,의심,0.6190357208251953,1
경고,의심,0.5979491472244263,1
경쟁,갈등,0.6576756238937378,1
경험,열정,0.6344258189201355,2
계단,괴담,0.5106033086776733,1
고독,고독,1,1
고전,미술,0.6437533497810364,2
고향,시골,0.6128569841384888,1
공복,유쾌,0.5034520030021667,9
공연,음악,0.7031762599945068,2
과정,교육,0.6268183588981628,7
관람,여행,0.5587009191513062,14
관심,기대,0.6249675154685974,2
교훈,희망,0.596325695514679,1
구석,철학,0.5159526467323303,2
구입,여행,0.5183897018432617,1
구조,환경,0.6101574897766113,1
국가,경제,0.7089344263076782,2
권장,모험,0.5027817487716675,1
극복,고통,0.6304678916931152,1
극장가,드라마,0.5290873050689697,1
금전,도박,0.6236042380332947,1
긍정,희망,0.608379602432251,18
기대,기대,1,6
기대감,기대,0.6246221661567688,1
기름,전기,0.5815778970718384,1
기분,유쾌,0.6678951382637024,3
기쁨,기쁨,1,1
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,2
기획,교육,0.625312864780426,1
긴급,재난,0.6583430171012878,1
꼬리,동물,0.517152726650238,1
낙천,여행,0.5642282962799072,2
날짜,여행,0.5524149537086487,1
남자,사랑,0.5456969141960144,29
내레이션,다큐멘터리,0.5530755519866943,2
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,1
농구,개그,0.6286988854408264,1
눈길,동정,0.5653472542762756,1
눈물,슬픔,0.6957001090049744,9
느낌,슬픔,0.6343626976013184,8
니쿠,인형,0.52447110414505,1
답변,의심,0.5017156600952148,3
대답,후회,0.5436964631080627,1
대외,경제,0.6580508947372437,1
댓글,후회,0.505795419216156,1
덕스,정글,0.5178614854812622,1
덩크,액션,0.5596431493759155,4
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,1
도착,여행,0.6466491222381592,5
독백,고독,0.6572872996330261,1
독특,춤,0.5334261655807495,3
동물,동물,1,5
동영상,가상현실,0.5586168169975281,1
드라마,드라마,1,5
등교,학교,0.5902007222175598,1
또래,가족,0.6356732845306396,1
마음,기쁨,0.6783162951469421,24
만화,만화,1,2
매력,열정,0.6489761471748352,7
먹거리,음식,0.5923094749450684,1
메모,대화,0.5669617652893066,1
메시지,대화,0.5048822164535522,3
면모,자아,0.5388920903205872,1
명작,만화,0.6867616772651672,1
모녀,가족,0.6818090677261353,23
모습,꿈,0.5368646383285522,42
모형,인형,0.5903564095497131,6
무서움,불안,0.5561872124671936,1
문제,갈등,0.6495088934898376,4
미래,미래,1,1
바다,바다,1,2
반감,분노,0.6136011481285095,1
반성,후회,0.62535560131073,1
반응,충격,0.5951288342475891,2
발견,발견,1,1
발휘,기대,0.5250481367111206,5
방과,학교,0.6060729026794434,1
방문,여행,0.5841829180717468,1
방심,후회,0.613030731678009,1
배급,교육,0.5531435608863831,1
배급사,드라마,0.5019193887710571,1
배신,배신,1,1
배타,환경,0.5706354975700378,1
변곡점,기대,0.5055808424949646,1
변수,불안,0.5909573435783386,1
변화,성장,0.7235260605812073,2
복귀,생존,0.5351816415786743,3
봄철,재난,0.5573594570159912,1
부모,가족,0.6875284910202026,4
부정,폭력,0.6489901542663574,1
북쪽,도시,0.5450892448425293,1
불행,절망,0.6734789609909058,2
브금,음악,0.6211665868759155,1
비관,불안,0.7107456922531128,1
