Word,Category,Similarity,Frequency
가계,경제,0.6456744074821472,1
가능,여행,0.6136982440948486,13
가슴,상처,0.6098507642745972,1
가입,희망,0.5199176073074341,6
가정,가족,0.7013463377952576,1
가족,가족,1,18
가죽,동물,0.6331756114959717,5
가치,윤리,0.6346501111984253,4
갈등,갈등,1,2
감동,기쁨,0.6450744271278381,29
감상,음악,0.6411212086677551,25
감색,인형,0.5128511190414429,1
감성,심리,0.6301533579826355,1
감정,심리,0.7588332891464233,5
개봉작,드라마,0.5794780254364014,1
개성,자아,0.5115846395492554,1
개장,인형,0.5074371695518494,1
거리,도시,0.60332190990448,2
거짓,범죄,0.5651490092277527,1
건물,학교,0.6180571913719177,1
검색,여행,0.6249870657920837,6
격려,동정,0.5737254619598389,2
결실,기쁨,0.5356451272964478,1
결혼,연애,0.6863196492195129,1
경쟁,갈등,0.6576756238937378,1
경제,경제,1,2
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,9
계절,이별,0.5606238842010498,4
계획,여행,0.6060113906860352,1
고객,가족,0.5992609262466431,1
고통,고통,1,2
고향,시골,0.6128569841384888,1
공부,교육,0.6627280712127686,1
공예,미술,0.7912819981575012,1
과정,교육,0.6268183588981628,2
관람,여행,0.5587009191513062,3
교류,대화,0.6140486598014832,1
교육,교육,1,1
교훈,희망,0.596325695514679,1
그림책,만화,0.5276436805725098,1
극복,고통,0.6304678916931152,4
긍정,희망,0.608379602432251,5
기분,유쾌,0.6678951382637024,2
기쁨,기쁨,1,2
기억,사랑,0.6537694931030273,4
기차,교통,0.6118013858795166,1
긴장,불안,0.6880083084106445,1
끈기,열정,0.6553615927696228,1
남자,사랑,0.5456969141960144,5
남편,가족,0.6233720779418945,10
내레이션,다큐멘터리,0.5530755519866943,2
냄새,음식,0.5817655324935913,3
노년,가족,0.5874111652374268,1
노력,헌신,0.6555296182632446,8
녹차,음식,0.6238448023796082,1
농장,농업,0.6616603136062622,1
눈물,슬픔,0.6957001090049744,4
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,9
능력,교육,0.6137364506721497,5
달콤쌉싸름한,로맨스,0.5152011513710022,1
담소,대화,0.6191774606704712,1
대답,후회,0.5436964631080627,1
도서관,학교,0.5833439230918884,1
도시,도시,1,11
도움,기대,0.5482439994812012,2
도전,열정,0.6956499814987183,2
독서,철학,0.7120826244354248,4
독특,춤,0.5334261655807495,1
돌길,설원,0.6074122786521912,1
동물,동물,1,1
동참,기대,0.5190383791923523,1
동화책,만화,0.5084381103515625,1
두려움,두려움,1,2
드라마,드라마,1,22
등록,여행,0.5735748410224915,11
로스트,미스터리,0.5039487481117249,1
리모콘,컴퓨터,0.5631677508354187,1
리틀,정글,0.6318785548210144,1
마법,마법,1,3
마음,기쁨,0.6783162951469421,33
만족,기대,0.6570032238960266,2
매력,열정,0.6489761471748352,7
메시지,대화,0.5048822164535522,15
명물,괴담,0.5010817050933838,1
명작,만화,0.6867616772651672,1
모바일,컴퓨터,0.590937614440918,6
모습,꿈,0.5368646383285522,17
모험,모험,1,3
목표,성장,0.6552416682243347,3
몰입,열정,0.6674494743347168,1
문제,갈등,0.6495088934898376,1
미스터리,미스터리,1,3
미쿠,인형,0.540961742401123,3
바다,바다,1,2
발견,발견,1,3
발달,성장,0.7021803855895996,2
밤길,도둑,0.5287847518920898,1
방문,여행,0.5841829180717468,6
방해,혼란,0.5498800277709961,1
방향,미래,0.5546501278877258,2
배너,만화,0.5816201567649841,1
배려,헌신,0.6277512907981873,4
버스,교통,0.730898916721344,2
변화,성장,0.7235260605812073,4
본질,윤리,0.6154810786247253,3
부모,가족,0.6875284910202026,1
부인,가족,0.5428288578987122,4
부합,환경,0.5545921921730042,1
분석,교육,0.5877142548561096,1
불안,불안,1,1
불화,갈등,0.6598528623580933,1
비극,살인,0.6638696789741516,1
비법,음식,0.5219008326530457,1
빵집,도둑,0.5785322189331055,7
사건,살인,0.7159186005592346,5
사람,꿈,0.5610076785087585,54
사랑,사랑,1,29
사진,미술,0.5546669960021973,2
사회,경제,0.8096231818199158,1
산책,여행,0.5863888263702393,1
상담,심리,0.672296941280365,1
상상,욕망,0.6180667877197266,1
상영,방송,0.6350025534629822,2
상처,상처,1,12
상황,혼란,0.6442916989326477,4
새끼,동물,0.6447408199310303,2
생각,후회,0.6602693200111389,20
생존,생존,1,1
생활,환경,0.7009555697441101,12
석사,교육,0.5729935765266418,1
선택,희망,0.5827092528343201,1
성공,성장,0.6859850287437439,7
성인,교육,0.5841577649116516,1
성장,성장,1,10
세계,경제,0.6071235537528992,3
세상,기쁨,0.6082786321640015,2
소설,만화,0.8215566873550415,5
솜씨,춤,0.5051486492156982,1
쇠약,질병,0.6598654985427856,1
수업,교육,0.711469292640686,1
수프,음식,0.626069962978363,11
수확물,농업,0.5087574124336243,1
숙박,여행,0.7311912178993225,1
스마트,가상현실,0.5641322731971741,5
스마트폰,컴퓨터,0.6610336303710938,5
스트레스,무력감,0.6226179003715515,3
스트리밍,음악,0.5658097267150879,5
