Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,4
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,3
가야금,춤,0.5122888684272766,1
가족,가족,1,32
감동,기쁨,0.6450744271278381,8
감상,음악,0.6411212086677551,5
감성,심리,0.6301533579826355,5
감정,심리,0.7588332891464233,10
감지,발견,0.5597200989723206,2
감탄,열정,0.5392419099807739,1
강력,충격,0.5549739599227905,1
강점,성장,0.5418332815170288,1
개그,개그,1,3
개봉작,드라마,0.5794780254364014,1
개비,인형,0.5451489090919495,43
개성,자아,0.5115846395492554,3
개요,여행,0.5623396039009094,1
개장,인형,0.5074371695518494,1
거대,괴물,0.5640032887458801,5
거리,도시,0.60332190990448,1
거미,좀비,0.6427518129348755,1
거실,가족,0.6177316308021545,1
거울,용기,0.5582752227783203,2
걱정,후회,0.651527464389801,1
게임,만화,0.7299426198005676,2
결혼,연애,0.6863196492195129,1
경악,충격,0.724260687828064,1
경험,열정,0.6344258189201355,2
계획,여행,0.6060113906860352,3
고립,불안,0.661411464214325,4
고스트,미스터리,0.501964271068573,1
곤조,만화,0.6385312080383301,1
공동,대화,0.5171006321907043,1
공룡,동물,0.6991666555404663,2
공연,음악,0.7031762599945068,2
공통,환경,0.583020031452179,1
공포,공포,1,64
공포감,무력감,0.6693056225776672,3
공포물,개그,0.6559643149375916,8
과정,교육,0.6268183588981628,7
과학자,과학,0.5320860147476196,1
관광,교통,0.7508423924446106,2
관람,여행,0.5587009191513062,25
관심,기대,0.6249675154685974,1
관전,정치,0.5587530136108398,1
관찰,발견,0.5781939625740051,1
광고,방송,0.6559303998947144,1
괴짜,탐정,0.7281141877174377,1
교수,윤리,0.563416063785553,8
교조,종교,0.518584668636322,1
교통사고,재난,0.5448524355888367,1
구멍,상처,0.5373755693435669,1
구입,여행,0.5183897018432617,1
국가,경제,0.7089344263076782,3
국악,음악,0.7068697214126587,1
균형,질서,0.6706463098526001,1
그리움,고독,0.5979834794998169,1
극단,미술,0.5709163546562195,3
극장가,드라마,0.5290873050689697,1
금고,여행,0.586035966873169,1
긍정,희망,0.608379602432251,2
기대,기대,1,20
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,4
기쁨,기쁨,1,2
기상천외,미스터리,0.5333998799324036,10
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,1
기획,교육,0.625312864780426,1
낙천,여행,0.5642282962799072,2
남자,사랑,0.5456969141960144,1
남편,가족,0.6233720779418945,2
내면,내면,1,2
냉탕,설원,0.510932207107544,1
노래,춤,0.7242721915245056,2
노예,평등,0.6012166738510132,1
놀람,슬픔,0.6141851544380188,1
놀이,춤,0.6705771684646606,13
눈길,동정,0.5653472542762756,3
눈물,슬픔,0.6957001090049744,3
눈앞,기대,0.5104065537452698,2
느낌,슬픔,0.6343626976013184,23
다큐멘터리,다큐멘터리,1,1
다크,액션,0.6620553135871887,1
단계,성장,0.6726707220077515,1
단편,만화,0.737099826335907,1
당일,여행,0.5352691411972046,1
당첨,기대,0.522482693195343,1
당황,충격,0.6099472045898438,1
대답,후회,0.5436964631080627,1
댓글,후회,0.505795419216156,1
더빙,방송,0.5857229828834534,2
도끼,신화,0.5833896994590759,1
도난,범죄,0.6205853819847107,1
도달,발견,0.5293484926223755,1
도망,도둑,0.5489647388458252,1
도배,폭력,0.5458524823188782,1
도슨,정글,0.5188317894935608,1
도시,도시,1,1
도움,기대,0.5482439994812012,5
도전,열정,0.6956499814987183,2
도착,여행,0.6466491222381592,2
독특,춤,0.5334261655807495,1
돌입,추격,0.5638843774795532,1
동물,동물,1,1
동심,사랑,0.569958508014679,1
동영상,가상현실,0.5586168169975281,1
두려움,두려움,1,2
드라마,드라마,1,2
등골,개그,0.5085983276367188,2
랜덤,좀비,0.5619427561759949,1
렌즈,용기,0.5198469161987305,4
로맨스,로맨스,1,1
리메이크,드라마,0.5311616063117981,1
리얼,액션,0.6809289455413818,1
마담,탐정,0.5380905270576477,7
마음,기쁨,0.6783162951469421,5
만끽,평온,0.5107535123825073,1
만족,기대,0.6570032238960266,5
만화,만화,1,1
맛깔,유쾌,0.537874162197113,1
맛집,음식,0.6337778568267822,1
매력,열정,0.6489761471748352,8
매몰,고통,0.5522159337997437,1
맥락,질서,0.601793110370636,1
메시지,대화,0.5048822164535522,5
메일,만화,0.5050849914550781,3
멘션,대화,0.5031396150588989,2
멘탈,자아,0.5968596339225769,1
멘트,개그,0.5644389390945435,1
명소,여행,0.6522921919822693,1
명작,만화,0.6867616772651672,1
모습,꿈,0.5368646383285522,17
모양,인형,0.6405982375144958,1
모임,가족,0.6203815937042236,1
모험,모험,1,5
몰입,열정,0.6674494743347168,4
몸짓,춤,0.688373863697052,1
무서움,불안,0.5561872124671936,4
문제,갈등,0.6495088934898376,2
물건,인형,0.6116355657577515,2
물리학,과학,0.6891181468963623,1
뮤지컬,뮤지컬,1,5
미래,미래,1,3
미스터리,미스터리,1,10
미혼모,사회문제,0.5584257245063782,1
미흡,기대,0.5619783997535706,1
밀수,범죄,0.6525008082389832,2
반려,동물,0.5831385850906372,1
반성,후회,0.62535560131073,1
반응,충격,0.5951288342475891,3
발견,발견,1,7
발상,철학,0.5057413578033447,2
발언,대화,0.537577211856842,1
발전,성장,0.7311267852783203,1
발현,성장,0.5772488117218018,1
방문,여행,0.5841829180717468,5
방심,후회,0.613030731678009,1
방학,학교,0.627612829208374,2
방해,혼란,0.5498800277709961,1
배급,교육,0.5531435608863831,3
배급사,드라마,0.5019193887710571,1
배포,교육,0.5816227197647095,1
배후,음모,0.5052520632743835,1
버스,교통,0.730898916721344,1
범벅,괴담,0.5813131332397461,1
변화,성장,0.7235260605812073,2
복도,유령,0.5545416474342346,7
본능,욕망,0.7253124713897705,1
본론,윤리,0.5625672340393066,1
본질,윤리,0.6154810786247253,1
부동산,경제,0.5007047057151794,2
부인,가족,0.5428288578987122,3
분야,과학,0.6800429821014404,2
분장,개그,0.5647703409194946,1
불안,불안,1,2
불운,배신,0.6014346480369568,1
비극,살인,0.6638696789741516,1
비닐,용기,0.5203546285629272,1
비중,성장,0.5152275562286377,1
사건,살인,0.7159186005592346,1
사고,의심,0.5630502700805664,1
사기,도박,0.624628484249115,3
사기꾼,도둑,0.5275356769561768,1
사람,꿈,0.5610076785087585,14
사랑,사랑,1,14
사악,유쾌,0.588767945766449,2
사운드,음악,0.5262696146965027,1
사제,종교,0.586785614490509,2
사진,미술,0.5546669960021973,4
사투,추격,0.57225102186203,12
사항,여행,0.572464108467102,1
사회,경제,0.8096231818199158,1
삭제,의심,0.5076044797897339,1
살해,살인,0.6861730217933655,1
상상,욕망,0.6180667877197266,5
상실,상실,1,3
상영,방송,0.6350025534629822,7
상영회,뮤지컬,0.5795083045959473,4
상자,용기,0.6402463316917419,2
상황,혼란,0.6442916989326477,4
