Word,Category,Similarity,Frequency
가난,고통,0.7040712237358093,2
가늠,기대,0.5158867239952087,1
가능,여행,0.6136982440948486,5
가뭄,재난,0.6788044571876526,2
가속,충격,0.5504187941551208,1
가수,음악,0.6117961406707764,1
가슴,상처,0.6098507642745972,2
가시,상처,0.5885528922080994,1
가정,가족,0.7013463377952576,5
가족,가족,1,8
가족사,이별,0.5522727966308594,4
가치,윤리,0.6346501111984253,6
가치관,자기성찰,0.5398943424224854,1
간택,용서,0.5052026510238647,9
갈구,욕망,0.6502506136894226,1
갈등,갈등,1,6
감동,기쁨,0.6450744271278381,1
감상,음악,0.6411212086677551,3
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,8
감탄,열정,0.5392419099807739,1
강독,철학,0.6308522820472717,1
개괄,철학,0.5385782122612,1
개념,교육,0.6287856698036194,2
개별,음악,0.5007151961326599,2
개입,음모,0.5886576175689697,2
개혁,정치,0.6942312717437744,2
거래,도박,0.6013003587722778,1
거리,도시,0.60332190990448,4
거역,용서,0.6239458918571472,1
거짓,범죄,0.5651490092277527,3
거짓말,부도덕,0.5334540605545044,1
걱정,후회,0.651527464389801,6
건물,학교,0.6180571913719177,2
건설,도시,0.6078121066093445,2
검색,여행,0.6249870657920837,1
검토,여행,0.5617150664329529,1
격노,분노,0.6423977017402649,2
격화,갈등,0.6966278553009033,1
결단,용서,0.5725662112236023,5
결백,부도덕,0.591943085193634,2
결혼,연애,0.6863196492195129,6
경고,의심,0.5979491472244263,1
경어,윤리,0.5698137283325195,1
경쟁,갈등,0.6576756238937378,1
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,1
계단,괴담,0.5106033086776733,1
계략,군사,0.6058172583580017,2
계비,가족,0.5267459154129028,6
계절,이별,0.5606238842010498,4
계책,정치,0.5234832763671875,1
계층,환경,0.5694180130958557,1
고난,고통,0.6465856432914734,1
고모,가족,0.5244710445404053,1
고무,전기,0.5589732527732849,1
고생,고통,0.5584161281585693,2
고서,만화,0.5667839646339417,1
고심,기대,0.5159546732902527,2
고전,미술,0.6437533497810364,3
고증,미술,0.5211591720581055,1
고통,고통,1,10
고향,시골,0.6128569841384888,1
곤란,상실,0.6153967976570129,1
골프,여행,0.580535888671875,1
공격,전투,0.6404148936271667,7
공부,교육,0.6627280712127686,7
공연,음악,0.7031762599945068,2
공예,미술,0.7912819981575012,1
공익,의료,0.5894264578819275,1
공주,유령,0.5845017433166504,1
공통,환경,0.583020031452179,1
과열,혼란,0.5936108231544495,1
과정,교육,0.6268183588981628,4
관광,교통,0.7508423924446106,1
관심,기대,0.6249675154685974,7
관여,기대,0.5187691450119019,2
광고,방송,0.6559303998947144,2
괘서,살인,0.5959486961364746,1
교양인,자기성찰,0.5362595915794373,1
교육,교육,1,3
교훈,희망,0.596325695514679,3
구실,권력,0.5587243437767029,1
구역,도시,0.6346057057380676,1
구조,환경,0.6101574897766113,4
국무,경제,0.5487146973609924,1
군대,군대,1,1
궁궐,도시,0.5612877607345581,22
궁녀,도둑,0.5472636818885803,4
궁중,음식,0.6099324226379395,27
권력,권력,1,17
균형,질서,0.6706463098526001,1
그림자,유령,0.5297560691833496,1
극단,미술,0.5709163546562195,1
극도,괴담,0.5402888059616089,1
극복,고통,0.6304678916931152,1
근심,슬픔,0.7307228446006775,3
근처,학교,0.5683311223983765,1
글귀,꿈,0.6168593764305115,1
글로벌,가상현실,0.526810348033905,2
글씨,꿈,0.5032174587249756,1
금지,도박,0.519909143447876,1
기대,기대,1,8
기대감,기대,0.6246221661567688,1
기분,유쾌,0.6678951382637024,2
기쁨,기쁨,1,3
기생,연애,0.5084562301635742,1
기술,농업,0.6986809968948364,2
기억,사랑,0.6537694931030273,6
기초,교육,0.6542633175849915,1
