Word,Category,Similarity,Frequency
가능,여행,0.6136982440948486,7
가입,희망,0.5199176073074341,2
가족,가족,1,44
가치,윤리,0.6346501111984253,1
갈등,갈등,1,3
감동,기쁨,0.6450744271278381,16
감상,음악,0.6411212086677551,20
감성,심리,0.6301533579826355,1
감옥,감옥,1,2
감정,심리,0.7588332891464233,3
강점,성장,0.5418332815170288,1
개성,자아,0.5115846395492554,3
개요,여행,0.5623396039009094,2
거대,괴물,0.5640032887458801,1
거물,고문,0.5415357947349548,1
거울,용기,0.5582752227783203,4
거주,도시,0.6213511228561401,1
걱정,후회,0.651527464389801,2
건축,미술,0.7201681733131409,1
검색,여행,0.6249870657920837,3
게임,만화,0.7299426198005676,1
경고,의심,0.5979491472244263,1
경험,열정,0.6344258189201355,12
계략,군사,0.6058172583580017,2
계획,여행,0.6060113906860352,2
고난,고통,0.6465856432914734,1
고철,유령,0.5170645713806152,1
공격,전투,0.6404148936271667,2
공연,음악,0.7031762599945068,8
공정,평등,0.5861278176307678,1
공주,유령,0.5845017433166504,9
공주병,정신병,0.5535537600517273,1
공포,공포,1,2
공학자,과학,0.521384060382843,1
과자,음식,0.7175213694572449,4
과정,교육,0.6268183588981628,3
과학,과학,1,2
관람,여행,0.5587009191513062,14
관심,기대,0.6249675154685974,4
관장,고문,0.5125513076782227,3
광고,방송,0.6559303998947144,1
괴짜,탐정,0.7281141877174377,4
교류,대화,0.6140486598014832,1
교훈,희망,0.596325695514679,2
구멍,상처,0.5373755693435669,2
구타,폭력,0.6581145524978638,2
국가,경제,0.7089344263076782,4
국립,학교,0.6386775374412537,1
군단,해적,0.6255456805229187,1
군대,군대,1,1
군복,군대,0.6708796620368958,1
군인,군대,0.6802380084991455,1
귓속말,드라마,0.5280329585075378,1
균등,평등,0.6038642525672913,1
그래픽,컴퓨터,0.6070578694343567,2
그림자,유령,0.5297560691833496,1
극복,고통,0.6304678916931152,4
긍정,희망,0.608379602432251,1
기계,전기,0.6900599598884583,13
기대,기대,1,8
기술,농업,0.6986809968948364,1
기억,사랑,0.6537694931030273,5
난간,바다,0.561069130897522,1
남매,가족,0.677724301815033,4
내면,내면,1,2
넘버,액션,0.5979622006416321,1
노래,춤,0.7242721915245056,3
노력,헌신,0.6555296182632446,5
논리,철학,0.5892475247383118,1
놀이,춤,0.6705771684646606,5
눈길,동정,0.5653472542762756,1
눈앞,기대,0.5104065537452698,1
느낌,슬픔,0.6343626976013184,15
단편,만화,0.737099826335907,1
달걀,음식,0.5797801613807678,5
당부,희망,0.507290780544281,1
대여,여행,0.6416856050491333,2
대학교,학교,0.5889599323272705,1
대항,폭력,0.5444368720054626,1
데뷔,방송,0.5465471744537354,1
도움,기대,0.5482439994812012,5
도착,여행,0.6466491222381592,1
독특,춤,0.5334261655807495,1
동심,사랑,0.569958508014679,2
두려움,두려움,1,1
드라마,드라마,1,18
드레스,로맨스,0.5291532278060913,5
드로셀마이어의,외계인,0.5317866206169128,1
등록,여행,0.5735748410224915,3
따님,가족,0.518835186958313,1
때깔,유쾌,0.5734173059463501,1
레파토리,춤,0.5584565997123718,1
로맨스,로맨스,1,3
리얼,액션,0.6809289455413818,2
리폼,복고,0.5452508330345154,1
마더,탐정,0.5776160955429077,30
마법,마법,1,26
마법사,판타지,0.5302509665489197,1
마음,기쁨,0.6783162951469421,12
만끽,평온,0.5107535123825073,1
매너리즘,부조리,0.5213077068328857,1
매력,열정,0.6489761471748352,15
메시지,대화,0.5048822164535522,9
명곡,사랑,0.5801110863685608,1
명령,군사,0.5395892262458801,2
명장면,코미디,0.5314233899116516,2
명절,음식,0.602050244808197,1
모바일,컴퓨터,0.590937614440918,2
모습,꿈,0.5368646383285522,21
모양,인형,0.6405982375144958,4
모욕,폭력,0.6555696129798889,1
모험,모험,1,41
몰락,멸망,0.6989313364028931,1
몰입,열정,0.6674494743347168,3
몸짓,춤,0.688373863697052,1
묘미,개그,0.5619542598724365,1
무용수,뮤지컬,0.5306696891784668,4
문제,갈등,0.6495088934898376,8
물리,과학,0.7363146543502808,1
물리학,과학,0.6891181468963623,1
뮤지컬,뮤지컬,1,4
미안,후회,0.5432184934616089,1
발견,발견,1,8
발레,미술,0.6749600768089294,38
발레리나,뮤지컬,0.5542119145393372,5
발휘,기대,0.5250481367111206,3
방문,여행,0.5841829180717468,1
방해,혼란,0.5498800277709961,1
방향,미래,0.5546501278877258,1
배급사,드라마,0.5019193887710571,1
배려,헌신,0.6277512907981873,1
배분,질서,0.5007746815681458,1
범죄,범죄,1,1
변화,성장,0.7235260605812073,2
별거,연애,0.5366382002830505,1
병사,군대,0.6129758954048157,1
보물찾기,시간여행,0.567367434501648,1
부모,가족,0.6875284910202026,2
부인,가족,0.5428288578987122,1
부정,폭력,0.6489901542663574,1
분노,분노,1,1
분장,개그,0.5647703409194946,2
불길,절망,0.5973319411277771,1
불빛,꿈,0.5932316780090332,1
뷰티,음식,0.5668029189109802,1
비댓,액션,1,1
빈약,기대,0.5086852312088013,1
삐에로,인형,0.5749282836914062,3
사건,살인,0.7159186005592346,3
사람,꿈,0.5610076785087585,18
사랑,사랑,1,18
사제,종교,0.586785614490509,2
사진,미술,0.5546669960021973,1
사탄,폭력,0.5943156480789185,3
사탕,인형,0.6739246249198914,16
사항,여행,0.572464108467102,1
삼촌,도둑,0.5172341465950012,1
상담,심리,0.672296941280365,1
상상,욕망,0.6180667877197266,2
상영,방송,0.6350025534629822,1
상자,용기,0.6402463316917419,5
상황,혼란,0.6442916989326477,5
색감,미술,0.5213123559951782,3
생각,후회,0.6602693200111389,31
생강,음식,0.5783358812332153,1
생쥐,동물,0.7270085215568542,5
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,2
선물,사랑,0.605575680732727,40
선악,권력,0.5969074964523315,1
설득,대화,0.5834951996803284,2
설치,교육,0.5344357490539551,1
설탕,음식,0.6563788056373596,5
성공,성장,0.6859850287437439,2
성당,감옥,0.5520095825195312,1
성장,성장,1,9
성품,철학,0.5461713671684265,1
세계,경제,0.6071235537528992,45
세상,기쁨,0.6082786321640015,13
세속,종교,0.6812636852264404,1
세트,인형,0.564244270324707,1
소설,만화,0.8215566873550415,1
소통,대화,0.694833517074585,1
수수께끼,미스터리,0.61151123046875,4
슈가,정글,0.5848885178565979,1
스릴,액션,0.6477225422859192,1
스릴러,스릴러,1,1
스마트,가상현실,0.5641322731971741,2
스마트폰,컴퓨터,0.6610336303710938,2
스트리밍,음악,0.5658097267150879,1
스틸,액션,0.5995299220085144,1
스페셜,드라마,0.5839550495147705,1
슬픔,슬픔,1,7
시공,환경,0.5052318572998047,2
시리즈,만화,0.5106303691864014,6
시어터,뮤지컬,0.5166751146316528,2
시작,발견,0.534450113773346,12
시즌,방송,0.5284544229507446,4
시청자,방송,0.5191292762756348,2
시험,교육,0.6255394220352173,2
식물,동물,0.7853432297706604,1
신경,질병,0.5199351906776428,2
신비,기쁨,0.6222472786903381,7
신작,만화,0.6367781758308411,2
실력,춤,0.5194166302680969,2
실망감,무력감,0.6360117197036743,1
실사,만화,0.575007438659668,4
실존,생존,0.5969371199607849,1
실천,철학,0.6342154145240784,1
아가씨,로맨스,0.5476390719413757,2
아내,가족,0.582758903503418,2
아동,가족,0.6625723242759705,3
아들,가족,0.5667959451675415,2
아역,액션,0.5058702826499939,1
악녀,좀비,0.5964593887329102,2
악당,좀비,0.6801067590713501,8
악마,괴물,0.7208051085472107,1
악몽,공포,0.6761541962623596,1
안내,여행,0.6065822839736938,3
안무가,뮤지컬,0.5041049122810364,1
애니메이션,만화,0.68199223279953,9
액션,액션,1,2
앤드,액션,0.5491106510162354,2
양극단,갈등,0.5531772375106812,1
양부,고문,0.5339155793190002,1
양산,생존,0.5309751033782959,2
어둠,절망,0.694835364818573,1
어린아이,외계인,0.5061091780662537,1
얼음,바다,0.6190788745880127,2
엄마,사랑,0.5908297300338745,57
엔진,전기,0.573421835899353,5
여왕,유령,0.5411664247512817,15
여정,이별,0.6358245611190796,6
여캐,만화,0.5530049204826355,1
여행,여행,1,3
역경,절망,0.6212114691734314,1
역사,철학,0.6869469285011292,1
연말,가족,0.5282685160636902,1
연습,전투,0.5603004097938538,1
연출,액션,0.5377380847930908,1
열쇠,희망,0.5891710519790649,72
영상미,액션,0.5695945620536804,11
영향,기대,0.5794242024421692,2
영화,만화,0.7536719441413879,237
영화관,드라마,0.5831791758537292,1
예고편,드라마,0.5787103772163391,1
예상,기대,0.655988872051239,1
오르골,인형,0.5050365328788757,2
왈츠,춤,0.6646851897239685,2
왕궁,감옥,0.560764729976654,1
왕자,도둑,0.5981267690658569,3
외국,만화,0.5371031761169434,2
욕심,욕망,0.6326161026954651,3
용기,용기,1,14
웃음,개그,0.6434062123298645,1
원망,절망,0.6686849594116211,3
원작,만화,0.7227425575256348,15
위기,혼란,0.6975850462913513,1
위험,불안,0.6922099590301514,2
위협,폭력,0.639009416103363,3
유감,유쾌,0.5166398882865906,1
유대감,우정,0.5557567477226257,1
유품,인형,0.5352237224578857,7
음악,음악,1,33
음악가,음악,0.5680587291717529,1
의견,갈등,0.5687873959541321,1
이과,과학,0.6143741011619568,1
이름,신화,0.5608668327331543,17
이해,철학,0.5395932197570801,4
인기,여행,0.6119158267974854,3
인물,정치,0.5848035216331482,6
인상,기대,0.6044384241104126,4
일상,유쾌,0.5978867411613464,4
입양,동물,0.6049808263778687,1
자녀,가족,0.7003896832466125,3
자동차,전기,0.5792412161827087,1
자료,교육,0.5909054279327393,5
자신감,자존심,0.5629044771194458,2
자아,자아,1,2
자애,기쁨,0.73465496301651,1
자연,환경,0.6941760182380676,3
작가,만화,0.6290877461433411,1
작동,환경,0.5148442983627319,4
작렬,유쾌,0.5770463943481445,1
작별,이별,0.7365326285362244,1
장난감,인형,0.5990570783615112,12
장르,음악,0.7329081892967224,16
장면,액션,0.5999083518981934,20
재미,모험,0.6051297187805176,4
재앙,혼란,0.6300399303436279,1
저택,감옥,0.6136187314987183,1
적응,환경,0.6063060760498047,1
전반,정치,0.5626547336578369,1
전쟁,전쟁,1,1
전통,음식,0.6568764448165894,1
전투,전투,1,1
접속,방송,0.5524121522903442,1
정말,유쾌,0.5597934722900391,1
정보,교통,0.6121577620506287,12
정복,탐험,0.6582491397857666,1
정확,의심,0.5156928300857544,3
제공,여행,0.6024255156517029,8
제작,방송,0.6307950615882874,3
제품,환경,0.5750954747200012,1
제한,상실,0.636760413646698,3
조각,인형,0.646467387676239,1
조작,범죄,0.5801150798797607,1
조화,질서,0.6025887727737427,1
주름,인형,0.5563743710517883,1
주말,여행,0.5565044283866882,2
주목,기대,0.562468945980072,1
주요,도시,0.5643994808197021,2
죽음,고독,0.6896678805351257,6
줄거리,드라마,0.531794548034668,16
쥐새끼,괴물,0.5199113488197327,1
쥬라기,가상현실,0.5152379870414734,1
즐거움,기쁨,0.6185970902442932,16
지배,권력,0.6291192173957825,2
직면,고통,0.5117434859275818,2
직후,전쟁,0.5426797866821289,1
진입,추격,0.5556859374046326,3
진저,좀비,0.5202136039733887,5
질문,대화,0.5432519912719727,1
집단,폭력,0.6576167941093445,1
참여,기대,0.5516729950904846,1
채널,방송,0.7239679098129272,1
