Word,Category,Similarity,Frequency
-이,희망,0.5032708048820496,1
19금,판타지,0.5272679924964905,1
가게,여행,0.5113754868507385,1
가능,여행,0.6136982440948486,5
가정,가족,0.7013463377952576,1
가족,가족,1,3
가치,윤리,0.6346501111984253,2
가톨릭,종교,0.5992807149887085,1
갈등,갈등,1,5
감동,기쁨,0.6450744271278381,10
감상,음악,0.6411212086677551,10
감상문,뮤지컬,0.5310428738594055,2
감시,범죄,0.5818687081336975,1
감정,심리,0.7588332891464233,7
강력,충격,0.5549739599227905,2
강요,용서,0.5793744921684265,2
개별,음악,0.5007151961326599,1
개빡,액션,1,1
개성,자아,0.5115846395492554,3
개척,탐험,0.6222059726715088,1
개편,방송,0.526836633682251,1
거대,괴물,0.5640032887458801,1
거리,도시,0.60332190990448,4
거부자,폭력,0.5674901008605957,2
거장,미술,0.5483318567276001,1
건물,학교,0.6180571913719177,2
검거,수색,0.5919314026832581,1
검문,수색,0.6349114775657654,1
검색,여행,0.6249870657920837,2
게임,만화,0.7299426198005676,1
결단,용서,0.5725662112236023,1
결부,갈등,0.5845047831535339,1
결혼,연애,0.6863196492195129,1
경쟁,갈등,0.6576756238937378,13
경제,경제,1,2
경향,정치,0.5916027426719666,1
경험,열정,0.6344258189201355,4
계급,평등,0.6543788909912109,1
계란,음식,0.5809228420257568,3
계획,여행,0.6060113906860352,2
고난,고통,0.6465856432914734,1
고문,고문,1,1
고초,고통,0.6023682951927185,1
고통,고통,1,2
공립,학교,0.6737427115440369,1
공백,불안,0.5762792825698853,1
공부,교육,0.6627280712127686,7
공연,음악,0.7031762599945068,1
공짜,좀비,0.531777560710907,1
공통,환경,0.583020031452179,1
공포감,무력감,0.6693056225776672,1
공항,교통,0.7404273152351379,1
과정,교육,0.6268183588981628,7
관념,욕망,0.6592566967010498,1
관람,여행,0.5587009191513062,5
관심,기대,0.6249675154685974,3
관통,충격,0.5143977403640747,1
광고,방송,0.6559303998947144,1
괴로움,고통,0.6400415301322937,1
괴물,괴물,1,1
괴짜,탐정,0.7281141877174377,1
교류,대화,0.6140486598014832,2
교육,교육,1,3
교훈,희망,0.596325695514679,1
구걸,배신,0.5570734739303589,1
구두,미술,0.5378967523574829,1
구역,도시,0.6346057057380676,1
구조,환경,0.6101574897766113,4
국가,경제,0.7089344263076782,7
군인,군대,0.6802380084991455,1
굴복,배신,0.5670102834701538,1
궁극,생존,0.5224151611328125,1
권력,권력,1,2
궤도,우주,0.5667131543159485,10
규범,윤리,0.7303454875946045,1
그림자,유령,0.5297560691833496,1
극단,미술,0.5709163546562195,1
극복,고통,0.6304678916931152,6
금고,여행,0.586035966873169,1
금발,마법,0.610371470451355,1
기계,전기,0.6900599598884583,1
기대,기대,1,2
기밀,군사,0.5613275766372681,2
기술,농업,0.6986809968948364,8
기억,사랑,0.6537694931030273,7
깡패,도둑,0.6545424461364746,1
꾀임,액션,1,1
끈기,열정,0.6553615927696228,1
난항,갈등,0.6503344178199768,1
날씨,환경,0.6094790697097778,1
남녀,평등,0.5715689063072205,5
남자,사랑,0.5456969141960144,8
남편,가족,0.6233720779418945,3
내면,내면,1,2
냉전,전쟁,0.6666041016578674,4
노동자,시민운동,0.5217600464820862,1
노력,헌신,0.6555296182632446,8
노예,평등,0.6012166738510132,1
놀이,춤,0.6705771684646606,1
농부,시골,0.6694933176040649,1
농사,농업,0.6897985339164734,1
눈물,슬픔,0.6957001090049744,5
느낌,슬픔,0.6343626976013184,10
늑대,동물,0.6492973566055298,7
능력,교육,0.6137364506721497,20
다문화,교육,0.5346837639808655,2
다큐,다큐멘터리,0.6907773613929749,1
다툼,갈등,0.7528305649757385,1
단편,만화,0.737099826335907,1
당부,희망,0.507290780544281,1
당일,여행,0.5352691411972046,1
대답,후회,0.5436964631080627,3
대목,꿈,0.5127710700035095,1
대항,폭력,0.5444368720054626,1
댓글,후회,0.505795419216156,1
데뷔,방송,0.5465471744537354,1
도덕,윤리,0.8225712776184082,5
도로,교통,0.7222923040390015,3
도박판,유령,0.5329421758651733,2
도서관,학교,0.5833439230918884,5
도움,기대,0.5482439994812012,1
도전,열정,0.6956499814987183,1
도촬,범죄,0.6220617294311523,1
동물,동물,1,1
동족상잔,전쟁,0.508721649646759,1
됴듁,액션,1,1
두뇌,과학,0.5985945463180542,3
뒷북,괴담,0.5184373259544373,1
드라마,드라마,1,7
득세,독재,0.5465250611305237,1
디바이스,컴퓨터,0.5763373970985413,1
딱지,인형,0.5324317216873169,1
랜덤,좀비,0.5619427561759949,2
러브,액션,0.6233081817626953,1
레드,정글,0.5992697477340698,1
렌트,여행,0.567833662033081,1
로켓,우주,0.6648953557014465,4
리더,성장,0.5860862135887146,3
리더십,자기성찰,0.5289939641952515,1
마녀,유령,0.7514040470123291,1
마약,범죄,0.71501225233078,1
마음,기쁨,0.6783162951469421,3
만연,범죄,0.6431142687797546,1
말다툼,대화,0.5000229477882385,1
맛깔,유쾌,0.537874162197113,1
매력,열정,0.6489761471748352,6
매점,학교,0.6130265593528748,1
맥락,질서,0.601793110370636,1
맹목,욕망,0.6913981437683105,1
머신,액션,0.6688358187675476,1
먹거리,음식,0.5923094749450684,1
메시지,대화,0.5048822164535522,4
멸시,고통,0.6697101593017578,2
명령,군사,0.5395892262458801,3
명작,만화,0.6867616772651672,2
명장면,코미디,0.5314233899116516,2
모녀,가족,0.6818090677261353,1
모멸,부도덕,0.6373617649078369,1
모순,갈등,0.6281998157501221,2
모습,꿈,0.5368646383285522,11
목표,성장,0.6552416682243347,3
몰입,열정,0.6674494743347168,3
문제,갈등,0.6495088934898376,5
미안,후회,0.5432184934616089,1
민감,불안,0.5712313652038574,1
바다,바다,1,1
박자,춤,0.549708902835846,1
반감,분노,0.6136011481285095,2
반성,후회,0.62535560131073,3
반응,충격,0.5951288342475891,5
발각,살인,0.5089609622955322,1
발견,발견,1,3
발사,전투,0.5510220527648926,2
발생,혼란,0.6102904081344604,2
발전,성장,0.7311267852783203,3
발현,성장,0.5772488117218018,1
발휘,기대,0.5250481367111206,4
방과,학교,0.6060729026794434,2
방문,여행,0.5841829180717468,1
방어,전투,0.6440592408180237,1
배달,음식,0.6220709681510925,3
배제,상실,0.6328111886978149,1
배치,수색,0.5295758843421936,2
버스,교통,0.730898916721344,2
범죄,범죄,1,12
법원,법정,0.6812756061553955,1
베팅,도박,0.691082775592804,1
변기,괴담,0.562771737575531,1
변두리,도시,0.6464146971702576,1
변호,고문,0.5660040378570557,1
변호인,법정,0.5040044784545898,1
변화,성장,0.7235260605812073,2
병역,군대,0.610706090927124,2
보답,헌신,0.5308396816253662,1
보디가드,드라마,0.5466750860214233,1
보조,의료,0.6010368466377258,1
복귀,생존,0.5351816415786743,3
복종,저항,0.6003823280334473,1
복합,의료,0.577019214630127,1
볼드,액션,0.5220407843589783,1
부각,성장,0.5576289892196655,2
부담감,불안,0.569257915019989,1
부당,폭력,0.577399492263794,5
부들,설원,0.5400566458702087,1
부류,자아,0.5049813389778137,1
부업,도박,0.5280241966247559,1
부역자,독재,0.5602537989616394,1
부잡,액션,1,1
부정,폭력,0.6489901542663574,1
분노,분노,1,3
분리,갈등,0.5047985911369324,1
분석,교육,0.5877142548561096,2
분석력,자기성찰,0.534014880657196,1
분장,개그,0.5647703409194946,1
불만,분노,0.6757481098175049,2
불법,범죄,0.6486050486564636,1
불안,불안,1,1
불안감,두려움,0.7379971742630005,1
불평,분노,0.607698917388916,1
비관,불안,0.7107456922531128,1
비극,살인,0.6638696789741516,1
비디오,컴퓨터,0.6554548740386963,1
비디오테이프,컴퓨터,0.5279653668403625,2
비중,성장,0.5152275562286377,1
비행,우주,0.6494387984275818,7
사건,살인,0.7159186005592346,7
사고,의심,0.5630502700805664,3
사냥,전투,0.6896240711212158,6
사람,꿈,0.5610076785087585,39
사랑,사랑,1,4
사려,헌신,0.5063562989234924,1
사례,교육,0.6318955421447754,1
사물,동물,0.6133488416671753,1
사별,가족,0.6193550229072571,1
사안,정치,0.5182824730873108,1
사진,미술,0.5546669960021973,2
사항,여행,0.572464108467102,1
사형,독재,0.5577566027641296,2
사회,경제,0.8096231818199158,12
삭제,의심,0.5076044797897339,1
상대,추격,0.558393657207489,3
상반,기대,0.5090402364730835,1
상영,방송,0.6350025534629822,3
상황,혼란,0.6442916989326477,17
새끼,동물,0.6447408199310303,1
색감,미술,0.5213123559951782,1
색깔,동물,0.5537340044975281,2
생각,후회,0.6602693200111389,50
생리,심리,0.5964637398719788,1
생명체,동물,0.5420880317687988,2
생사,질병,0.5247383117675781,1
생체,과학,0.6173260807991028,1
생활,환경,0.7009555697441101,2
서사,신화,0.6202012896537781,2
선발,교육,0.5459800958633423,1
선서,법정,0.521228015422821,1
선택,희망,0.5827092528343201,2
설득,대화,0.5834951996803284,1
설치,교육,0.5344357490539551,2
성공,성장,0.6859850287437439,9
성벽,도시,0.5915778279304504,1
성인,교육,0.5841577649116516,1
성장,성장,1,4
세계,경제,0.6071235537528992,7
세상,기쁨,0.6082786321640015,6
세포,동물,0.5726385116577148,1
소설,만화,0.8215566873550415,2
소통,대화,0.694833517074585,1
쇠약,질병,0.6598654985427856,2
쇼크,충격,0.608343780040741,1
수료,교육,0.5207006931304932,4
수사,범죄,0.673683226108551,1
수업,교육,0.711469292640686,5
수행,성장,0.5646498799324036,1
슈퍼컴퓨터,컴퓨터,0.5170849561691284,2
스릴러,스릴러,1,2
스마트,가상현실,0.5641322731971741,1
스키,여행,0.6113173961639404,1
스틸,액션,0.5995299220085144,2
습성,욕망,0.5178412199020386,1
시골,시골,1,1
시리즈,만화,0.5106303691864014,2
시립,학교,0.6196491718292236,2
시설,여행,0.6567099690437317,1
시위,폭력,0.688738226890564,1
시작,발견,0.534450113773346,11
시즌,방송,0.5284544229507446,1
식당,음식,0.6759225726127625,1
식수,환경,0.5669937133789062,1
신경,질병,0.5199351906776428,2
