Word,Category,Similarity,Frequency
가늠,미래,0.4498733878135681,2
가능,여행,0.6136982440948486,2
가면,여행,0.41217726469039917,1
가슴,사랑,0.5312170386314392,3
가족,가족,1,10
가혹,범죄,0.6618030071258545,1
각색,만화,0.48631539940834045,1
각자,가족,0.4706314206123352,1
갈림길,미스터리,0.41393521428108215,1
감독,액션,0.5503564476966858,5
감동,사랑,0.5948944091796875,4
감명,사랑,0.4650433361530304,1
감사,사랑,0.5332671999931335,1
감정,심리,0.7588332891464233,1
감탄,유쾌,0.47334393858909607,1
강도,고문,0.5438424944877625,1
강추위,설원,0.49234646558761597,1
개발,기술,0.7480550408363342,1
개봉,공포,0.5620651841163635,5
개인,가족,0.6177566647529602,2
거미,좀비,0.6427518129348755,1
거주,도시,0.6213511228561401,1
건강,의료,0.661241352558136,2
결국,절망,0.3924093246459961,2
결단,희망,0.5685198307037354,1
결말,심리,0.5606977343559265,2
결심,희망,0.4985751211643219,2
결정,심리,0.4773334860801697,1
결혼,연애,0.6863196492195129,4
겸손,사랑,0.6327288746833801,1
경고,희망,0.5112279057502747,1
경외감,바다,0.3030015826225281,1
경우,여행,0.415454238653183,1
경의,전투,0.45911529660224915,1
경험,기술,0.584987461566925,1
계획,여행,0.6060113906860352,2
고글,액션,0.5503891110420227,1
고랑,바다,0.4799463450908661,1
고립,절망,0.6044477224349976,1
고민,희망,0.5681551694869995,1
고봉,역사,0.5272772312164307,1
고요,바다,0.5334782004356384,1
고증,역사,0.6345140933990479,1
고통,절망,0.7038089632987976,2
곡절,절망,0.5488026142120361,1
공간,환경,0.631403923034668,2
공개,방송,0.5117498636245728,2
공상,우주,0.6748765707015991,1
공식,방송,0.5213518738746643,1
공인,무술,0.5516185760498047,1
공장,농업,0.5919657945632935,1
공존,대화,0.5643671154975891,1
공책,만화,0.5820149779319763,2
공포,공포,1,1
과거,역사,0.5134707689285278,1
과정,교육,0.6268183588981628,1
관객,좀비,0.4852140545845032,6
관계,대화,0.6286489367485046,1
관람,여행,0.5587009191513062,1
관련,기술,0.6359721422195435,1
교수,과학,0.5520547032356262,1
교환,여행,0.6017420887947083,1
교훈,희망,0.596325695514679,2
구설수,부도덕,0.4745025336742401,1
구조,환경,0.6101574897766113,7
국가,경제,0.7089344263076782,4
국내,방송,0.6121893525123596,3
귀국,여행,0.5005411505699158,1
그때,군대,0.461805135011673,6
극악,좀비,0.5708756446838379,1
근처,학교,0.5683311223983765,1
기대,성장,0.597224771976471,1
기록,역사,0.5856012105941772,1
기분,유쾌,0.6678951382637024,1
기사,만화,0.529909074306488,1
기상,해양,0.5767086744308472,2
기술,기술,1,1
기억,사랑,0.6537694931030273,1
기존,역사,0.42757487297058105,1
기준,방송,0.5067009329795837,1
길이,철학,0.3770102858543396,2
꾸지람,부도덕,0.4898580312728882,1
끝자락,바다,0.4015430808067322,1
나라,도시,0.6080574989318848,2
나머지,수색,0.3020952641963959,1
나이,가족,0.5800771117210388,3
나중,절망,0.43852776288986206,1
낙빙,액션,1,1
난이도,서바이벌,0.41578155755996704,1
날씨,환경,0.6094790697097778,4
남부,서부,0.8792415857315063,1
남우,살인,0.529575765132904,1
남자,무술,0.5507482290267944,1
남편,가족,0.6233720779418945,1
낭떠러지,바다,0.4024616777896881,1
낭패,도둑,0.4246179163455963,1
내역,여행,0.5270281434059143,1
내용,역사,0.6182358264923096,2
노동자,시민운동,0.5217600464820862,1
노력,성장,0.5811283588409424,2
놀이터,서바이벌,0.4962429404258728,1
높이,바다,0.33006033301353455,1
누적,좀비,0.458722859621048,1
눈물,절망,0.6079393625259399,4
눈보라,설원,0.47067779302597046,3
눈앞,희망,0.48743936419487,1
뉴스,방송,0.70646071434021,1
느낌,유쾌,0.5749567747116089,1
다리,군대,0.5092009902000427,8
다수,복수,0.36828991770744324,1
다양,환경,0.5064423084259033,1
다음,요리,0.4495347738265991,1
다짐,사랑,0.5531855225563049,1
다큐,다큐멘터리,0.6907773613929749,1
다큐멘터리,다큐멘터리,1,1
단독,복수,0.47025781869888306,1
단련,무술,0.5965431928634644,1
단짝,사랑,0.5452064275741577,1
단체,종교,0.635517418384552,1
달력,요리,0.5380451679229736,1
담보,도둑,0.46678000688552856,2
대기,환경,0.5563451051712036,1
대명,가족,0.48985859751701355,2
대사,고문,0.5607980489730835,1
대원,해적,0.47445446252822876,6
대장,군대,0.513645350933075,23
대처,재난,0.5325601696968079,1
